gameId,market,source_or_reason,clv
2250036,fg_ml_away,proxy_snapshot,0
2250036,fg_over,line_moved,O8.0->8
2250036,fg_under,line_moved,U8.0->8
2250037,fg_ml_home,proxy_snapshot,0
2250037,fg_ml_away,proxy_snapshot,0
2250037,fg_over,line_moved,O7.0->7
2250037,fg_under,line_moved,U7.0->7
2252307,fg_ml_home,proxy_snapshot,0
2252307,fg_ml_away,proxy_snapshot,0
2252307,fg_over,line_moved,O8.5->8.5
2252307,fg_under,line_moved,U8.5->8.5
2250038,fg_ml_home,proxy_snapshot,0
2250038,fg_ml_away,proxy_snapshot,0
2250038,fg_over,line_moved,O9.0->9
2250038,fg_under,line_moved,U9.0->9
2250039,fg_ml_home,proxy_snapshot,0
2250039,fg_ml_away,proxy_snapshot,0
2250039,fg_under,line_moved,U8.0->8
2250040,fg_ml_home,proxy_snapshot,0
2250040,fg_ml_away,proxy_snapshot,0
2250040,fg_over,line_moved,O8.0->8
2250040,fg_under,line_moved,U8.0->8
2250041,fg_ml_home,proxy_snapshot,0
2250041,fg_ml_away,proxy_snapshot,0
2250041,fg_over,line_moved,O9.0->9
2250041,fg_under,line_moved,U9.0->9
2250042,fg_ml_home,proxy_snapshot,0
2250042,fg_ml_away,proxy_snapshot,0
2250042,fg_over,line_moved,O8.5->8.5
2250042,fg_under,line_moved,U8.5->8.5
2250043,fg_ml_home,proxy_snapshot,0
2250043,fg_ml_away,proxy_snapshot,0
2250043,fg_over,line_moved,O7.5->7.5
2250043,fg_under,line_moved,U7.5->7.5
2250044,fg_ml_home,proxy_snapshot,0
2250044,fg_ml_away,proxy_snapshot,0
2250044,fg_over,line_moved,O8.0->8
2250044,fg_under,line_moved,U8.0->8
2250045,fg_ml_home,proxy_snapshot,0
2250045,fg_ml_away,proxy_snapshot,0
2250045,fg_over,line_moved,O9.0->9
2250045,fg_under,line_moved,U9.0->9
2250046,fg_ml_home,proxy_snapshot,0
2250046,fg_ml_away,proxy_snapshot,0
2250046,fg_over,line_moved,O7.5->7.5
2250046,fg_under,line_moved,U7.5->7.5
2250047,fg_ml_home,proxy_snapshot,0
2250047,fg_ml_away,proxy_snapshot,0
2250047,fg_over,line_moved,O7.5->7.5
2250047,fg_under,line_moved,U7.5->7.5
2250048,fg_ml_home,proxy_snapshot,0
2250048,fg_ml_away,proxy_snapshot,0
2250048,fg_over,line_moved,O9.0->9
2250048,fg_under,line_moved,U9.0->9
2250049,fg_ml_home,proxy_snapshot,0
2250049,fg_ml_away,proxy_snapshot,0
2250049,fg_over,line_moved,O7.5->7.5
2250049,fg_under,line_moved,U7.5->7.5
2250050,fg_ml_home,proxy_snapshot,0
2250050,fg_ml_away,proxy_snapshot,0
2250050,fg_over,line_moved,O10.0->10
2250050,fg_under,line_moved,U10.0->10
2250051,fg_ml_home,proxy_snapshot,0
2250051,fg_ml_away,proxy_snapshot,0
2250051,fg_over,line_moved,O9.0->9
2250051,fg_under,line_moved,U9.0->9
2250052,fg_ml_home,proxy_snapshot,0
2250052,fg_ml_away,proxy_snapshot,0
2250052,fg_over,line_moved,O8.5->8.5
2250052,fg_under,line_moved,U8.5->8.5
2250053,fg_ml_home,proxy_snapshot,0
2250053,fg_ml_away,proxy_snapshot,0
2250053,fg_over,line_moved,O9.0->9
2250053,fg_under,line_moved,U9.0->9
2250054,fg_ml_home,proxy_snapshot,0
2250054,fg_ml_away,proxy_snapshot,0
2250054,fg_over,line_moved,O8.0->8
2250054,fg_under,line_moved,U8.0->8
2250055,fg_ml_home,proxy_snapshot,0
2250055,fg_ml_away,proxy_snapshot,0
2250055,fg_over,line_moved,O8.0->8
2250055,fg_under,line_moved,U8.0->8
2250056,fg_ml_home,proxy_snapshot,0
2250056,fg_ml_away,proxy_snapshot,0
2250056,fg_over,line_moved,O9.0->9
2250056,fg_under,line_moved,U9.0->9
2250057,fg_ml_home,proxy_snapshot,0
2250057,fg_ml_away,proxy_snapshot,0
2250057,fg_over,line_moved,O10.0->10
2250057,fg_under,line_moved,U10.0->10
2250058,fg_ml_home,proxy_snapshot,0
2250058,fg_ml_away,proxy_snapshot,0
2250058,fg_over,line_moved,O8.0->8
2250058,fg_under,line_moved,U8.0->8
2250059,fg_ml_home,proxy_snapshot,0
2250059,fg_ml_away,proxy_snapshot,0
2250059,fg_over,line_moved,O9.0->9
2250059,fg_under,line_moved,U9.0->9
2250060,fg_ml_home,proxy_snapshot,0
2250060,fg_ml_away,proxy_snapshot,0
2250060,fg_over,line_moved,O8.5->8.5
2250060,fg_under,line_moved,U8.5->8.5
2250061,fg_ml_home,proxy_snapshot,0
2250061,fg_ml_away,proxy_snapshot,0
2250061,fg_over,line_moved,O8.5->8.5
2250061,fg_under,line_moved,U8.5->8.5
2250062,fg_ml_home,proxy_snapshot,0
2250062,fg_ml_away,proxy_snapshot,0
2250062,fg_over,line_moved,O7.5->7.5
2250062,fg_under,line_moved,U7.5->7.5
2250063,fg_ml_home,proxy_snapshot,0
2250063,fg_ml_away,proxy_snapshot,0
2250063,fg_over,line_moved,O9.0->9
2250063,fg_under,line_moved,U9.0->9
2252334,fg_ml_home,proxy_snapshot,0
2252334,fg_ml_away,proxy_snapshot,0
2252334,fg_over,line_moved,O9.0->9
2252334,fg_under,line_moved,U9.0->9
2252346,fg_ml_home,proxy_snapshot,0
2252346,fg_ml_away,proxy_snapshot,0
2252346,fg_over,line_moved,O9.5->9.5
2252346,fg_under,line_moved,U9.5->9.5
2250064,fg_ml_home,proxy_snapshot,0
2250064,fg_ml_away,proxy_snapshot,0
2250064,fg_over,line_moved,O8.5->8.5
2250064,fg_under,line_moved,U8.5->8.5
2250065,fg_ml_home,proxy_snapshot,0
2250065,fg_ml_away,proxy_snapshot,0
2250065,fg_over,line_moved,O9.0->9
2250065,fg_under,line_moved,U9.0->9
2250066,fg_ml_home,proxy_snapshot,0
2250066,fg_ml_away,proxy_snapshot,0
