table,column,rows,nulls,pct
mlb_pitcher_rolling5,hr9_5,506,203,40.12
mlb_pitcher_rolling5,whip5,506,203,40.12
mlb_pitcher_rolling5,fip5,506,203,40.12
mlb_pitcher_rolling5,lastStartDate,506,203,40.12
mlb_pitcher_rolling5,firstStartDate,506,203,40.12
mlb_park_factors,runs2024,30,2,6.67
mlb_park_factors,games2024,30,2,6.67
mlb_park_factors,avgRpg2024,30,2,6.67
mlb_park_factors,pf2024,30,2,6.67
mlb_park_factors,runs2026,30,1,3.33
mlb_park_factors,games2026,30,1,3.33
mlb_park_factors,avgRpg2026,30,1,3.33
mlb_park_factors,pf2026,30,1,3.33
mlb_lineups,awayPitcherName,1583,10,0.63
mlb_lineups,awayPitcherHand,1583,10,0.63
mlb_lineups,awayPitcherEra,1583,10,0.63
mlb_lineups,awayPitcherMlbamId,1583,103,6.51
mlb_lineups,homePitcherName,1583,10,0.63
mlb_lineups,homePitcherHand,1583,10,0.63
mlb_lineups,homePitcherEra,1583,10,0.63
mlb_lineups,homePitcherMlbamId,1583,112,7.08
mlb_lineups,awayLineup,1583,10,0.63
mlb_lineups,homeLineup,1583,10,0.63
mlb_lineups,weatherIcon,1583,1,0.06
mlb_lineups,weatherTemp,1583,1,0.06
mlb_lineups,weatherWind,1583,1,0.06
mlb_lineups,weatherPrecip,1583,1,0.06
mlb_lineups,umpire,1583,1,0.06
mlb_lineups,awayPitcherRotowireId,1583,10,0.63
mlb_lineups,homePitcherRotowireId,1583,10,0.63
mlb_lineups,lineupHash,1583,97,6.13
mlb_lineups,lineupModeledAt,1583,196,12.38
mlb_hr_props,mlbamId,17503,6752,38.58
mlb_hr_props,anPlayerId,17503,759,4.34
mlb_hr_props,fdOverOdds,17503,17503,100
mlb_hr_props,fdUnderOdds,17503,17503,100
mlb_hr_props,consensusOverOdds,17503,761,4.35
mlb_hr_props,consensusUnderOdds,17503,1886,10.78
mlb_hr_props,anNoVigOverPct,17503,1888,10.79
mlb_hr_props,modelPHr,17503,7347,41.98
mlb_hr_props,modelOverOdds,17503,7347,41.98
mlb_hr_props,edgeOver,17503,8229,47.01
mlb_hr_props,evOver,17503,8229,47.01
mlb_hr_props,verdict,17503,7347,41.98
mlb_hr_props,actualHr,17503,2677,15.29
mlb_hr_props,backtestResult,17503,3436,19.63
mlb_hr_props,modelCorrect,17503,9738,55.64
mlb_hr_props,modelRunAt,17503,16467,94.08
