id,gamePk,date,month,away,home,venue,game_no,dh,start_et,local_hour,day_night,fav,fav_src,away_ml,home_ml,book_total,line_src,bucket,hand,away_sp,home_sp,actual_away,actual_home,actual_total,away_won,quarantined,live_proj_pure,live_proj_rule,live_proj_src,live_p_away,p1_proj,p1_p_away,p2_proj,p2_p_away,se_live_pure,se_live_rule,se_p1,se_p2,brier_live,brier_p1,brier_p2,hit_live,hit_p1,hit_p2
2250019,823893,2026-03-27,2026-03,COL,MIA,loanDepot park,1,N,6:10 PM ET,18.17,night,home_fav,games,163,-199,8.0,games,8-9,L-R,Kyle Freeland,Sandy Alcantara,1.0,2.0,3.0,0.0,1,,8.0,modelTotal(book),0.439,8.88,0.4599,8.88,0.4599,,5.0,5.88,5.88,0.19272,0.21151,0.21151,1.0,1.0,1.0
2250020,824946,2026-03-27,2026-03,KC,ATL,Truist Park,1,N,6:15 PM ET,18.25,night,home_fav,games,113,-136,7.5,games,<8,L-L,Cole Ragans,Chris Sale,0.0,6.0,6.0,0.0,1,,7.5,modelTotal(book),0.40149999999999997,8.0,0.4035,8.0,0.4035,,1.5,2.0,2.0,0.1612,0.16281,0.16281,1.0,1.0,1.0
2250021,824216,2026-03-27,2026-03,LAA,HOU,Daikin Park,1,N,7:15 PM ET,18.25,night,home_fav,games,140,-169,8.5,games,8-9,L-R,Yusei Kikuchi,Mike Burrows,6.0,2.0,8.0,1.0,1,,8.5,modelTotal(book),0.42219999999999996,8.72,0.4011,8.72,0.4011,,0.5,0.72,0.72,0.33385,0.35868,0.35868,0.0,0.0,0.0
2250022,823324,2026-03-27,2026-03,DET,SD,Petco Park,1,N,8:40 PM ET,17.67,night,home_fav,games,108,-130,7.5,games,<8,L-R,Framber Valdez,Michael King,5.0,2.0,7.0,1.0,1,,7.5,modelTotal(book),0.46130000000000004,7.53,0.4581,7.53,0.4581,,0.5,0.53,0.53,0.2902,0.29366,0.29366,0.0,0.0,0.0
2250023,823162,2026-03-27,2026-03,CLE,SEA,T-Mobile Park,1,N,8:45 PM ET,17.75,night,home_fav,games,149,-181,7.0,games,<8,R-R,Gavin Williams,George Kirby,1.0,5.0,6.0,0.0,1,,7.0,modelTotal(book),0.4511,7.39,0.4305,7.39,0.4305,,1.0,1.39,1.39,0.20349,0.18533,0.18533,1.0,1.0,1.0
2250024,823082,2026-03-28,2026-03,TB,STL,Busch Stadium,1,N,1:15 PM ET,12.25,day,away_fav,games,-115,-105,7.5,games,<8,R-R,Joe Boyle,Michael McGreevy,5.0,6.0,11.0,0.0,1,,7.5,modelTotal(book),0.4692,8.06,0.4406,8.06,0.4406,,-3.5,-2.94,-2.94,0.22015,0.19413,0.19413,1.0,1.0,1.0
2250025,824701,2026-03-28,2026-03,WSH,CHC,Wrigley Field,1,N,1:20 PM ET,12.33,day,home_fav,games,203,-252,8.5,games,8-9,R-R,Miles Mikolas,Cade Horton,2.0,10.0,12.0,0.0,1,,8.5,modelTotal(book),0.3677,8.3,0.3674,8.3,0.3674,,-3.5,-3.7,-3.7,0.1352,0.13498,0.13498,1.0,1.0,1.0
2250026,822838,2026-03-28,2026-03,ATH,TOR,Rogers Centre,1,N,2:07 PM ET,14.12,day,home_fav,games,163,-199,8.0,games,8-9,L-R,Jeffrey Springs,Dylan Cease,7.0,8.0,15.0,0.0,1,,8.0,modelTotal(book),0.45890000000000003,8.7,0.4481,8.7,0.4481,,-7.0,-6.3,-6.3,0.21059,0.20079,0.20079,1.0,1.0,1.0
2250027,824862,2026-03-28,2026-03,MIN,BAL,Oriole Park at Camden Yards,1,N,3:05 PM ET,15.08,day,home_fav,games,141,-171,7.5,games,<8,R-R,Taj Bradley,Kyle Bradish,4.0,1.0,5.0,1.0,1,,7.5,modelTotal(book),0.4018,8.59,0.3811,8.59,0.3811,,2.5,3.59,3.59,0.35784,0.38304,0.38304,0.0,0.0,0.0
2250028,823488,2026-03-28,2026-03,TEX,PHI,Citizens Bank Park,1,N,3:05 PM ET,15.08,day,home_fav,games,128,-154,7.5,games,<8,L-R,Jacob Latz,Aaron Nola,5.0,4.0,9.0,1.0,1,,7.5,modelTotal(book),0.47700000000000004,8.97,0.4763,8.97,0.4763,,-1.5,-0.03,-0.03,0.27353,0.27426,0.27426,0.0,0.0,0.0
2250029,824540,2026-03-28,2026-03,BOS,CIN,Great American Ball Park,1,N,3:10 PM ET,15.17,day,away_fav,games,-136,113,7.5,games,<8,R-R,Sonny Gray,Brady Singer,5.0,6.0,11.0,0.0,1,,7.5,modelTotal(book),0.4343,8.38,0.4294,8.38,0.4294,,-3.5,-2.62,-2.62,0.18862,0.18438,0.18438,1.0,1.0,1.0
2250030,823651,2026-03-28,2026-03,PIT,NYM,Citi Field,1,N,3:10 PM ET,15.17,day,home_fav,games,144,-175,7.5,games,<8,R-L,Mitch Keller,David Peterson,2.0,4.0,6.0,0.0,1,,7.5,modelTotal(book),0.462,8.6,0.4147,8.6,0.4147,,1.5,2.6,2.6,0.21344,0.17198,0.17198,1.0,1.0,1.0
