game_id,date,month,teams,series,sub_market,pick,proj_odds_pick,proj_odds_opp,close_odds_pick,close_odds_opp,novig_proj_pick,novig_close_pick,closing_source,line_match,clv,stored_market,stored_clv,delta_vs_stored
2250006,2026-03-25,2026-03,NYY@SF,p1,ML,HOME,104,-126,102,-122,0.467870,0.473913,proxy,1,0.006043,fg_ml_home,0.006000,0.000043
2250006,2026-03-25,2026-03,NYY@SF,p1,RL,HOME,-175,144,-175,144,0.608262,0.608262,proxy,1,0.000000,fg_rl_home,,
2250006,2026-03-25,2026-03,NYY@SF,p1,TOTAL,OVER,-118,-102,-115,-105,0.517364,0.510834,proxy,1,-0.006530,fg_over,,
2250006,2026-03-25,2026-03,NYY@SF,p2,ML,HOME,104,-126,102,-122,0.467870,0.473913,proxy,1,0.006043,fg_ml_home,0.006000,0.000043
2250006,2026-03-25,2026-03,NYY@SF,p2,RL,HOME,-175,144,-175,144,0.608262,0.608262,proxy,1,0.000000,fg_rl_home,,
2250006,2026-03-25,2026-03,NYY@SF,p2,TOTAL,OVER,-118,-102,-115,-105,0.517364,0.510834,proxy,1,-0.006530,fg_over,,
2250007,2026-03-26,2026-03,PIT@NYM,live,ML,HOME,-120,100,-120,100,0.521739,0.521739,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250007,2026-03-26,2026-03,PIT@NYM,live,RL,HOME,-211,211,-198,162,0.678457,0.635144,proxy,1,-0.043313,fg_rl_home,-0.043400,0.000087
2250007,2026-03-26,2026-03,PIT@NYM,live,TOTAL,OVER,-120,100,-120,100,0.521739,0.521739,proxy,1,0.000000,fg_over,,
2250007,2026-03-26,2026-03,PIT@NYM,p1,ML,HOME,-120,100,-120,100,0.521739,0.521739,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250007,2026-03-26,2026-03,PIT@NYM,p1,RL,HOME,-211,211,-198,162,0.678457,0.635144,proxy,1,-0.043313,fg_rl_home,-0.043400,0.000087
2250007,2026-03-26,2026-03,PIT@NYM,p1,TOTAL,OVER,-120,100,-120,100,0.521739,0.521739,proxy,1,0.000000,fg_over,,
2250007,2026-03-26,2026-03,PIT@NYM,p2,ML,HOME,-120,100,-120,100,0.521739,0.521739,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250007,2026-03-26,2026-03,PIT@NYM,p2,RL,HOME,-211,211,-198,162,0.678457,0.635144,proxy,1,-0.043313,fg_rl_home,-0.043400,0.000087
2250007,2026-03-26,2026-03,PIT@NYM,p2,TOTAL,OVER,-120,100,-120,100,0.521739,0.521739,proxy,1,0.000000,fg_over,,
2250008,2026-03-26,2026-03,CWS@MIL,live,ML,HOME,-193,159,-193,159,0.630456,0.630456,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250008,2026-03-26,2026-03,CWS@MIL,live,RL,AWAY,130,-130,-136,113,0.434783,0.551058,proxy,1,0.116275,fg_rl_away,-0.014100,0.130375
2250008,2026-03-26,2026-03,CWS@MIL,live,TOTAL,OVER,-112,-108,-112,-108,0.504330,0.504330,proxy,1,0.000000,fg_over,,
2250008,2026-03-26,2026-03,CWS@MIL,p1,ML,HOME,-193,159,-193,159,0.630456,0.630456,proxy,1,0.000000,fg_ml_home,0.000000,0.000000
2250008,2026-03-26,2026-03,CWS@MIL,p1,RL,AWAY,130,-130,-136,113,0.434783,0.551058,proxy,1,0.116275,fg_rl_away,-0.014100,0.130375
2250008,2026-03-26,2026-03,CWS@MIL,p1,TOTAL,OVER,-112,-108,-112,-108,0.504330,0.504330,proxy,1,0.000000,fg_over,,
