gameId,gameDate,month,mlbGamePk,awayTeam,homeTeam,venue,parkFactor3yr,roof,doubleHeader,gameNumber,startET,localHour,dayNight,aScore,hScore,totalActual,homeWin,lineOu,lineSrc,p1_pAwayMl,p1_projTotal,p1_pOver,p1_projAway,p1_projHome,p1_pAwayRl,p2_pAwayMl,p2_projTotal,p2_pOver,envMultUsed,TfgUsed,totalSdUsed
2250026,2026-03-28,2026-03,822838,ATH,TOR,Rogers Centre,1.0028292007511364,roof,N,1,14.117,14.117,day,7,8,15.0,1,8.0,games.bookTotal,0.44810,8.700,0.50540,4.230,4.470,0.60400,0.44810,8.700,0.50540,1.0,1.0,4.5
2250027,2026-03-28,2026-03,824862,MIN,BAL,Oriole Park at Camden Yards,1.0451331923662392,open,N,1,15.083,15.083,day,4,1,5.0,0,7.5,games.bookTotal,0.38110,8.590,0.53370,3.790,4.790,0.54120,0.38110,8.590,0.53370,1.0,1.0,4.5
2250028,2026-03-28,2026-03,823488,TEX,PHI,Citizens Bank Park,1.0484931745187165,open,N,1,15.083,15.083,day,5,4,9.0,0,7.5,games.bookTotal,0.47630,8.970,0.56570,4.520,4.450,0.62620,0.47630,8.970,0.56570,1.0,1.0,4.5
2250029,2026-03-28,2026-03,824540,BOS,CIN,Great American Ball Park,0.9902854490964874,open,N,1,15.167,15.167,day,5,6,11.0,1,7.5,games.bookTotal,0.42940,8.380,0.51620,3.970,4.410,0.33630,0.42940,8.380,0.51620,1.0,1.0,4.5
2250030,2026-03-28,2026-03,823651,PIT,NYM,Citi Field,1.0238596433357876,open,N,1,15.167,15.167,day,2,4,6.0,1,7.5,games.bookTotal,0.41470,8.600,0.53510,3.990,4.610,0.57300,0.41470,8.600,0.53510,1.0,1.0,4.5
2250031,2026-03-28,2026-03,823892,COL,MIA,loanDepot park,0.9585538609518026,roof,N,1,15.167,15.167,day,3,4,7.0,1,7.5,games.bookTotal,0.42130,8.430,0.51950,3.950,4.480,0.58270,0.42130,8.430,0.51950,1.0,1.0,4.5
2250032,2026-03-28,2026-03,824213,LAA,HOU,Daikin Park,0.9911732357433639,roof,N,1,18.167,17.167,night,9,11,20.0,1,9.0,games.bookTotal,0.41950,8.450,0.39720,3.940,4.500,0.58020,0.41950,8.450,0.39720,1.0,1.0,4.5
2250033,2026-03-28,2026-03,823811,CWS,MIL,American Family Field,0.9522189984168762,roof,N,1,18.167,17.167,night,1,6,7.0,1,8.0,games.bookTotal,0.38170,8.630,0.49750,3.810,4.810,0.54120,0.38170,8.630,0.49750,1.0,1.0,4.5
2250034,2026-03-28,2026-03,824945,KC,ATL,Truist Park,0.9774370157800405,open,N,1,18.25,18.25,night,2,6,8.0,1,8.5,games.bookTotal,0.51880,9.850,0.55830,5.230,4.620,0.65730,0.51880,9.850,0.55830,1.0,1.0,4.5
2250035,2026-03-28,2026-03,823241,NYY,SF,Oracle Park,0.9410097101514341,open,N,1,18.25,15.25,day,3,1,4.0,0,8.5,games.bookTotal,0.38250,8.180,0.41950,3.620,4.560,0.29440,0.38250,8.180,0.41950,1.0,1.0,4.5
2250036,2026-03-28,2026-03,823323,DET,SD,Petco Park,0.8944051349677884,open,N,1,19.667,16.667,day,0,3,3.0,1,8.0,games.bookTotal,0.43560,8.020,0.44440,3.830,4.190,0.33730,0.43560,8.020,0.44440,1.0,1.0,4.5
2250037,2026-03-28,2026-03,823161,CLE,SEA,T-Mobile Park,0.8411265978531404,roof,N,1,20.667,17.667,night,6,5,11.0,0,7.0,games.bookTotal,0.41220,6.800,0.42190,3.130,3.680,0.59540,0.41220,6.800,0.42190,1.0,1.0,4.5
2252307,2026-03-28,2026-03,823973,ARI,LAD,Dodger Stadium,1.0009612737608329,open,N,1,20.167,17.167,night,2,3,5.0,1,8.5,games.bookTotal,0.33950,8.820,0.47450,3.650,5.170,0.49850,0.33950,8.820,0.47450,1.0,1.0,4.5
2250038,2026-03-29,2026-03,824864,MIN,BAL,Oriole Park at Camden Yards,1.0451331923662392,open,N,1,12.583,12.583,day,6,8,14.0,1,9.0,games.bookTotal,0.42560,9.550,0.48960,4.500,5.050,0.57260,0.42560,9.550,0.48960,1.0,1.0,4.5
2250039,2026-03-29,2026-03,823487,TEX,PHI,Citizens Bank Park,1.0484931745187165,open,N,1,12.583,12.583,day,8,3,11.0,0,8.0,games.bookTotal,0.41490,9.250,0.54950,4.300,4.960,0.56610,0.41490,9.250,0.54950,1.0,1.0,4.5
2250040,2026-03-29,2026-03,824944,KC,ATL,Truist Park,0.9774370157800405,open,N,1,12.583,12.583,day,4,1,5.0,0,8.0,games.bookTotal,0.40270,8.960,0.52600,4.090,4.880,0.55770,0.40270,8.960,0.52600,1.0,1.0,4.5
2250041,2026-03-29,2026-03,822837,ATH,TOR,Rogers Centre,1.0028292007511364,roof,N,1,12.617,12.617,day,2,5,7.0,1,9.0,games.bookTotal,0.42080,8.380,0.39170,3.920,4.460,0.58110,0.42080,8.380,0.39170,1.0,1.0,4.5
2250042,2026-03-29,2026-03,824538,BOS,CIN,Great American Ball Park,0.9902854490964874,open,N,1,12.667,12.667,day,2,3,5.0,1,8.5,games.bookTotal,0.46230,8.400,0.43880,4.160,4.240,0.36640,0.46230,8.400,0.43880,1.0,1.0,4.5
2250043,2026-03-29,2026-03,823647,PIT,NYM,Citi Field,1.0238596433357876,open,N,1,12.667,12.667,day,4,3,7.0,0,7.5,games.bookTotal,0.38450,8.320,0.51100,3.690,4.630,0.54820,0.38450,8.320,0.51100,1.0,1.0,4.5
2250044,2026-03-29,2026-03,823891,COL,MIA,loanDepot park,0.9585538609518026,roof,N,1,12.667,12.667,day,3,4,7.0,1,8.0,games.bookTotal,0.51270,8.960,0.52640,4.730,4.230,0.65920,0.51270,8.960,0.52640,1.0,1.0,4.5
2250045,2026-03-29,2026-03,824215,LAA,HOU,Daikin Park,0.9911732357433639,roof,N,1,13.167,12.167,day,7,9,16.0,1,9.0,games.bookTotal,0.33820,9.700,0.50000,4.030,5.670,0.48800,0.33820,9.700,0.50000,1.0,1.0,4.5
2250046,2026-03-29,2026-03,823810,CWS,MIL,American Family Field,0.9522189984168762,roof,N,1,13.167,12.167,day,7,9,16.0,1,7.5,games.bookTotal,0.41740,8.000,0.48220,3.720,4.280,0.58330,0.41740,8.000,0.48220,1.0,1.0,4.5
2250047,2026-03-29,2026-03,823079,TB,STL,Busch Stadium,0.9270781176097251,open,N,1,13.25,12.25,day,11,7,18.0,0,7.5,games.bookTotal,0.48890,8.100,0.49160,4.150,3.950,0.38670,0.48890,8.100,0.49160,1.0,1.0,4.5
2250048,2026-03-29,2026-03,824700,WSH,CHC,Wrigley Field,1.005140346320558,open,N,1,13.333,12.333,day,6,3,9.0,0,9.0,games.bookTotal,0.36650,8.790,0.42760,3.800,4.990,0.52590,0.36650,8.790,0.42760,1.0,1.0,4.5
2250049,2026-03-29,2026-03,823160,CLE,SEA,T-Mobile Park,0.8411265978531404,roof,N,1,18.333,15.333,day,0,8,8.0,1,7.5,games.bookTotal,0.45110,7.700,0.45430,3.750,3.950,0.61750,0.45110,7.700,0.45430,1.0,1.0,4.5
2250050,2026-03-30,2026-03,824135,MIN,KC,Kauffman Stadium,0.998168321517966,open,N,1,15.167,14.167,day,1,3,4.0,1,10.0,games.bookTotal,0.39440,8.430,0.31860,3.770,4.660,0.55210,0.39440,8.430,0.31860,1.0,1.0,4.5
2250051,2026-03-30,2026-03,824863,TEX,BAL,Oriole Park at Camden Yards,1.0451331923662392,open,N,1,17.583,17.583,night,5,2,7.0,0,9.0,games.bookTotal,0.43940,9.160,0.45830,4.400,4.760,0.59050,0.43940,9.160,0.45830,1.0,1.0,4.5
2250052,2026-03-30,2026-03,824539,PIT,CIN,Great American Ball Park,0.9902854490964874,open,N,1,17.667,17.667,night,0,2,2.0,1,8.5,games.bookTotal,0.46740,8.510,0.44780,4.240,4.270,0.62290,0.46740,8.510,0.44780,1.0,1.0,4.5
2250053,2026-03-30,2026-03,823484,WSH,PHI,Citizens Bank Park,1.0484931745187165,open,N,1,17.667,17.667,night,13,2,15.0,0,9.0,games.bookTotal,0.43420,9.440,0.48100,4.500,4.930,0.58270,0.43420,9.440,0.48100,1.0,1.0,4.5
2250054,2026-03-30,2026-03,823890,CWS,MIA,loanDepot park,0.9585538609518026,roof,N,1,17.667,17.667,night,9,4,13.0,0,8.0,games.bookTotal,0.44640,8.380,0.47640,4.060,4.320,0.60530,0.44640,8.380,0.47640,1.0,1.0,4.5
2250055,2026-03-30,2026-03,822834,COL,TOR,Rogers Centre,1.0028292007511364,roof,N,1,18.117,18.117,night,14,5,19.0,0,8.0,games.bookTotal,0.43190,9.660,0.58190,4.590,5.070,0.57870,0.43190,9.660,0.58190,1.0,1.0,4.5
