gameId,gameDate,month,pAwayMl,pOver,pAwayRl,projAwayScore,projHomeScore,projTotal,additivity_abs_diff,core_violations,supp_violations
2250068,2026-03-31,2026-03,0.44910,0.59910,0.59240,4.820,5.080,9.900,0.000000,,
2250069,2026-03-31,2026-03,0.35960,0.41900,0.51970,3.720,4.980,8.690,0.010000,,
2250070,2026-03-31,2026-03,0.39430,0.57030,0.55600,3.770,4.610,8.390,0.010000,,
2250071,2026-03-31,2026-03,0.39860,0.46480,0.30280,3.530,4.280,7.810,0.000000,,
2250072,2026-03-31,2026-03,0.47220,0.44400,0.37650,4.250,4.210,8.470,0.010000,,
2250073,2026-03-31,2026-03,0.38650,0.50630,0.54960,3.670,4.600,8.270,0.000000,,
2250074,2026-03-31,2026-03,0.52470,0.53740,0.42650,4.630,4.000,8.630,0.000000,,
2250075,2026-03-31,2026-03,0.46220,0.42990,0.34720,3.410,3.480,6.880,0.010000,,
2250076,2026-03-31,2026-03,0.36810,0.49620,0.52840,3.730,4.880,8.610,0.000000,,
2250077,2026-04-01,2026-04,0.36230,0.52500,0.52440,3.630,4.850,8.480,0.000000,,
2250078,2026-04-01,2026-04,0.44070,0.37740,0.33920,3.710,4.010,7.710,0.010000,,
2250079,2026-04-01,2026-04,0.46450,0.44340,0.35900,3.770,3.820,7.590,0.000000,,
2250080,2026-04-01,2026-04,0.35020,0.55920,0.50170,3.960,5.430,9.390,0.000000,,
2250081,2026-04-01,2026-04,0.41310,0.55420,0.56920,4.080,4.740,8.820,0.000000,,
2250082,2026-04-01,2026-04,0.45520,0.48600,0.61690,3.930,4.100,8.030,0.000000,,
2250083,2026-04-01,2026-04,0.48130,0.46220,0.37630,3.950,3.830,7.780,0.000000,,
2250084,2026-04-01,2026-04,0.46260,0.53730,0.62410,3.960,4.040,8.000,0.000000,,
2250085,2026-04-01,2026-04,0.47190,0.55290,0.37280,4.100,4.080,8.180,0.000000,,
2250086,2026-04-01,2026-04,0.37400,0.67840,0.53550,3.750,4.820,8.570,0.000000,,
2250087,2026-04-01,2026-04,0.40480,0.38800,0.57930,3.380,4.040,7.420,0.000000,,
2250088,2026-04-01,2026-04,0.45740,0.47640,0.34930,3.610,3.740,7.350,0.000000,,
2250089,2026-04-01,2026-04,0.42400,0.44340,0.32670,3.760,4.260,8.010,0.010000,,
