gameId,gameDate,matchup,mlbGamePk,actualAway,actualHome,schedScore,linescoreScore,bookTotal,awayRunLine,modelAwayWinPct,modelOverRate,modelAwayScore,modelHomeScore,stored_fgMlResult,derived_fgMlResult,fgMl_status,stored_fgMlCorrect,derived_fgMlCorrect,stored_fgRlResult,derived_fgRlResult,fgRl_status,stored_fgRlCorrect,derived_fgRlCorrect,stored_fgTotalResult,derived_fgTotalResult,fgTotal_status,stored_fgTotalCorrect,derived_fgTotalCorrect,stored_brierFgMl,derived_brierFgMl_away,derived_brierFgMl_home,brierFgMl_status,stored_brierFgTotal,derived_brierFgTotal,brierFgTotal_status
2250022,2026-03-27,DET@SD 2026-03-27,823324,5,2,5-2,5-2,7.5,1.5,46.13,50.75,3.93,4.36,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.290198,0.290198,0.290198,match-away-base,0.257556,0.257556,match
2250023,2026-03-27,CLE@SEA 2026-03-27,823162,1,5,1-5,1-5,7,1.5,45.11,53.8,3.74,4.28,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,0,0,0.203491,0.203491,0.203491,match-away-base,0.289444,0.289444,match
2252293,2026-03-27,ARI@LAD 2026-03-27,823971,4,5,4-5,4-5,8.5,1.5,40.4,35.43,3.25,4.24,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,0,0,0.163216,0.163216,0.163216,match-away-base,0.416928,0.416928,match
2250024,2026-03-28,TB@STL 2026-03-28,823082,5,6,5-6,5-6,7.5,-1.5,46.92,60.32,4.53,4.91,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.220149,0.220149,0.220149,match-away-base,0.15745,0.15745,match
2250025,2026-03-28,WSH@CHC 2026-03-28,824701,2,10,2-10,2-10,8.5,1.5,36.77,43.85,3.45,4.96,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,0,0,0.135203,0.135203,0.135203,match-away-base,0.315282,0.315282,match
2250026,2026-03-28,ATH@TOR 2026-03-28,822838,7,8,7-8,7-8,8,1.5,45.89,58.89,4.62,5.13,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.210589,0.210589,0.210589,match-away-base,0.169003,0.169003,match
2250027,2026-03-28,MIN@BAL 2026-03-28,824862,4,1,4-1,4-1,7.5,1.5,40.18,53.35,3.73,4.86,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.357843,0.357843,0.357843,match-away-base,0.284622,0.284622,match
2250028,2026-03-28,TEX@PHI 2026-03-28,823488,5,4,5-4,5-4,7.5,1.5,47.7,60.03,4.56,4.84,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.273529,0.273529,0.273529,match-away-base,0.15976,0.15976,match
2250029,2026-03-28,BOS@CIN 2026-03-28,824540,5,6,5-6,5-6,7.5,-1.5,43.43,55.8,4.05,4.82,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.188616,0.188616,0.188616,match-away-base,0.195364,0.195364,match
2250030,2026-03-28,PIT@NYM 2026-03-28,823651,2,4,2-4,2-4,7.5,1.5,46.2,60.26,4.48,4.95,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,0,0,0.213444,0.213444,0.213444,match-away-base,0.363127,0.363127,match
2250031,2026-03-28,COL@MIA 2026-03-28,823892,3,4,3-4,3-4,7.5,1.5,38.35,52.12,3.56,4.89,WIN,WIN,match,1,1,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.147072,0.147072,0.147072,match-away-base,0.271649,0.271649,match
2250032,2026-03-28,LAA@HOU 2026-03-28,824213,9,11,9-11,9-11,9,1.5,45.6,40.53,4.02,4.52,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,0,0,0.207936,0.207936,0.207936,match-away-base,0.353668,0.353668,match
2250033,2026-03-28,CWS@MIL 2026-03-28,823811,1,6,1-6,1-6,8,1.5,38.36,60.56,4.25,5.75,WIN,WIN,match,1,1,WIN,,stored-not-derivable,1,,UNDER,UNDER,match,0,0,0.147149,0.147149,0.147149,match-away-base,0.366751,0.366751,match
2250034,2026-03-28,KC@ATL 2026-03-28,824945,2,6,2-6,2-6,8.5,1.5,43.64,46.13,3.96,4.7,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.190445,0.190445,0.190445,match-away-base,0.212798,0.212798,match
2250035,2026-03-28,NYY@SF 2026-03-28,823241,3,1,3-1,3-1,8.5,-1.5,43.93,37.72,3.54,4.18,LOSS,LOSS,match,0,0,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.314384,0.314384,0.314384,match-away-base,0.14228,0.14228,match
2250036,2026-03-28,DET@SD 2026-03-28,823323,0,3,0-3,0-3,8,-1.5,44.54,44.4,3.71,4.3,WIN,WIN,match,1,1,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.198381,0.198381,0.198381,match-away-base,0.197136,0.197136,match
2250037,2026-03-28,CLE@SEA 2026-03-28,823161,6,5,6-5,6-5,7,1.5,42.22,46.6,3.23,4.01,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,OVER,OVER,match,0,0,0.333853,0.333853,0.333853,match-away-base,0.285156,0.285156,match
2252307,2026-03-28,ARI@LAD 2026-03-28,823973,2,3,2-3,2-3,8.5,1.5,37.29,43.05,3.44,4.87,WIN,WIN,match,1,1,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.139054,0.139054,0.139054,match-away-base,0.18533,0.18533,match
2250038,2026-03-29,MIN@BAL 2026-03-29,824864,6,8,6-8,6-8,9,1.5,44.02,45.59,4.21,4.92,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,0,0,0.193776,0.193776,0.193776,match-away-base,0.296045,0.296045,match
2250039,2026-03-29,TEX@PHI 2026-03-29,823487,8,3,8-3,8-3,8,1.5,37.84,56.23,3.96,5.47,LOSS,LOSS,match,0,0,LOSS,LOSS,match,0,0,OVER,OVER,match,1,1,0.386387,0.386387,0.386387,match-away-base,0.191581,0.191581,match
2250040,2026-03-29,KC@ATL 2026-03-29,824944,4,1,4-1,4-1,8,1.5,39.9,55.56,4.05,5.29,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,0,0,0.361201,0.361201,0.361201,match-away-base,0.308691,0.308691,match
