dim,slice,n_games,live_pure_n,live_pure_bias,live_pure_ci_lo,live_pure_ci_hi,live_pure_mae,live_pure_mean_proj,live_pure_mean_actual,live_pure_flag_bias,live_pure_flag_bias_centered,live_rule_n,live_rule_bias,live_rule_ci_lo,live_rule_ci_hi,live_rule_mae,live_rule_mean_proj,live_rule_mean_actual,live_rule_flag_bias,live_rule_flag_bias_centered,p1_n,p1_bias,p1_ci_lo,p1_ci_hi,p1_mae,p1_mean_proj,p1_mean_actual,p1_flag_bias,p1_flag_bias_centered,p2_n,p2_bias,p2_ci_lo,p2_ci_hi,p2_mae,p2_mean_proj,p2_mean_actual,p2_flag_bias,p2_flag_bias_centered,live_ml_n,live_brier,live_hit,live_mean_p_away,live_actual_away_rate,live_brier_dev,live_flag_brier,p1_ml_n,p1_brier,p1_hit,p1_mean_p_away,p1_actual_away_rate,p1_brier_dev,p1_flag_brier,p2_ml_n,p2_brier,p2_hit,p2_mean_p_away,p2_actual_away_rate,p2_brier_dev,p2_flag_brier
team,DET,104,63,0.111,-0.7822,1.0041,2.8884,8.0792,7.9683,0,0,103,-0.1409,-0.9014,0.6197,3.1017,8.0533,8.1942,0,0,104,0.1566,-0.6117,0.925,3.1397,8.3105,8.1538,0,0,104,0.3305,-0.4425,1.1035,3.2032,8.4843,8.1538,0,0,103,0.2457,0.5728,0.4524,0.4175,-0.0015,0,104,0.236,0.6058,0.4432,0.4231,-0.0111,1,104,0.2375,0.6058,0.4601,0.4231,-0.0096,0
team,HOU,105,64,-0.4283,-1.6069,0.7503,3.8392,8.6186,9.0469,0,0,105,-0.8706,-1.7862,0.0451,3.9401,8.7009,9.5714,0,0,105,-0.6768,-1.5704,0.2168,3.8093,8.8947,9.5714,0,0,105,-0.4971,-1.3986,0.4043,3.8332,9.0743,9.5714,0,0,105,0.251,0.5143,0.4471,0.4952,0.0038,0,105,0.2492,0.5238,0.4274,0.4952,0.0021,0,105,0.2452,0.5238,0.4461,0.4952,-0.0019,0
team,KC,105,64,-1.2622,-2.5646,0.0402,3.9284,8.5816,9.8438,0,0,104,-0.82,-1.8249,0.1849,3.9031,8.4973,9.3173,0,0,105,-0.6373,-1.6365,0.3619,3.9181,8.715,9.3524,0,0,105,-0.4566,-1.4581,0.545,3.9624,8.8958,9.3524,0,0,104,0.2416,0.6154,0.4456,0.4135,-0.0056,0,105,0.2513,0.5238,0.432,0.419,0.0042,0,105,0.2497,0.5238,0.4483,0.419,0.0026,0
team,LAA,104,63,-0.6565,-1.8353,0.5223,3.8702,8.5022,9.1587,0,0,104,-0.6621,-1.5758,0.2515,3.7723,8.5206,9.1827,0,0,104,-0.5395,-1.463,0.384,3.7911,8.6432,9.1827,0,0,104,-0.3642,-1.29,0.5616,3.8288,8.8185,9.1827,0,0,104,0.2378,0.5962,0.4521,0.4327,-0.0094,0,104,0.2368,0.6058,0.4356,0.4327,-0.0103,1,104,0.2389,0.6058,0.4509,0.4327,-0.0082,0
team,LAD,104,64,-0.4522,-1.5924,0.6881,3.7156,8.6416,9.0938,0,0,104,-0.1629,-1.0088,0.6831,3.575,8.6737,8.8365,0,0,104,0.0266,-0.8201,0.8734,3.6055,8.8632,8.8365,0,0,104,0.2095,-0.6379,1.0569,3.6392,9.0461,8.8365,0,0,104,0.2422,0.6058,0.4501,0.5192,-0.005,0,104,0.2497,0.5865,0.4384,0.5192,0.0026,0,104,0.2479,0.5865,0.4543,0.5192,0.0008,0
team,MIA,104,63,-0.1775,-1.1698,0.8149,3.3441,8.6162,8.7937,0,0,103,-0.3658,-1.1309,0.3992,3.2542,8.3915,8.7573,0,0,104,-0.1137,-0.8581,0.6306,3.2012,8.6266,8.7404,0,0,104,0.0701,-0.6735,0.8137,3.2,8.8105,8.7404,0,0,103,0.2377,0.6311,0.4476,0.4078,-0.0095,0,104,0.2409,0.5962,0.4335,0.4038,-0.0062,0,104,0.2446,0.5962,0.4506,0.4038,-0.0025,0
team,MIL,103,64,-0.2637,-1.4898,0.9623,3.6909,8.4706,8.7344,0,0,102,-0.5675,-1.4706,0.3357,3.4629,8.1973,8.7647,0,0,103,-0.3362,-1.2255,0.553,3.4517,8.4211,8.7573,0,0,103,-0.1623,-1.0578,0.7333,3.5033,8.595,8.7573,0,0,102,0.2426,0.598,0.4439,0.4804,-0.0046,0,103,0.2524,0.5243,0.4362,0.4854,0.0053,0,103,0.2509,0.5243,0.4532,0.4854,0.0038,0
team,MIN,105,64,-1.1686,-2.3544,0.0172,3.9292,8.6439,9.8125,0,0,104,-1.3345,-2.257,-0.412,3.8988,8.4347,9.7692,1,0,105,-0.9275,-1.811,-0.044,3.7249,8.863,9.7905,1,0,105,-0.7439,-1.6294,0.1415,3.7119,9.0465,9.7905,0,0,104,0.2493,0.5096,0.4523,0.4904,0.0021,0,105,0.2528,0.5524,0.4331,0.4857,0.0057,0,105,0.2521,0.5524,0.4507,0.4857,0.005,0
team,NYM,104,64,-0.9264,-2.1024,0.2496,3.5377,8.433,9.3594,0,0,102,-0.4538,-1.375,0.4674,3.5334,8.2423,8.6961,0,0,104,0.1235,-0.7988,1.0457,3.6967,8.8542,8.7308,0,0,104,0.3113,-0.6109,1.2335,3.7409,9.0421,8.7308,0,0,102,0.2451,0.5392,0.4495,0.4804,-0.0021,0,104,0.249,0.5096,0.4389,0.4904,0.0019,0,104,0.2518,0.5096,0.4523,0.4904,0.0047,0
team,NYY,103,62,0.341,-0.6903,1.3722,3.3748,8.6635,8.3226,0,0,102,0.0553,-0.7486,0.8592,3.2916,8.5063,8.451,0,0,103,0.0646,-0.7235,0.8527,3.2747,8.5403,8.4757,0,0,103,0.248,-0.5415,1.0374,3.31,8.7237,8.4757,0,0,101,0.2493,0.5347,0.4532,0.5347,0.0021,0,103,0.2475,0.5243,0.4388,0.534,0.0004,0,103,0.2478,0.5243,0.456,0.534,0.0007,0
