series,sub_market,month,scope,n_rows,graded,hits,hit_rate,hit_ci95,n_prob,brier,logloss,n_err,mae,rmse,bias,bias_ci95,bias_sig
p2,ML,2026-06,all,394,394,220,0.5584,0.049,394,0.24617,0.6854,0,,,,,
p2,ML,2026-07,all,274,274,148,0.5401,0.059,274,0.24631,0.68569,0,,,,,
p2,RL,ALL,all,1555,1555,913,0.5871,0.0245,1555,0.24123,0.67563,1555,3.5632,4.611,-0.3835,0.2285,1
p2,RL,2026-03,all,76,76,43,0.5658,0.1114,76,0.24978,0.6932,76,3.3216,4.1426,-0.1732,0.9367,0
p2,RL,2026-04,all,392,392,223,0.5689,0.049,392,0.24749,0.68917,392,3.4976,4.3843,-0.3261,0.4334,0
p2,RL,2026-05,all,419,419,254,0.6062,0.0468,419,0.23372,0.65973,419,3.5989,4.6195,-0.3585,0.4415,0
p2,RL,2026-06,all,394,394,239,0.6066,0.0482,394,0.2386,0.67016,394,3.4722,4.5873,-0.5092,0.4507,1
p2,RL,2026-07,all,274,274,154,0.562,0.0587,274,0.24516,0.68354,274,3.8006,5.0506,-0.3815,0.5974,0
p2,TOTAL,ALL,all,1555,1493,818,0.5479,0.0252,1493,0.24907,0.69176,1555,3.5282,4.4537,-0.0488,0.2214,0
p2,TOTAL,2026-03,all,76,73,43,0.589,0.1129,73,0.24368,0.68039,76,3.6888,4.4518,-0.1338,1.0071,0
p2,TOTAL,2026-04,all,392,373,186,0.4987,0.0507,373,0.2567,0.70815,392,3.5391,4.4818,-0.427,0.4422,0
p2,TOTAL,2026-05,all,419,401,228,0.5686,0.0485,401,0.24739,0.68829,419,3.4603,4.2615,0.5749,0.4048,1
p2,TOTAL,2026-06,all,394,378,214,0.5661,0.05,378,0.24416,0.68127,394,3.3668,4.4599,-0.3192,0.4398,0
p2,TOTAL,2026-07,all,274,268,147,0.5485,0.0596,268,0.24935,0.69203,274,3.8038,4.6864,-0.0491,0.5559,0
