family,slice,n,ratio_p1,ratio_p2,bias_p1,bias_p2,sd_p2,t_p2,mae_p1,mae_p2
MJ-park,TEX,35,1.2130,1.1767,1.6657,1.4246,3.6604,2.3025,3.3069,3.2466
MJ-park,TOR,38,0.9721,0.9465,-0.2405,-0.4742,4.4290,-0.6599,3.6589,3.6933
MJ-park,WSH,39,1.0495,1.0182,0.5090,0.1933,5.0932,0.2370,3.9479,3.9403
MJ-dayNight,day,380,1.0154,0.9851,0.1365,-0.1356,4.5008,-0.5874,3.5011,3.5432
MJ-dayNight,night,707,1.0212,0.9922,0.1877,-0.0708,4.4172,-0.4264,3.4592,3.4968
MJ-month,2026-05,419,0.9802,0.9374,-0.1737,-0.5746,4.2276,-2.7820,3.3853,3.4604
MJ-month,2026-06,394,1.0514,1.0353,0.4570,0.3190,4.4540,1.4218,3.3597,3.3668
MJ-month,2026-07,274,1.0316,1.0054,0.2823,0.0490,4.6948,0.1729,3.7733,3.8039
MJ-lineBucket,8-8.5,434,1.0294,0.9991,0.2519,-0.0079,4.3426,-0.0377,3.4241,3.4579
MJ-lineBucket,9-9.5,283,1.0029,0.9752,0.0269,-0.2376,4.3970,-0.9091,3.5051,3.5319
MJ-lineBucket,<=7.5,251,0.9973,0.9658,-0.0212,-0.2812,4.0498,-1.0999,3.1747,3.2320
MJ-lineBucket,>=10,119,1.0568,1.0301,0.6134,0.3329,5.5971,0.6488,4.2117,4.2622
