gamePk,season,officialDate,gameDate,gameType,seriesDescription,doubleHeader,gameNumber,status,codedState,away,awayId,awayScore,home,homeId,homeScore,winner,loser,save,innings,venue,dayNight,seriesGameNumber,gamesInSeries,isTie,resumeDate,rescheduleDate
663178,2022,2022-04-07,2022-04-07T18:20:00Z,R,Regular Season,N,1,Final,F,Milwaukee Brewers,158,4,Chicago Cubs,112,5,Mychal Givens,Aaron Ashby,David Robertson,9,Wrigley Field,day,1,3,False,,
662766,2022,2022-04-07,2022-04-07T20:10:00Z,R,Regular Season,N,1,Final,F,Cleveland Guardians,114,1,Kansas City Royals,118,3,Scott Barlow,Triston McKenzie,,9,Kauffman Stadium,day,1,4,False,,
662021,2022,2022-04-07,2022-04-07T20:15:00Z,R,Regular Season,N,1,Final,F,Pittsburgh Pirates,134,0,St. Louis Cardinals,138,9,Adam Wainwright,JT Brubaker,,9,Busch Stadium,day,1,3,False,,
662571,2022,2022-04-07,2022-04-07T23:05:00Z,R,Regular Season,N,1,Final,F,New York Mets,121,5,Washington Nationals,120,1,Tylor Megill,Patrick Corbin,,9,Nationals Park,night,1,4,False,,
661577,2022,2022-04-07,2022-04-08T00:08:00Z,R,Regular Season,N,1,Final,F,Cincinnati Reds,113,6,Atlanta Braves,144,3,Tyler Mahle,Max Fried,Tony Santillan,9,Truist Park,night,1,4,False,,
661042,2022,2022-04-07,2022-04-08T01:38:00Z,R,Regular Season,N,1,Final,F,Houston Astros,117,3,Los Angeles Angels,108,1,Framber Valdez,Shohei Ohtani,Ryan Pressly,9,Angel Stadium,night,1,4,False,,
663418,2022,2022-04-07,2022-04-08T01:40:00Z,R,Regular Season,N,1,Final,F,San Diego Padres,135,2,Arizona Diamondbacks,109,4,Joe Mantiply,Robert Suarez,,9,Chase Field,night,1,4,False,,
661333,2022,2022-04-08,2022-04-08T17:05:00Z,R,Regular Season,N,1,Final,F,Boston Red Sox,111,5,New York Yankees,147,6,Michael King,Kutter Crawford,,11,Yankee Stadium,day,1,3,False,,
662888,2022,2022-04-08,2022-04-08T17:10:00Z,R,Regular Season,N,1,Final,F,Chicago White Sox,145,4,Detroit Tigers,116,5,Gregory Soto,Liam Hendriks,,9,Comerica Park,day,1,3,False,,
661131,2022,2022-04-08,2022-04-08T19:05:00Z,R,Regular Season,N,1,Final,F,Oakland Athletics,133,5,Philadelphia Phillies,143,9,Aaron Nola,Frankie Montas,,9,Citizens Bank Park,day,1,3,False,,
661918,2022,2022-04-08,2022-04-08T19:10:00Z,R,Regular Season,N,1,Final,F,Baltimore Orioles,110,1,Tampa Bay Rays,139,2,Andrew Kittredge,Dillon Tate,Brooks Raley,9,Tropicana Field,day,1,3,False,,
661750,2022,2022-04-08,2022-04-08T20:10:00Z,R,Regular Season,N,1,Final,F,Seattle Mariners,136,2,Minnesota Twins,142,1,Robbie Ray,Joe Ryan,Drew Steckenrider,9,Target Field,day,1,4,False,,
662933,2022,2022-04-08,2022-04-08T20:10:00Z,R,Regular Season,N,1,Final,F,Los Angeles Dodgers,119,5,Colorado Rockies,115,3,Walker Buehler,Kyle Freeland,Craig Kimbrel,9,Coors Field,day,1,3,False,,
662124,2022,2022-04-08,2022-04-08T20:35:00Z,R,Regular Season,N,1,Final,F,Miami Marlins,146,5,San Francisco Giants,137,6,Jose Alvarez,Anthony Bass,,10,Oracle Park,day,1,3,False,,
662559,2022,2022-04-08,2022-04-08T23:05:00Z,R,Regular Season,N,1,Final,F,New York Mets,121,7,Washington Nationals,120,3,Max Scherzer,Josiah Gray,,9,Nationals Park,night,2,4,False,,
661782,2022,2022-04-08,2022-04-08T23:07:00Z,R,Regular Season,N,1,Final,F,Texas Rangers,140,8,Toronto Blue Jays,141,10,Adam Cimber,Dennis Santana,Jordan Romano,9,Rogers Centre,night,1,3,False,,
661576,2022,2022-04-08,2022-04-08T23:20:00Z,R,Regular Season,N,1,Final,F,Cincinnati Reds,113,6,Atlanta Braves,144,7,Charlie Morton,Reiver Sanmartin,,9,Truist Park,night,2,4,False,,
661041,2022,2022-04-08,2022-04-09T01:38:00Z,R,Regular Season,N,1,Final,F,Houston Astros,117,13,Los Angeles Angels,108,6,Rafael Montero,Oliver Ortega,,9,Angel Stadium,night,2,4,False,,
