gamePk,season,officialDate,gameDate,gameType,seriesDescription,doubleHeader,gameNumber,status,codedState,away,awayId,awayScore,home,homeId,homeScore,winner,loser,save,innings,venue,dayNight,seriesGameNumber,gamesInSeries,isTie,resumeDate,rescheduleDate
233757,2008,2008-03-25,2008-03-25T10:05:00Z,R,Regular Season,N,1,Final,F,Boston Red Sox,111,6,Oakland Athletics,133,5,Hideki Okajima,Huston Street,Jonathan Papelbon,10,Tokyo Dome,night,1,4,False,,
233758,2008,2008-03-26,2008-03-26T10:05:00Z,R,Regular Season,N,1,Final,F,Boston Red Sox,111,1,Oakland Athletics,133,5,Rich Harden,Jon Lester,,9,Tokyo Dome,night,2,4,False,,
233759,2008,2008-03-30,2008-03-31T00:05:00Z,R,Regular Season,N,1,Final,F,Atlanta Braves,144,2,Washington Nationals,120,3,Jon Rauch,Peter Moylan,,9,Nationals Park,night,1,1,False,,
233765,2008,2008-03-31,2008-03-31T17:05:00Z,R,Regular Season,N,1,Final,F,Kansas City Royals,118,5,Detroit Tigers,116,4,Juan Carlos Oviedo,Denny Bautista,Joakim Soria,11,Comerica Park,day,1,3,False,,
233761,2008,2008-03-31,2008-03-31T18:10:00Z,R,Regular Season,N,1,Final,F,Arizona Diamondbacks,109,4,Cincinnati Reds,113,2,Brandon Webb,Aaron Harang,Brandon Lyon,9,Great American Ball Park,day,1,3,False,,
233766,2008,2008-03-31,2008-03-31T18:20:00Z,R,Regular Season,N,1,Final,F,Milwaukee Brewers,158,4,Chicago Cubs,112,3,Eric Gagne,Bob Howry,David Riske,10,Wrigley Field,day,1,3,False,,
233762,2008,2008-03-31,2008-03-31T19:05:00Z,R,Regular Season,N,1,Final,F,Chicago White Sox,145,8,Cleveland Indians,114,10,Rafael Betancourt,Octavio Dotel,Joe Borowski,9,Progressive Field,day,1,3,False,,
233770,2008,2008-03-31,2008-03-31T19:05:00Z,R,Regular Season,N,1,Final,F,Tampa Bay Rays,139,6,Baltimore Orioles,110,2,James Shields,Jeremy Guthrie,,9,Oriole Park at Camden Yards,day,1,2,False,,
233773,2008,2008-03-31,2008-03-31T19:05:00Z,R,Regular Season,N,1,Final,F,Washington Nationals,120,11,Philadelphia Phillies,143,6,Saul Rivera,Tom Gordon,,9,Citizens Bank Park,day,1,3,False,,
233767,2008,2008-03-31,2008-03-31T20:10:00Z,R,Regular Season,N,1,Final,F,New York Mets,121,7,Florida Marlins,146,2,Johan Santana,Mark Hendrickson,,9,Dolphin Stadium,day,1,3,False,,
233769,2008,2008-03-31,2008-03-31T20:10:00Z,R,Regular Season,N,1,Final,F,San Francisco Giants,137,0,Los Angeles Dodgers,119,5,Brad Penny,Barry Zito,,9,Dodger Stadium,day,1,3,False,,
233771,2008,2008-03-31,2008-03-31T22:40:00Z,R,Regular Season,N,1,Final,F,Texas Rangers,140,2,Seattle Mariners,136,5,Sean Green,Kevin Millwood,J.J. Putz,9,Safeco Field,day,1,3,False,,
233768,2008,2008-03-31,2008-03-31T23:00:00Z,R,Regular Season,N,1,Final,F,Pittsburgh Pirates,134,12,Atlanta Braves,144,11,Franquelis Osoria,Blaine Boyer,,12,Turner Field,night,1,3,False,,
