gamePk,season,officialDate,gameDate,gameType,seriesDescription,doubleHeader,gameNumber,status,codedState,away,awayId,awayScore,home,homeId,homeScore,winner,loser,save,innings,venue,dayNight,seriesGameNumber,gamesInSeries,isTie,resumeDate,rescheduleDate
718780,2023,2023-03-30,2023-03-30T17:05:00Z,R,Regular Season,N,1,Final,F,Atlanta Braves,144,7,Washington Nationals,120,2,Lucas Luetge,Patrick Corbin,,9,Nationals Park,day,1,3,False,,
718781,2023,2023-03-30,2023-03-30T17:05:00Z,R,Regular Season,N,1,Final,F,San Francisco Giants,137,0,New York Yankees,147,5,Gerrit Cole,Logan Webb,,9,Yankee Stadium,day,1,3,False,,
718782,2023,2023-03-30,2023-03-30T18:10:00Z,R,Regular Season,N,1,Final,F,Baltimore Orioles,110,10,Boston Red Sox,111,9,Kyle Gibson,Corey Kluber,Félix Bautista,9,Fenway Park,day,1,3,False,,
718777,2023,2023-03-30,2023-03-30T18:20:00Z,R,Regular Season,N,1,Final,F,Milwaukee Brewers,158,0,Chicago Cubs,112,4,Marcus Stroman,Corbin Burnes,,9,Wrigley Field,day,1,3,False,,
718776,2023,2023-03-30,2023-03-30T19:10:00Z,R,Regular Season,N,1,Final,F,Detroit Tigers,116,0,Tampa Bay Rays,139,4,Shane McClanahan,Eduardo Rodriguez,,9,Tropicana Field,day,1,3,False,,
718779,2023,2023-03-30,2023-03-30T20:05:00Z,R,Regular Season,N,1,Final,F,Philadelphia Phillies,143,7,Texas Rangers,140,11,Cole Ragans,Gregory Soto,,9,Globe Life Field,day,1,3,False,,
718772,2023,2023-03-30,2023-03-30T20:10:00Z,R,Regular Season,N,1,Final,F,Toronto Blue Jays,141,10,St. Louis Cardinals,138,9,Yimi García,Ryan Helsley,Jordan Romano,9,Busch Stadium,day,1,3,False,,
718773,2023,2023-03-30,2023-03-30T20:10:00Z,R,Regular Season,N,1,Final,F,Pittsburgh Pirates,134,5,Cincinnati Reds,113,4,Rob Zastryzny,Buck Farmer,David Bednar,9,Great American Ball Park,day,1,3,False,,
718774,2023,2023-03-30,2023-03-30T20:10:00Z,R,Regular Season,N,1,Final,F,New York Mets,121,5,Miami Marlins,146,3,Max Scherzer,Tanner Scott,David Robertson,9,loanDepot park,day,1,4,False,,
718775,2023,2023-03-30,2023-03-30T20:10:00Z,R,Regular Season,N,1,Final,F,Minnesota Twins,142,2,Kansas City Royals,118,0,Pablo López,Zack Greinke,Jhoan Duran,9,Kauffman Stadium,day,1,3,False,,
718768,2023,2023-03-30,2023-03-30T23:08:00Z,R,Regular Season,N,1,Final,F,Chicago White Sox,145,3,Houston Astros,117,2,Kendall Graveman,Ryan Pressly,Reynaldo López,9,Minute Maid Park,night,1,4,False,,
718778,2023,2023-03-30,2023-03-31T01:40:00Z,R,Regular Season,N,1,Final,F,Colorado Rockies,115,7,San Diego Padres,135,2,Germán Márquez,Blake Snell,,9,Petco Park,night,1,4,False,,
718769,2023,2023-03-30,2023-03-31T02:07:00Z,R,Regular Season,N,1,Final,F,Los Angeles Angels,108,1,Oakland Athletics,133,2,Trevor May,Aaron Loup,Dany Jiménez,9,Oakland Coliseum,night,1,3,False,,
718767,2023,2023-03-30,2023-03-31T02:10:00Z,R,Regular Season,N,1,Final,F,Cleveland Guardians,114,0,Seattle Mariners,136,3,Paul Sewald,James Karinchak,Andrés Muñoz,9,T-Mobile Park,night,1,4,False,,
718770,2023,2023-03-30,2023-03-31T02:10:00Z,R,Regular Season,N,1,Final,F,Arizona Diamondbacks,109,2,Los Angeles Dodgers,119,8,Julio Urías,Zac Gallen,,9,Dodger Stadium,night,1,4,False,,
