gamePk,season,officialDate,gameDate,gameType,seriesDescription,doubleHeader,gameNumber,status,codedState,away,awayId,awayScore,home,homeId,homeScore,winner,loser,save,innings,venue,dayNight,seriesGameNumber,gamesInSeries,isTie,resumeDate,rescheduleDate
263816,2010,2010-04-04,2010-04-05T00:05:00Z,R,Regular Season,N,1,Final,F,New York Yankees,147,7,Boston Red Sox,111,9,Hideki Okajima,Chan Ho Park,Jonathan Papelbon,9,Fenway Park,night,1,3,False,,
263817,2010,2010-04-05,2010-04-05T17:05:00Z,R,Regular Season,N,1,Final,F,Philadelphia Phillies,143,11,Washington Nationals,120,1,Roy Halladay,John Lannan,,9,Nationals Park,day,1,3,False,,
263813,2010,2010-04-05,2010-04-05T17:10:00Z,R,Regular Season,N,1,Final,F,Florida Marlins,146,1,New York Mets,121,7,Johan Santana,Josh Johnson,,9,Citi Field,day,1,3,False,,
263820,2010,2010-04-05,2010-04-05T17:10:00Z,R,Regular Season,N,1,Final,F,St. Louis Cardinals,138,11,Cincinnati Reds,113,6,Chris Carpenter,Aaron Harang,,9,Great American Ball Park,day,1,3,False,,
263814,2010,2010-04-05,2010-04-05T17:35:00Z,R,Regular Season,N,1,Final,F,Los Angeles Dodgers,119,5,Pittsburgh Pirates,134,11,Zach Duke,Vicente Padilla,,9,PNC Park,day,1,3,False,,
263810,2010,2010-04-05,2010-04-05T18:05:00Z,R,Regular Season,N,1,Final,F,Cleveland Indians,114,0,Chicago White Sox,145,6,Mark Buehrle,Jake Westbrook,,9,U.S. Cellular Field,day,1,3,False,,
263821,2010,2010-04-05,2010-04-05T18:05:00Z,R,Regular Season,N,1,Final,F,Toronto Blue Jays,141,4,Texas Rangers,140,5,Frank Francisco,Jason Frasor,,9,Rangers Ballpark in Arlington,day,1,3,False,,
263811,2010,2010-04-05,2010-04-05T18:10:00Z,R,Regular Season,N,1,Final,F,Colorado Rockies,115,5,Milwaukee Brewers,158,3,Ubaldo Jiménez,Yovani Gallardo,Franklin Morales,9,Miller Park,day,1,3,False,,
263809,2010,2010-04-05,2010-04-05T20:10:00Z,R,Regular Season,N,1,Final,F,Chicago Cubs,112,5,Atlanta Braves,144,16,Derek Lowe,Carlos Zambrano,,9,Turner Field,day,1,3,False,,
263812,2010,2010-04-05,2010-04-05T20:10:00Z,R,Regular Season,N,1,Final,F,Detroit Tigers,116,8,Kansas City Royals,118,4,Joel Zumaya,Robinson Tejeda,,9,Kauffman Stadium,day,1,3,False,,
263818,2010,2010-04-05,2010-04-05T21:10:00Z,R,Regular Season,N,1,Final,F,San Diego Padres,135,3,Arizona Diamondbacks,109,6,Dan Haren,Jon Garland,,9,Chase Field,day,1,3,False,,
263822,2010,2010-04-05,2010-04-05T23:05:00Z,R,Regular Season,N,1,Final,F,San Francisco Giants,137,5,Houston Astros,117,2,Tim Lincecum,Roy Oswalt,Brian Wilson,9,Minute Maid Park,night,1,3,False,,
263815,2010,2010-04-05,2010-04-06T02:05:00Z,R,Regular Season,N,1,Final,F,Minnesota Twins,142,3,Los Angeles Angels,108,6,Jered Weaver,Scott Baker,Brian Fuentes,9,Angel Stadium of Anaheim,night,1,4,False,,
263819,2010,2010-04-05,2010-04-06T02:05:00Z,R,Regular Season,N,1,Final,F,Seattle Mariners,136,5,Oakland Athletics,133,3,Brandon League,Brad Ziegler,David Aardsma,9,Oakland Coliseum,night,1,4,False,,
263823,2010,2010-04-06,2010-04-06T23:10:00Z,R,Regular Season,N,1,Final,F,Baltimore Orioles,110,3,Tampa Bay Rays,139,4,Rafael Soriano,Michael Gonzalez,,9,Tropicana Field,night,1,3,False,,
263837,2010,2010-04-06,2010-04-06T23:10:00Z,R,Regular Season,N,1,Final,F,New York Yankees,147,6,Boston Red Sox,111,4,Alfredo Aceves,Hideki Okajima,Mariano Rivera,9,Fenway Park,night,2,3,False,,
263828,2010,2010-04-06,2010-04-07T00:05:00Z,R,Regular Season,N,1,Final,F,San Francisco Giants,137,3,Houston Astros,117,0,Barry Zito,Wandy Rodriguez,Brian Wilson,9,Minute Maid Park,night,2,3,False,,
263824,2010,2010-04-06,2010-04-07T00:10:00Z,R,Regular Season,N,1,Final,F,Colorado Rockies,115,5,Milwaukee Brewers,158,7,Randy Wolf,Greg Smith,Trevor Hoffman,9,Miller Park,night,2,3,False,,
263826,2010,2010-04-06,2010-04-07T01:40:00Z,R,Regular Season,N,1,Final,F,San Diego Padres,135,6,Arizona Diamondbacks,109,3,Chris Young,Edwin Jackson,Heath Bell,9,Chase Field,night,2,3,False,,
263825,2010,2010-04-06,2010-04-07T02:05:00Z,R,Regular Season,N,1,Final,F,Minnesota Twins,142,5,Los Angeles Angels,108,3,Nick Blackburn,Joe Saunders,Jon Rauch,9,Angel Stadium of Anaheim,night,2,4,False,,
263827,2010,2010-04-06,2010-04-07T02:05:00Z,R,Regular Season,N,1,Final,F,Seattle Mariners,136,1,Oakland Athletics,133,2,Edwar Ramirez,Kanekoa Texeira,,10,Oakland Coliseum,night,2,4,False,,
263832,2010,2010-04-07,2010-04-07T17:10:00Z,R,Regular Season,N,1,Final,F,Colorado Rockies,115,4,Milwaukee Brewers,158,5,Todd Coffey,Aaron Cook,Trevor Hoffman,9,Miller Park,day,3,3,False,,
263843,2010,2010-04-07,2010-04-07T18:05:00Z,R,Regular Season,N,1,Final,F,San Francisco Giants,137,10,Houston Astros,117,4,Jeremy Affeldt,Sammy Gervacio,,9,Minute Maid Park,day,3,3,False,,
263835,2010,2010-04-07,2010-04-07T23:05:00Z,R,Regular Season,N,1,Final,F,Los Angeles Dodgers,119,3,Pittsburgh Pirates,134,4,Brendan Donnelly,Ramón Ortiz,,10,PNC Park,night,2,3,False,,
263838,2010,2010-04-07,2010-04-07T23:05:00Z,R,Regular Season,N,1,Final,F,Philadelphia Phillies,143,8,Washington Nationals,120,4,Cole Hamels,Jason Marquis,Ryan Madson,9,Nationals Park,night,2,3,False,,
263829,2010,2010-04-07,2010-04-07T23:10:00Z,R,Regular Season,N,1,Final,F,Baltimore Orioles,110,3,Tampa Bay Rays,139,4,Matt Garza,Jeremy Guthrie,Rafael Soriano,9,Tropicana Field,night,2,3,False,,
263830,2010,2010-04-07,2010-04-07T23:10:00Z,R,Regular Season,N,1,Final,F,Chicago Cubs,112,2,Atlanta Braves,144,3,Peter Moylan,John Grabow,Billy Wagner,9,Turner Field,night,2,3,False,,
263834,2010,2010-04-07,2010-04-07T23:10:00Z,R,Regular Season,N,1,Final,F,Florida Marlins,146,7,New York Mets,121,6,Juan Carlos Oviedo,Hisanori Takahashi,Tim Wood,10,Citi Field,night,2,3,False,,
