state,market,fold,n,logloss,logloss_raw,brier,auc,ece,cal_slope,cal_intercept,sharpness,head,mc_se_mean,crps,mae,bias,calib_shift,bias_post_shift,cov50,cov90,tail_pred,tail_obs,var_pred,var_obs
A,fg_ml,2021,2422,0.6778131625148672,0.679732217657574,0.24242844713798054,0.5960095259266578,0.019620284987733955,1.4358176845361366,-0.11238620819189282,0.057480558968106936,platt_calib,0.0007706354586216596,,,,,,,,,,,
A,fg_ml,2022,2421,0.6766681178139095,0.6782405915005149,0.24184537041042797,0.5987195218085726,0.008730095654394823,1.0776697079363866,-0.02868602621544146,0.07815824308389303,platt_calib,0.0007732341210274132,,,,,,,,,,,
A,fg_ml,2023,2427,0.6837195928749618,0.6854318339641593,0.2453426767885716,0.577138707285381,0.02080956889816875,0.8278752448220121,-0.00880605054230431,0.0797917102592262,platt_calib,0.0007750091523752619,,,,,,,,,,,
A,fg_ml,2024,2425,0.6847306187239425,0.6866797741385283,0.24582737385563777,0.5696498953324829,0.006018890339410505,0.9921489412109381,0.0015314320482032804,0.06147315368406,platt_calib,0.0007774891597358126,,,,,,,,,,,
A,fg_ml,2025,2425,0.6839062826331604,0.6880531794008672,0.24546402440335105,0.5559834050146789,0.03223087532758491,0.9746564342409761,0.11470690863798337,0.06096439968469346,platt_calib,0.0007782838028649487,,,,,,,,,,,
A,fg_ml,2026,1595,0.6910958606096844,0.6942318217064469,0.24894126670681876,0.5442206875693114,0.02256548949792303,0.6828473133360398,-0.03744889957120652,0.054155948250813254,platt_calib,0.0007802349270363274,,,,,,,,,,,
A,fg_rl,2021,2304,0.6483859326884753,0.6462787477585721,0.2280981223376478,0.5995953257449482,0.04349851238036681,2.1947850899973167,0.4516991884013487,0.03859497043965093,platt_calib,0.000770525536607391,,,,,,,,,,,
A,fg_rl,2022,2421,0.6404248859593688,0.6425275219094353,0.22448820407277,0.598847066174685,0.00835281352558174,1.0199636131421295,-0.0031738202138951333,0.07617391466926815,platt_calib,0.0007732341210274132,,,,,,,,,,,
A,fg_rl,2023,2427,0.6415253799054996,0.6435405935176268,0.22480883335267768,0.5932348533504603,0.01475327986592896,0.9470733827478134,-0.0198903981596608,0.07465429389725252,platt_calib,0.0007750091523752619,,,,,,,,,,,
A,fg_rl,2024,2425,0.6405154231516383,0.6422995140095751,0.22436203263241178,0.578859979866931,0.011945933258348362,0.9715525267912036,-0.03664334324071262,0.065531224892121,platt_calib,0.0007774891597358126,,,,,,,,,,,
A,fg_rl,2025,2425,0.6437140348788688,0.6471295203069074,0.22594093036860885,0.5655891507336595,0.011154972757289524,0.9725044209213622,0.026379297679799536,0.06127233268742871,platt_calib,0.0007782838028649487,,,,,,,,,,,
A,fg_rl,2026,1595,0.6507181910730141,0.6562681988115178,0.2292430783752861,0.5466311820575609,0.020265111434313567,0.6639622815112122,-0.18915883201299208,0.05567327794246916,platt_calib,0.0007802349270363274,,,,,,,,,,,
A,fg_total,2021,2304,,,,,,,,,,,2.4700228543091405,3.5679743467881937,0.4898271705729167,-0.5346069668789808,-0.044779796306063845,0.5755208333333334,0.9314236111111112,0.38331693359375,0.3506944444444444,21.689754224966812,20.344480726453995
A,fg_total,2022,2421,,,,,,,,,,,2.4258945547472344,3.5351539938042134,0.7373924704667494,-0.40316004774305564,0.3342324227236939,0.5572077653862041,0.9310202395704255,0.35487084097480376,0.29120198265179675,20.53095933367691,19.31843717055825
A,fg_total,2023,2427,,,,,,,,,,,2.5380000345067617,3.648967962093119,0.1293382884219201,-0.6696555142503099,-0.5403172258283901,0.5611866501854141,0.9147095179233622,0.3599880168932839,0.35640708693860734,20.763244863935228,20.980993082050254
A,fg_total,2024,2425,,,,,,,,,,,2.387163223526706,3.4507795447422684,0.4422564659793815,-0.022324389781623464,0.4199320761977583,0.5711340206185567,0.9348453608247422,0.34844642226804123,0.3150515463917526,20.364970743358022,18.587300499521735
A,fg_total,2025,2425,,,,,,,,,,,2.5220152431708263,3.662149784329896,0.44875475505154644,-0.5414915307216495,-0.09273677567010294,0.5554639175257732,0.9204123711340206,0.35838670515463916,0.32783505154639175,20.79951729157833,21.122905133382933
A,fg_total,2026,1595,,,,,,,,,,,2.4964314840358397,3.611606500940439,0.25997089592476486,-0.4216062474226805,-0.16163535149791533,0.5598746081504702,0.9297805642633229,0.35310676112852657,0.3341692789968652,20.54785267593101,20.731063570523087
A,f5_ml,2021,2070,0.6798869728866449,0.6840562130877634,0.2434504271471913,0.5877041740152851,0.029525869413412828,1.2369426670405166,-0.11967819717085518,0.05769306719171455,platt_calib,0.0007705783863396566,,,,,,,,,,,
A,f5_ml,2022,1994,0.6796450325138575,0.6825621979985964,0.24328725893258105,0.5866581518976853,0.018558130458081835,1.1036387878276088,-0.041206970649887424,0.0683049236576336,platt_calib,0.000773171382924237,,,,,,,,,,,
A,f5_ml,2023,2062,0.6839883888412059,0.6890455112291823,0.24546042418297997,0.5717757265021768,0.023883842840916637,0.831361865206258,0.005873782964526629,0.0756571705969689,platt_calib,0.0007748130550110074,,,,,,,,,,,
A,f5_ml,2024,2086,0.6823198271772691,0.6850732542653125,0.24461896432993147,0.586418190104826,0.0216190520279737,1.2540448570113705,-0.04297860223030119,0.05773526684046854,platt_calib,0.0007772631150217576,,,,,,,,,,,
A,f5_ml,2025,2039,0.6840791881570214,0.6844654892581568,0.24551168534143541,0.5664165717429543,0.033764076335167786,0.8930568016375684,0.1319781733327107,0.06967335920088688,platt_calib,0.0007779772556244667,,,,,,,,,,,
A,f5_ml,2026,1345,0.6899837966748019,0.6945237231962644,0.24836745937151072,0.5380114751623132,0.016734381512306315,0.6006341331665145,0.023639018249780475,0.056405564064218726,platt_calib,0.0007799820872828859,,,,,,,,,,,
A,f5_rl,2021,2422,0.683933551844291,0.6868853763773498,0.24540550241054412,0.5749795254004968,0.03246097476647698,1.482092506671981,-0.0002544578088288698,0.04222765232615749,platt_calib,0.0007706354586216596,,,,,,,,,,,
A,f5_rl,2022,2421,0.677842147643853,0.6785368805221194,0.24246742478797212,0.5774259224109386,0.01955874786633702,1.1274854804383794,-0.06182200491513224,0.05881399458559794,platt_calib,0.0007732341210274132,,,,,,,,,,,
A,f5_rl,2023,2427,0.683278472771266,0.6858087473645561,0.24507064436093928,0.5557912737711785,0.018400006358002582,0.7497637475450435,-0.023272308651974723,0.06527574445066248,platt_calib,0.0007750091523752619,,,,,,,,,,,
A,f5_rl,2024,2425,0.6810280567900244,0.6817978681153757,0.24398572045296898,0.5708549418804595,0.0077494649008196265,1.3002184231322356,0.07217110686060284,0.04515584634204566,platt_calib,0.0007774891597358126,,,,,,,,,,,
A,f5_rl,2025,2425,0.6848582458009561,0.6874126349134337,0.24585982000094506,0.5510545438585182,0.01569102232484213,0.8638290410029678,0.03308941314627697,0.05609265442338578,platt_calib,0.0007782838028649487,,,,,,,,,,,
A,f5_rl,2026,1595,0.6855949295975504,0.6886651893724006,0.24625437681107384,0.5419200971139118,0.012978758880251053,0.8025522372498832,-0.06315743170275798,0.04440949772150117,platt_calib,0.0007802349270363274,,,,,,,,,,,
A,f5_total,2021,2422,,,,,,,,,,,1.825819736164314,2.6088085842279103,0.05756507555739076,0.00671041071428548,0.06427548627167644,0.55532617671346,0.902559867877787,0.292041377374071,0.2943848059454996,8.765124753821631,11.255215745291066
A,f5_total,2022,2421,,,,,,,,,,,1.815367639871934,2.6239241288723667,0.19364189756299063,-0.04938345169281603,0.1442584458701744,0.513424204874019,0.8888888888888888,0.268290058653449,0.27344072697232547,8.301596067188756,10.898074315661136
A,f5_total,2023,2427,,,,,,,,,,,1.9421551792529423,2.751098090234858,-0.17494260939431386,-0.17789812804626198,-0.3528407374405762,0.5010300782859497,0.880922950144211,0.2744145916769674,0.31479192418623814,8.424848276079366,12.291058445122507
A,f5_total,2024,2425,,,,,,,,,,,1.7820953914693753,2.5570610041237116,0.029158447422680485,0.23297191512154913,0.2621303625442297,0.5364948453608247,0.8960824742268041,0.2636125707216495,0.27628865979381445,8.233903392469768,10.401483515782761
A,f5_total,2025,2425,,,,,,,,,,,1.8240673239179002,2.6194535558762886,0.036371622680412524,-0.09112659298969082,-0.05475497030927863,0.5249484536082474,0.8993814432989691,0.27220052742268047,0.2861855670103093,8.407477127644272,11.071337485386332
A,f5_total,2026,1595,,,,,,,,,,,1.7852326379625967,2.557241698432602,-0.05088879435736665,-0.013013596701031013,-0.06390239105839739,0.5379310344827586,0.8984326018808777,0.2661040426332289,0.2984326018808777,8.276360797439107,10.70695295840253
A,nrfi,2021,2422,0.6923353676371883,0.7379099579061396,0.24958572026192918,0.5302136692688303,0.014489457584783996,0.7078780963178504,-0.04171132986782885,0.03696456720740186,platt_calib,0.0007706354586216596,,,,,,,,,,,
A,nrfi,2022,2421,0.6937520773776504,0.7374464561622652,0.2502999085030102,0.5037383912036246,0.01094151438385013,0.15373338650738885,0.06908773779610862,0.027307771681613243,platt_calib,0.0007732341210274132,,,,,,,,,,,
A,nrfi,2023,2427,0.693320720744049,0.7283815921668456,0.2500867170901783,0.5190510953862034,0.019818637549455558,2.2492454486115,-0.16504570337718064,0.009251105200992434,platt_calib,0.0007750091523752619,,,,,,,,,,,
A,nrfi,2024,2425,0.6926225164703638,0.7402632236503248,0.2497379943740125,0.5178710998882267,0.034133845727854904,0.8601513100184714,0.1367865364638081,0.021622675283400415,platt_calib,0.0007774891597358126,,,,,,,,,,,
A,nrfi,2025,2425,0.6952128276156855,0.7224930035669741,0.2510284055118357,0.5208039991130011,0.03771476057184426,0.9278558891145308,-0.1360821862648248,0.018555791775622877,platt_calib,0.0007782838028649487,,,,,,,,,,,
A,nrfi,2026,1595,0.6917832705868316,0.7167899383619148,0.2493200936415047,0.5256076921383025,0.005441308409329861,1.2866028002827063,-0.0169378507145895,0.019829080476584264,platt_calib,0.0007802349270363274,,,,,,,,,,,
B,fg_ml,2021,2422,0.6745313752716038,0.6782485017451496,0.24084810359785672,0.6014030227184157,0.011835190892463753,1.1747723330793516,-0.0499525157847933,0.07561510735255124,platt_calib,0.0007643819489185123,,,,,,,,,,,
B,fg_ml,2022,2421,0.6710289603886479,0.6712329581002333,0.2390429985913425,0.6201514227154638,0.019750841278172775,1.228455531184367,-0.05838059434105921,0.08259434093358287,platt_calib,0.0007677418943729632,,,,,,,,,,,
B,fg_ml,2023,2427,0.6811250273878902,0.6830034322579666,0.2441269486673346,0.5843448327471377,0.0225528620533887,0.7895175259031575,-0.008408137599315945,0.09608812301764855,platt_calib,0.0007697133308466141,,,,,,,,,,,
B,fg_ml,2024,2425,0.6821790849535422,0.6846293101142896,0.2445737223439835,0.5798471418135828,0.007086505156438333,1.0012127072673815,-0.003978257982190013,0.07038359556662989,platt_calib,0.000773021439000641,,,,,,,,,,,
B,fg_ml,2025,2425,0.6828829134792098,0.68740986368923,0.24495728688085622,0.5663199783996558,0.028063550317636462,0.9462358160911123,0.11616562497437401,0.06715522983115374,platt_calib,0.0007752264574550187,,,,,,,,,,,
B,fg_ml,2026,1595,0.6876816407454457,0.691245085627133,0.24729254472762774,0.5549710467285008,0.021843035517817452,0.8202134298752501,-0.05638299797155112,0.06430610809316833,platt_calib,0.0007758162837800135,,,,,,,,,,,
B,fg_rl,2021,2304,0.6443936574767687,0.6453692671040248,0.2262519934035615,0.6045273438734473,0.02959014259474423,1.5561402887480322,0.17860030561198342,0.056950953565422506,platt_calib,0.0007643331004199651,,,,,,,,,,,
B,fg_rl,2022,2421,0.6350523720006814,0.6357386170679913,0.22187658050347256,0.6195014836443755,0.02657563351949011,1.1930570789024335,0.08333581212602342,0.07900969360491074,platt_calib,0.0007677418943729632,,,,,,,,,,,
B,fg_rl,2023,2427,0.6345116986947756,0.6358791738983098,0.22172396143842515,0.6117814246377132,0.01102876763852595,1.008399524855782,0.012726465618339237,0.08946002987818108,platt_calib,0.0007697133308466141,,,,,,,,,,,
B,fg_rl,2024,2425,0.6370805804921651,0.6386178135880207,0.22285727147894033,0.592885372551122,0.006950946558351527,0.9062853366453514,-0.07703066285250634,0.08280945450640453,platt_calib,0.000773021439000641,,,,,,,,,,,
