market,verdict,final_iteration,n_scored,reason,logloss,brier,auc,ece,betting_metrics,promotion,crps_final,crps_base,mae,bias
fg_ml,REMODEL,6,13715,mean dLL vs baseline +0.00318 (folds CI>0: 2/6); ECE 0.0238; slope 0.56; seasons improved 4/6,0.69054,0.24648,0.5652,0.0238,BLOCKED_BY_DATA_BOUNDARY,NOT_RECOMMENDED (deployable starter reconstruction ~50% hit rate caps matchup value; no priced-market proof possible in-boundary),,,,
fg_rl,REMODEL,6,13597,mean dLL vs baseline +0.00344 (folds CI>0: 1/6); ECE 0.0174; slope 0.54; seasons improved 4/6,0.65111,0.22729,0.5692,0.0174,BLOCKED_BY_DATA_BOUNDARY,NOT_RECOMMENDED (deployable starter reconstruction ~50% hit rate caps matchup value; no priced-market proof possible in-boundary),,,,
fg_total,RECALIBRATE,6,13597,CRPS delta vs baseline mean -0.0001; bias mean -0.100; seasons improved 2/6,,,,,BLOCKED_BY_DATA_BOUNDARY,NOT_RECOMMENDED (deployable starter reconstruction ~50% hit rate caps matchup value; no priced-market proof possible in-boundary),2.49,2.4899,3.543,-0.1
f5_ml,REMODEL,6,11596,mean dLL vs baseline -0.00688 (folds CI>0: 1/6); ECE 0.0283; slope 0.43; seasons improved 3/6,0.69985,0.24742,0.5659,0.0283,BLOCKED_BY_DATA_BOUNDARY,NOT_RECOMMENDED (deployable starter reconstruction ~50% hit rate caps matchup value; no priced-market proof possible in-boundary),,,,
f5_rl,REMODEL,6,13715,mean dLL vs baseline +0.00212 (folds CI>0: 1/6); ECE 0.0180; slope 0.57; seasons improved 4/6,0.68714,0.24591,0.5556,0.018,BLOCKED_BY_DATA_BOUNDARY,NOT_RECOMMENDED (deployable starter reconstruction ~50% hit rate caps matchup value; no priced-market proof possible in-boundary),,,,
f5_total,RECALIBRATE,6,13715,CRPS delta vs baseline mean -0.0001; bias mean +0.020; seasons improved 3/6,,,,,BLOCKED_BY_DATA_BOUNDARY,NOT_RECOMMENDED (deployable starter reconstruction ~50% hit rate caps matchup value; no priced-market proof possible in-boundary),1.8303,1.8303,2.625,0.02
nrfi,REMODEL,6,13715,mean dLL vs baseline -0.00744 (folds CI>0: 0/6); ECE 0.0329; slope 0.29; seasons improved 4/6,0.70358,0.25163,0.511,0.0329,BLOCKED_BY_DATA_BOUNDARY,NOT_RECOMMENDED (deployable starter reconstruction ~50% hit rate caps matchup value; no priced-market proof possible in-boundary),,,,
