market,fold,clim,prior_run,strongest_baseline,v2_A,slope_A,ece_A,v2_B,slope_B,ece_B,v2_C,slope_C,ece_C
fg_ml,2021,0.6901180592498002,0.6884607644722079,0.6884607644722079,0.6778131625148672,1.4358176845361366,0.0196202849877339,0.6745313752716038,1.1747723330793516,0.0118351908924637,0.674590682067267,1.2114663557216876,0.0130853466839738
fg_ml,2022,0.6909386759067608,0.6830516705349337,0.6830516705349337,0.6766681178139095,1.0776697079363866,0.0087300956543948,0.6710289603886479,1.228455531184367,0.0197508412781727,0.671911559538861,1.1554447108870856,0.0199663393547964
fg_ml,2023,0.6926046910886132,0.6885007488687966,0.6885007488687966,0.6837195928749618,0.8278752448220121,0.0208095688981687,0.6811250273878902,0.7895175259031575,0.0225528620533887,0.6796938036793668,0.84800314932599,0.0173804075753044
fg_ml,2024,0.6925419540490191,0.6826839479890846,0.6826839479890846,0.6847306187239425,0.992148941210938,0.0060188903394105,0.6821790849535422,1.0012127072673815,0.0070865051564383,0.6812224820206924,0.9944931559817972,0.0052854811257819
fg_ml,2025,0.6896576247389996,0.7063262878532917,0.6896576247389996,0.6839062826331604,0.974656434240976,0.0322308753275849,0.6828829134792098,0.9462358160911124,0.0280635503176364,0.6826808617612555,0.8993874575473946,0.0310616115876516
fg_ml,2026,0.6924806689025302,0.6941995629015032,0.6924806689025302,0.6910958606096844,0.6828473133360398,0.022565489497923,0.6876816407454457,0.8202134298752501,0.0218430355178174,0.6875746349116276,0.8229838546660522,0.0206728404157663
fg_rl,2021,0.657695566558354,0.6601714439994887,0.657695566558354,0.6483859326884753,2.1947850899973167,0.0434985123803668,0.6443936574767687,1.5561402887480322,0.0295901425947442,0.6456442355016484,1.7248719726009387,0.035200817560603
fg_rl,2022,0.6535736110909,0.6436036526264175,0.6436036526264175,0.6404248859593688,1.0199636131421297,0.0083528135255817,0.6350523720006814,1.1930570789024335,0.0265756335194901,0.6360720276246669,1.1361042975841005,0.0224885384566231
fg_rl,2023,0.6526116122371457,0.6443138266857676,0.6443138266857676,0.6415253799054996,0.9470733827478134,0.0147532798659289,0.6345116986947756,1.008399524855782,0.0110287676385259,0.6330453498743632,1.0918500191851868,0.0054008371024094
fg_rl,2024,0.6495417993668726,0.6430573455685207,0.6430573455685207,0.6405154231516383,0.9715525267912036,0.0119459332583483,0.6370805804921651,0.9062853366453514,0.0069509465583515,0.6366681810338342,0.8750694707340197,0.0110310942157779
fg_rl,2025,0.6515858327314668,0.6603640550046556,0.6515858327314668,0.6437140348788688,0.9725044209213622,0.0111549727572895,0.6425464768036537,0.9041407485448366,0.0243794770779829,0.643020828685979,0.8582295127435553,0.0100221013881439
fg_rl,2026,0.6530090052338927,0.6551701175886766,0.6530090052338927,0.6507181910730141,0.6639622815112122,0.0202651114343135,0.6456948233293269,0.8876338560829041,0.0199359787318647,0.6458195798459764,0.910666557750348,0.0224467902041599
fg_total,2021,2.497091766546,2.4982337890625,2.497091766546,2.4700228543091405,,,2.4547360516907304,,,2.457261449411563,,
fg_total,2022,2.4214776627565686,2.42002572596551,2.42002572596551,2.4258945547472344,,,2.407969253277174,,,2.4097605873706933,,
fg_total,2023,2.5668048232093716,2.56622237487124,2.56622237487124,2.5380000345067617,,,2.5267078862983157,,,2.526631190012967,,
fg_total,2024,2.391644074777837,2.392484822654639,2.391644074777837,2.387163223526706,,,2.3746595912714725,,,2.374502748696299,,
fg_total,2025,2.534822935257989,2.534091491597938,2.534091491597938,2.5220152431708263,,,2.5076399464154786,,,2.5083831481761987,,
fg_total,2026,2.5283753902805115,2.529110353330721,2.5283753902805115,2.4964314840358397,,,2.4933480124249865,,,2.4952342888794816,,
f5_ml,2021,0.689445814299154,0.7435573675804233,0.689445814299154,0.6798869728866449,1.2369426670405166,0.0295258694134128,0.6709775491484241,1.456344507686778,0.032016376556713,0.6717241093371407,1.4919003558916586,0.0311644507476031
f5_ml,2022,0.6909970658620859,0.6850006569646563,0.6850006569646563,0.6796450325138575,1.1036387878276088,0.0185581304580818,0.6670344450787467,1.1768452658231752,0.0240328398969113,0.6680931409046639,1.1237349427881345,0.0228810600034679
f5_ml,2023,0.6920218075173579,0.695405472410429,0.6920218075173579,0.6839883888412059,0.831361865206258,0.0238838428409166,0.6779678194322016,0.7919351650669855,0.0203369908215245,0.6773115074628323,0.8313483515269117,0.0130177507868953
f5_ml,2024,0.6928607620429692,0.6835812922937524,0.6835812922937524,0.6823198271772691,1.2540448570113705,0.0216190520279737,0.6782410435954154,1.052672214377088,0.011791563570921,0.6779642384687953,1.043392148564747,0.0104808539855299
f5_ml,2025,0.6898611672544239,0.696616792380445,0.6898611672544239,0.6840791881570214,0.8930568016375684,0.0337640763351677,0.6786704075077239,1.0304952528987172,0.0312244995372394,0.6776793758037281,1.0281694102098378,0.0279338476114987
f5_ml,2026,0.6910727315394011,0.6949453102118511,0.6910727315394011,0.6899837966748019,0.6006341331665145,0.0167343815123063,0.6876961377533621,0.6268561765302555,0.0246994751810433,0.6869412347131445,0.6479692452754625,0.0270752747133433
f5_rl,2021,0.6907062866504077,0.6889967487093595,0.6889967487093595,0.683933551844291,1.482092506671981,0.0324609747664769,0.6767863085457552,1.4678353640019044,0.0366840872101377,0.6772042391513118,1.5421714962139677,0.03530841155677
f5_rl,2022,0.6864872343704497,0.6814910076055998,0.6814910076055998,0.677842147643853,1.1274854804383794,0.019558747866337,0.6697713538817511,1.13719133185344,0.0272191618282264,0.6700762078168578,1.0871389289841331,0.0207029071295302
f5_rl,2023,0.6877242544787997,0.688525057579391,0.6877242544787997,0.683278472771266,0.7497637475450435,0.0184000063580025,0.6779746434474365,0.8007593144009927,0.0140343982379727,0.6776237311623275,0.8288077927866337,0.011203761073254
f5_rl,2024,0.6877566543357108,0.6802867922913926,0.6802867922913926,0.6810280567900244,1.3002184231322356,0.0077494649008196,0.6770118706778447,1.091676230611275,0.0148425360793979,0.6766168045715265,1.0941395276555992,0.0155441675434744
f5_rl,2025,0.6890641652564914,0.6965944183799506,0.6890641652564914,0.6848582458009561,0.8638290410029678,0.0156910223248421,0.6821468814622925,0.8930510885688062,0.0208896993523124,0.6814936117769791,0.8919112262322892,0.0268998585432668
f5_rl,2026,0.6879980623650956,0.686919026811017,0.686919026811017,0.6855949295975504,0.8025522372498832,0.012978758880251,0.6834134391310765,0.7948727814501032,0.018184256602131,0.6831398932516856,0.798059841548796,0.01639989355712
f5_total,2021,1.8364186892975816,1.8361152832627992,1.8361152832627992,1.825819736164314,,,1.8066787404329112,,,1.807340336492904,,
f5_total,2022,1.8120033786662428,1.8118275634551837,1.8118275634551837,1.815367639871934,,,1.7977406933747653,,,1.7961065532902487,,
f5_total,2023,1.930563107381245,1.9314305401215492,1.930563107381245,1.9421551792529423,,,1.9355516444380367,,,1.933645834467504,,
f5_total,2024,1.7800881447720738,1.7804465916237115,1.7800881447720738,1.7820953914693751,,,1.7774411514781825,,,1.777720952319857,,
f5_total,2025,1.8242887660653568,1.823361247989691,1.823361247989691,1.8240673239179,,,1.8078676380360432,,,1.807814000766297,,
f5_total,2026,1.7989723100081074,1.7987839071316614,1.7987839071316614,1.785232637962597,,,1.7760755371725931,,,1.776300523851465,,
nrfi,2021,0.6932396479676404,0.7415236399253307,0.6932396479676404,0.6923353676371883,0.7078780963178504,0.0144894575847839,0.6914858824155347,0.8019539375977208,0.0175335724273966,0.6909934268925048,0.9849111959529616,0.0113027689713299
nrfi,2022,0.6940251121848682,0.6936409592333245,0.6936409592333245,0.6937520773776504,0.1537333865073888,0.0109415143838501,0.689578399438148,1.3343448817309806,0.027765486144339,0.6899132301253522,1.1261362395842776,0.0229585351665608
nrfi,2023,0.6931668936469093,0.702692491839159,0.6931668936469093,0.693320720744049,2.2492454486115,0.0198186375494555,0.6923575708924191,0.6609706773493336,0.0156454231920169,0.6920570014485543,0.7333875009045989,0.015112300695121
nrfi,2024,0.6940854971384097,0.6951814651139875,0.6940854971384097,0.6926225164703638,0.8601513100184714,0.0341338457278549,0.6912878849611085,0.9629548477084764,0.0328431188653392,0.6911176437023054,1.035350949905185,0.0332660843446608
nrfi,2025,0.6931387636468134,0.6969348988236362,0.6931387636468134,0.6952128276156855,0.9278558891145308,0.0377147605718442,0.6930991243032223,1.1742922843445052,0.0398318367173622,0.6927622883482041,1.249750584407033,0.040637407243477
nrfi,2026,0.6930442406912006,0.6915190257274942,0.6915190257274942,0.6917832705868316,1.2866028002827063,0.0054413084093298,0.6880822347483879,1.3745178633941912,0.0059108139958743,0.6881025788028556,1.276984559269796,0.0117498448825089
