market,fold,iteration,model,n,logloss,brier,auc,ece,cal_slope,cal_intercept,dll_vs_baseline,dll_lo,dll_hi,features,crps,mae,bias,var_ratio
fg_ml,2021,6,lr,2422,0.6884607644722079,0.2434885443133193,0.5882396932821771,0.0149000143385401,0.4858093939460112,0.0655759290440175,0.0041329880235477,-0.0103328600219356,0.0162926139567869,130,,,,
fg_ml,2022,6,lr,2421,0.6830516705349337,0.2447282824429177,0.5822816914924973,0.0377437431358876,0.7190348981378238,0.0171590404515978,0.008251879355456,0.0002680802338269,0.015470572209461,130,,,,
fg_ml,2023,6,gb,2427,0.6885007488687966,0.2473534263694139,0.5665759593994272,0.0309484532498367,0.6186063729573716,-0.0027633754591097,0.0041376337788083,-0.0035356752292834,0.0123139247507714,130,,,,
fg_ml,2024,6,lr,2425,0.6826839479890846,0.2448543225210319,0.5721044031225809,0.0038060321176552,1.0017658903920066,0.0079956295975654,0.0098350395328895,0.0048362292740031,0.0152295597726564,130,,,,
fg_ml,2025,6,lr,2425,0.7063262878532917,0.2479665826084484,0.5522550841673315,0.0260431473494486,0.0923248716278443,0.1632752869677663,-0.0037404863237395,-0.027031724961883,0.0164524574132969,130,,,,
fg_ml,2026,6,lr,1595,0.6941995629015032,0.2504637862147598,0.5299330829720739,0.0295455507982441,0.424059398035572,0.0136161089435642,-0.0035423770589518,-0.0113361381556586,0.0035380078058717,130,,,,
fg_rl,2021,6,lr,2304,0.6601714439994887,0.228094739663165,0.587220510194242,0.0240588508722773,0.3720219032744145,-0.3603406623846897,0.0038004447966481,-0.0118027923477207,0.0174497324866542,130,,,,
fg_rl,2022,6,lr,2421,0.6436036526264175,0.2259750805841263,0.5875368690069356,0.0136876761563835,0.8351265233839386,-0.0954293423379755,0.0099274417218708,0.0035809486830357,0.0170551398559828,130,,,,
fg_rl,2023,6,lr,2427,0.6443138266857676,0.2247720345995607,0.5947725880155619,0.0046379964373396,0.7500859349220368,-0.1483973925557738,0.0075036154435815,-0.0034122539246472,0.0169982257284881,130,,,,
fg_rl,2024,6,lr,2425,0.6430573455685207,0.2242169159676369,0.5796287444231993,0.0119591792735806,0.7174910295630536,-0.1756698067530002,0.0070315167886937,-0.0055024082437663,0.0181207662940632,130,,,,
fg_rl,2025,6,lr,2425,0.6603640550046556,0.2293811959180068,0.554618719430858,0.0267495317134833,0.2373704685189918,-0.4425263776248748,-0.0039704305432954,-0.0185776971107956,0.0079596551171854,130,,,,
fg_rl,2026,6,gb,1595,0.6551701175886766,0.2313148684362862,0.5111832870564851,0.0234106451143074,0.3072668104224371,-0.3980917092852568,-0.0036673257260061,-0.0095196042831124,0.0018760673007364,130,,,,
fg_total,2021,6,pois-nb-sim,2304,,,,,,,,,,130,2.4982337890625,3.520601244527816,-0.3487491646683164,2.194731008606243
fg_total,2022,6,pois-nb-sim,2421,,,,,,,,,,130,2.42002572596551,3.4733407967752425,0.2624288745614399,2.2001454640372557
fg_total,2023,6,pois-nb-sim,2427,,,,,,,,,,130,2.56622237487124,3.623402737148948,-0.374553675509943,2.203191870360785
fg_total,2024,6,pois-nb-sim,2425,,,,,,,,,,130,2.392484822654639,3.417721459453663,0.0480511650879755,2.208410631659193
fg_total,2025,6,pois-nb-sim,2425,,,,,,,,,,130,2.534091491597938,3.619131542890945,-0.0274720991573904,2.212391564228279
fg_total,2026,6,pois-nb-sim,1595,,,,,,,,,,130,2.529110353330721,3.6045985721310263,-0.1602024273625052,2.208723548090426
f5_ml,2021,6,lr,2070,0.7435573675804233,0.246934716826586,0.5849914168136391,0.023530441923028,0.0396793514319204,0.1650815164459995,-0.0508515495282587,-0.0852550473752402,-0.0207252395819037,130,,,,
f5_ml,2022,6,lr,1994,0.6850006569646563,0.2458079858597693,0.5803877722797789,0.0498331399040496,0.682628423961101,0.0262712285060848,0.0066572568171094,-0.0026481576357072,0.0141642641863274,130,,,,
f5_ml,2023,6,lr,2062,0.695405472410429,0.2477867513349494,0.5686664245385809,0.0313915858785892,0.3718481547324312,0.0495576740619279,-0.0051787359884062,-0.0183455854813301,0.0055705932929391,130,,,,
f5_ml,2024,6,lr,2086,0.6835812922937524,0.2452267110048978,0.5759705732055962,0.0165272969920176,0.9330102267583328,-0.017388211794458,0.0095552362147941,0.001653364460946,0.0167407827899405,130,,,,
f5_ml,2025,6,lr,2039,0.696616792380445,0.2480171633877775,0.5579388187615749,0.0241638361200699,0.2991888137462392,0.1385474063725047,0.0006122686694379,-0.012592084020574,0.012444599137562,130,,,,
f5_ml,2026,6,gb,1345,0.6949453102118511,0.2507721935661406,0.5275077492872432,0.0242433458899004,0.2280295882385612,0.0931111875731952,-0.0020867829912928,-0.0084333293445676,0.0047867618113398,130,,,,
f5_rl,2021,6,gb,2422,0.6889967487093595,0.2460099649886293,0.5657359719009679,0.0075546576041286,0.5277597696755669,-0.0786054671697009,0.003947419043951,-0.0053591552301165,0.0121013453751616,130,,,,
f5_rl,2022,6,lr,2421,0.6814910076055998,0.2442452524336621,0.5649674345400311,0.0303153460092655,0.7015782186990709,-0.1243646866581329,0.0056451125718638,-0.0012832192391404,0.0116090958979009,130,,,,
f5_rl,2023,6,lr,2427,0.688525057579391,0.2462020551378321,0.5583337339550983,0.026144836178341,0.4353645977794423,-0.1142747153209561,-0.0038779617702729,-0.0150164156646282,0.0044839503352338,130,,,,
f5_rl,2024,6,lr,2425,0.6802867922913926,0.2436740218921493,0.5684400577756379,0.0037130633113017,1.0347458732231705,0.019297414636536,0.0080020755328604,0.0014648185874606,0.0138036746080745,130,,,,
f5_rl,2025,6,lr,2425,0.6965944183799506,0.2483586422060447,0.5479767049842061,0.0227575611592027,0.2167645127458006,-0.1371972102048883,-0.0027533546560232,-0.0126175811887617,0.0060347650421129,130,,,,
f5_rl,2026,6,gb,1595,0.686919026811017,0.2469529903869978,0.5281458742476531,0.0174826917451605,0.5252666862416429,-0.1105474001341101,0.0017422581443637,-0.0039138349074559,0.0072747961233262,130,,,,
f5_total,2021,6,pois-nb-sim,2422,,,,,,,,,,130,1.8361152832627992,2.6104069366376264,-0.1095443155735407,2.2376071473457135
f5_total,2022,6,pois-nb-sim,2421,,,,,,,,,,130,1.8118275634551837,2.6355343977898977,0.2399051919698307,2.2438666049838996
f5_total,2023,6,pois-nb-sim,2427,,,,,,,,,,130,1.9314305401215492,2.7436078038139455,-0.169355284846379,2.2494872322152912
f5_total,2024,6,pois-nb-sim,2425,,,,,,,,,,130,1.7804465916237115,2.557470423898818,0.1008275318857402,2.2539289299289273
f5_total,2025,6,pois-nb-sim,2425,,,,,,,,,,130,1.823361247989691,2.6228958383915777,0.0539443754631918,2.256765351126605
f5_total,2026,6,pois-nb-sim,1595,,,,,,,,,,130,1.7987839071316614,2.582772756652947,0.0071894965610498,2.251831310872283
nrfi,2021,6,gb,2422,0.7415236399253307,0.2553995908958027,0.4997135983503264,0.0447945423170235,-0.0474512664075063,-0.0085487682832172,-0.051383105133429,-0.0792557242953454,-0.0295530596061894,130,,,,
nrfi,2022,6,lr,2421,0.6936409592333245,0.2502326969023237,0.5104070852097613,0.0175379829658322,0.3323385386485429,0.0620885245388614,0.000162845667559,-0.0041588681090591,0.0039836857404757,130,,,,
nrfi,2023,6,lr,2427,0.702692491839159,0.2520009107564586,0.5086815977834218,0.0323176641651209,0.0741971937771306,-0.0156511563394038,-0.0085415375531637,-0.0217381303309649,-0.0004644322136883,130,,,,
