market,verdict,state_A,state_B,state_C,strongest_baseline,delta_B_vs_baseline,folds_better_B,cal_slope_B,ece_B,gates,objective,prior_verdict_superseded
fg_ml,REINFORCE,0.683,0.6799,0.6796,0.6875,0.0076,6/6,0.993,0.0185,G1=P G2=P G3=P G4=P G5=P,pure outcome prediction (no odds/pricing per governing directive),yes
fg_rl,REINFORCE,0.6442,0.6399,0.64,0.6489,0.009,6/6,1.076,0.0197,G1=P G2=P G3=P G4=P G5=P,pure outcome prediction (no odds/pricing per governing directive),yes
fg_total,REINFORCE,2.4733,2.4608,2.462,2.4896,0.0287,6/6,,,G1=P G2=P G3=P G4=P G5=P,pure outcome prediction (no odds/pricing per governing directive),yes
f5_ml,REINFORCE,0.6833,0.6768,0.6766,0.6885,0.0117,6/6,1.023,0.024,G1=P G2=P G3=P G4=P G5=P,pure outcome prediction (no odds/pricing per governing directive),yes
f5_rl,REINFORCE,0.6828,0.6779,0.6777,0.6857,0.0079,6/6,1.031,0.022,G1=P G2=P G3=P G4=P G5=P,pure outcome prediction (no odds/pricing per governing directive),yes
f5_total,REINFORCE,1.8291,1.8169,1.8165,1.8301,0.0132,5/6,,,G1=P G2=P G3=P G4=P G5=P,pure outcome prediction (no odds/pricing per governing directive),yes
nrfi,REINFORCE,0.6932,0.691,0.6908,0.6931,0.0021,6/6,1.052,0.0233,G1=P G2=P G3=P G4=P G5=P,pure outcome prediction (no odds/pricing per governing directive),yes
