market,fold,iteration,model,n,logloss,brier,auc,ece,cal_slope,cal_intercept,dll_vs_baseline,dll_lo,dll_hi,features,crps,mae,bias,var_ratio,hypothesis,status,experiment_id,phase,description,result
fg_ml,2021.0,1.0,gb,2422.0,0.6916572981089609,0.249227491797126,0.5020658718788936,0.0147469633153535,-0.5375455459387847,0.2706994324026813,0.0,0.0,0.0,4.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2021.0,2.0,lr,2422.0,0.685237486691075,0.2460419254477155,0.5612962231114185,0.0219398232897341,0.7804379642654493,-0.0134583113779412,0.006735500299349,0.0009658070593175,0.0129505591722142,90.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2021.0,3.0,lr,2422.0,0.692190978198568,0.2452222828753796,0.5711123735502532,0.0211592175080895,0.3893704866463182,0.0671553318126899,0.0005834583943976,-0.0135966163723013,0.0126880842730765,108.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2021.0,4.0,lr,2422.0,0.6933994363600082,0.246108854860541,0.5666152771602804,0.0346496906525226,0.3413426290324989,0.0683871478963351,-0.000606551242278,-0.0152859472131312,0.0121621330150736,115.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2021.0,5.0,lr,2422.0,0.6896079286881032,0.2439842053356396,0.5847216733356386,0.0210611571230564,0.4376544170339603,0.0667951781723628,0.003451312301469,-0.0102077907692781,0.0155203432257946,121.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2021.0,6.0,lr,2422.0,0.6884607644722079,0.2434885443133193,0.5882396932821771,0.0149000143385401,0.4858093939460112,0.0655759290440175,0.0041329880235477,-0.0103328600219356,0.0162926139567869,130.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2022.0,1.0,lr,2421.0,0.6917387596732981,0.2492939481617859,0.4934879321099785,0.0058934793435896,-0.0878564533429317,0.1469142463233028,0.0,0.0,0.0,4.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2022.0,2.0,lr,2421.0,0.6901504944940492,0.2483106546838286,0.5463717499640123,0.0198355308923494,0.5353917431330992,0.0448531614845657,0.0002289398763853,-0.0056823510478802,0.00595247988641,90.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2022.0,3.0,gb,2421.0,0.6802127013563984,0.2437767976332928,0.5807595813083086,0.0082684115978066,0.8745121873087878,0.0062058822048661,0.0126761190641262,0.0047432641727918,0.019759012218987,108.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2022.0,4.0,lr,2421.0,0.6817145491182897,0.2443110428438966,0.5779905814933886,0.0068218617496418,0.8740050065272124,-0.001965987247962,0.0100546969168743,0.0034751072193187,0.0158624062302371,115.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2022.0,5.0,lr,2421.0,0.68028380407499,0.2436036015561511,0.587664429714223,0.0221050637485357,0.8488278362886585,-0.0069246231592367,0.0112266516660539,0.004570035833678,0.0172170690610024,121.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2022.0,6.0,lr,2421.0,0.6830516705349337,0.2447282824429177,0.5822816914924973,0.0377437431358876,0.7190348981378238,0.0171590404515978,0.008251879355456,0.0002680802338269,0.015470572209461,130.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2023.0,1.0,lr,2427.0,0.6922411016841059,0.2495864252180524,0.500395256916996,0.0114512997567874,0.4356422995932191,0.0272079436509053,0.0,0.0,0.0,4.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2023.0,2.0,lr,2427.0,0.7052597969346822,0.2517116526091467,0.5301752464403067,0.0245442752657186,0.0888168388193592,0.0723002807041695,-0.0118491656296463,-0.0236523748554307,-0.0005273108025451,90.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2023.0,3.0,lr,2427.0,0.7081422359462515,0.2492348435307173,0.5518939677399605,0.0362443493755636,0.1619068651694765,0.05878477906476,-0.0150780515140736,-0.0325957282540686,0.001685893828576,108.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2023.0,4.0,lr,2427.0,0.7126882188847973,0.2499316746614354,0.552651146653242,0.0225184943182319,0.1160792446210687,0.0671652557055385,-0.0190397606161052,-0.0360708783417088,-0.0018984900183017,115.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2023.0,5.0,lr,2427.0,0.7047927445871925,0.2488942990769753,0.5636060900859224,0.0385637366870746,0.1996860872282034,0.0520640551616493,-0.012717916621919,-0.0287472092691192,0.0020348032653914,121.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2023.0,6.0,gb,2427.0,0.6885007488687966,0.2473534263694139,0.5665759593994272,0.0309484532498367,0.6186063729573716,-0.0027633754591097,0.0041376337788083,-0.0035356752292834,0.0123139247507714,130.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2024.0,1.0,lr,2425.0,0.6934432153454547,0.2501422419768407,0.494040561388589,0.0006522241938021,-0.434503731611546,0.1221182214087417,0.0,0.0,0.0,4.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2024.0,2.0,lr,2425.0,0.6914241432140579,0.2491418744007459,0.5230053887417003,0.0088006669203857,0.6731803592754725,0.0264440321774691,0.0014325311389202,-0.0020309632827186,0.0051571661882532,90.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2024.0,3.0,gb,2425.0,0.6870995559759485,0.246929536565459,0.561071043077225,0.0098650204049726,0.7564976792142879,0.0273596187726853,0.004588562498465,-0.0007738429999034,0.0103682213662487,108.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2024.0,4.0,gb,2425.0,0.6887248504596762,0.2477716438300269,0.5489978221524439,0.0220228744247684,0.6821843657725425,0.0339954797943895,0.0031338876236761,-0.0020571719510447,0.0089584255130086,115.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2024.0,5.0,lr,2425.0,0.6857991384985274,0.2463090619135182,0.5623759798951146,0.0142470578349173,0.908959628139704,0.0187880340307294,0.0075077744922604,0.0025855943053649,0.013077775300803,121.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2024.0,6.0,lr,2425.0,0.6826839479890846,0.2448543225210319,0.5721044031225809,0.0038060321176552,1.0017658903920066,0.0079956295975654,0.0098350395328895,0.0048362292740031,0.0152295597726564,130.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2025.0,1.0,gb,2425.0,0.7001539355685894,0.249321478058644,0.5006907724316012,0.0215838756120897,0.0466434875442,0.1700213694834884,0.0,0.0,0.0,4.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2025.0,2.0,gb,2425.0,0.6889294703906632,0.2478341628931762,0.5418136613954152,0.0258227169970754,0.7721764414684833,0.1100480802889334,0.0101450393360302,0.0007432415123325,0.0213989646479297,90.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2025.0,3.0,gb,2425.0,0.692049017795483,0.248030395970108,0.5397971952446349,0.0304978954715631,0.3426745087232171,0.1434866693968148,0.0075854685537203,-0.0066323107750809,0.0211752460495447,108.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2025.0,4.0,gb,2425.0,0.6911374633538476,0.2487318618353252,0.5337645864000066,0.0414806774211128,0.4361163265814736,0.1389532922530391,0.0092586542036018,-0.000826048694424,0.0221977443991206,115.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2025.0,5.0,lr,2425.0,0.7227545903724254,0.2505309598187405,0.5396272432971775,0.0334032543157565,-0.0146704112630658,0.1742792646468126,-0.0212387745478969,-0.049065447885112,0.007066964490428,121.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2025.0,6.0,lr,2425.0,0.7063262878532917,0.2479665826084484,0.5522550841673315,0.0260431473494486,0.0923248716278443,0.1632752869677663,-0.0037404863237395,-0.027031724961883,0.0164524574132969,130.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2026.0,1.0,lr,1595.0,0.6919193794038317,0.2493847574718939,0.5235012980139127,0.0195854828073554,0.948116501972348,-0.0701589907581213,0.0,0.0,0.0,4.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2026.0,2.0,lr,1595.0,0.6922517961814356,0.2495488536001066,0.530333986540982,0.0315641014086847,0.6677468280531407,-0.0356713636903442,-0.0015203505014157,-0.0070543360280686,0.0038115776446988,90.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2026.0,3.0,gb,1595.0,0.6948153110102007,0.2507680191221416,0.5166378919245891,0.0250434387284697,0.3668419110116097,0.0167566736411151,-0.0013800536976152,-0.0082719638391047,0.004363035392962,108.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
fg_ml,2026.0,4.0,gb,1595.0,0.6936337083416605,0.2503710225378564,0.5152831686661963,0.0322069027918245,0.3632380161655859,0.0204696423842387,-0.0019184446618957,-0.0074295974188963,0.0035646550217011,115.0,,,,,iteration family adds signal vs prior iteration,PASS,,,,
