season	pitch_type_code	pitch_type_label	n
2018	FF	Four-Seam Fastball	256932
2018	SI	Sinker	141642
2018	SL	Slider	114167
2018	CH	Changeup	75213
2018	CU	Curveball	56172
2018	FC	Cutter	43555
2018	KC	Knuckle Curve	20780
2018	FS	Splitter	10780
2018	ST	Sweeper	6156
2018	SV	Slurve	1717
2018	KN	Knuckle Ball	731
2018	EP	Eephus	219
2018	FA	Fastball	202
2018		Unknown	143
2018	PO	Pitchout	87
2018	FO	Forkball	84
2018	SC	Screwball	37
2018	CS	Slow Curve	23
2019	FF	Four-Seam Fastball	267754
2019	SL	Slider	121455
2019	SI	Sinker	118703
2019	CH	Changeup	79809
2019	CU	Curveball	61642
2019	FC	Cutter	49386
2019	KC	Knuckle Curve	17737
2019	FS	Splitter	11634
2019	ST	Sweeper	7775
2019	SV	Slurve	2478
2019	FA	Fastball	292
2019	KN	Knuckle Ball	215
2019	CS	Slow Curve	154
2019	EP	Eephus	42
2019	FO	Forkball	36
2019		Unknown	24
2020	FF	Four-Seam Fastball	97441
2020	SL	Slider	46133
2020	SI	Sinker	43377
2020	CH	Changeup	31993
2020	CU	Curveball	22843
2020	FC	Cutter	19914
2020	KC	Knuckle Curve	7487
2020	FS	Splitter	5104
2020	ST	Sweeper	4037
2020	SV	Slurve	808
2020	FA	Fastball	289
2020	KN	Knuckle Ball	101
2020	CS	Slow Curve	66
2020	EP	Eephus	43
2021	FF	Four-Seam Fastball	256055
2021	SL	Slider	119766
2021	SI	Sinker	109571
2021	CH	Changeup	80756
2021	CU	Curveball	52717
2021	FC	Cutter	52248
2021	ST	Sweeper	17146
2021	KC	Knuckle Curve	16482
2021	FS	Splitter	11651
2021	SV	Slurve	2950
2021	FA	Fastball	837
2021	CS	Slow Curve	153
2021	EP	Eephus	128
2021	KN	Knuckle Ball	89
2021	SC	Screwball	1
2022	FF	Four-Seam Fastball	239342
2022	SL	Slider	116666
2022	SI	Sinker	111045
2022	CH	Changeup	79994
2022	FC	Cutter	54242
2022	CU	Curveball	52889
2022	ST	Sweeper	32363
2022	KC	Knuckle Curve	16869
2022	FS	Splitter	11517
2022	SV	Slurve	3325
2022	FA	Fastball	1276
2022	EP	Eephus	508
2022	CS	Slow Curve	108
2022	KN	Knuckle Ball	42
2023	FF	Four-Seam Fastball	234674
2023	SL	Slider	113433
2023	SI	Sinker	112899
2023	CH	Changeup	79137
2023	FC	Cutter	57778
2023	CU	Curveball	48003
2023	ST	Sweeper	47009
2023	FS	Splitter	16401
2023	KC	Knuckle Curve	14578
2023	SV	Slurve	3102
2023	FA	Fastball	1115
2023	FO	Forkball	778
2023	EP	Eephus	558
2023	KN	Knuckle Ball	192
2023	SC	Screwball	74
2023	CS	Slow Curve	71
2024	FF	Four-Seam Fastball	230285
2024	SI	Sinker	113978
2024	SL	Slider	106189
2024	CH	Changeup	73774
2024	FC	Cutter	59244
2024	ST	Sweeper	52645
2024	CU	Curveball	44719
2024	FS	Splitter	22226
2024	KC	Knuckle Curve	12782
2024	SV	Slurve	3739
2024	KN	Knuckle Ball	1060
2024	FA	Fastball	632
2024	EP	Eephus	575
2024	SC	Screwball	177
2024	FO	Forkball	166
2024	CS	Slow Curve	65
2024	UN	Unknown	1
2025	FF	Four-Seam Fastball	231075
2025	SI	Sinker	112139
2025	SL	Slider	104426
2025	CH	Changeup	74258
2025	ST	Sweeper	55105
2025	FC	Cutter	54209
2025	CU	Curveball	48601
2025	FS	Splitter	24231
2025	KC	Knuckle Curve	13044
2025	SV	Slurve	3624
2025	EP	Eephus	987
2025	FA	Fastball	902
2025	FO	Forkball	829
2025	CS	Slow Curve	405
2025	KN	Knuckle Ball	137
2025	UN	Unknown	14
2025	SC	Screwball	7
2026	FF	Four-Seam Fastball	143560
2026	SI	Sinker	78298
2026	SL	Slider	62905
2026	CH	Changeup	52267
2026	ST	Sweeper	39122
2026	FC	Cutter	37092
2026	CU	Curveball	30233
2026	FS	Splitter	15141
2026	KC	Knuckle Curve	7800
2026	SV	Slurve	2086
2026	EP	Eephus	694
2026	FA	Fastball	517
2026	FO	Forkball	348
2026	KN	Knuckle Ball	183
2026	CS	Slow Curve	115
2026	UN	Unknown	10
