game_id,date,teams,prop_id,market,sub_market,player,hand,projected_value,projected_probability,pick,line_at_projection,closing_line,actual_outcome,actual_ks,correct,signed_error,abs_error,brier,logloss,completed,notes,stored_result,stored_correct,stored_error,verdict
2250022,2026-03-27,DET@SD,90037,K_PROP,away,Framber Valdez,,3.87,0.3454,UNDER,4.5,,OVER,5,0,-1.13,1.13,0.428501,1.063052,1,,LOSS,0,1.13,UNDER
2250022,2026-03-27,DET@SD,90038,K_PROP,home,Michael King,,4.8,0.3498,UNDER,5.5,,OVER,6,0,-1.20,1.20,0.422760,1.050394,1,,LOSS,0,1.20,UNDER
2250023,2026-03-27,CLE@SEA,90039,K_PROP,away,Gavin Williams,,4.67,0.3269,UNDER,5.5,,OVER,7,0,-2.33,2.33,0.453064,1.118101,1,,LOSS,0,2.33,UNDER
2250023,2026-03-27,CLE@SEA,90040,K_PROP,home,George Kirby,,5.65,0.4966,UNDER,5.5,,OVER,6,0,-0.35,0.35,0.253412,0.699970,1,,NO_ACTION,,0.35,PASS
2252293,2026-03-27,ARI@LAD,90041,K_PROP,away,Ryne Nelson,,2.89,0.3277,UNDER,3.5,,OVER,4,0,-1.11,1.11,0.451987,1.115657,1,,LOSS,0,1.11,UNDER
2252293,2026-03-27,ARI@LAD,90042,K_PROP,home,Emmet Sheehan,,5.51,0.4735,UNDER,5.5,,OVER,6,0,-0.49,0.49,0.277202,0.747603,1,,LOSS,0,0.49,UNDER
2250024,2026-03-28,TB@STL,90043,K_PROP,home,Michael McGreevy,,2.73,0.2914,UNDER,3.5,,OVER,5,0,-2.27,2.27,0.502114,1.233058,1,,LOSS,0,2.27,UNDER
2250024,2026-03-28,TB@STL,90044,K_PROP,away,Joe Boyle,,3.33,0.2435,UNDER,4.5,,UNDER,4,1,-0.67,0.67,0.059292,0.279053,1,,WIN,1,0.67,UNDER
2250025,2026-03-28,WSH@CHC,90045,K_PROP,home,Cade Horton,,3.38,0.2523,UNDER,4.5,,UNDER,4,1,-0.62,0.62,0.063655,0.290753,1,,WIN,1,0.62,UNDER
2250025,2026-03-28,WSH@CHC,90046,K_PROP,away,Miles Mikolas,,2.25,0.1903,UNDER,3.5,,OVER,4,0,-1.75,1.75,0.655614,1.659154,1,,LOSS,0,1.75,UNDER
2250026,2026-03-28,ATH@TOR,90047,K_PROP,away,Jeffrey Springs,,2.16,0.1738,UNDER,3.5,,UNDER,2,1,0.16,0.16,0.030206,0.190918,1,,WIN,1,-0.16,UNDER
2250026,2026-03-28,ATH@TOR,90048,K_PROP,home,Dylan Cease,,6.11,0.4107,UNDER,6.5,,OVER,12,0,-5.89,5.89,0.347274,0.889892,1,,LOSS,0,5.89,UNDER
2250027,2026-03-28,MIN@BAL,90049,K_PROP,home,Kyle Bradish,,7.49,0.6209,OVER,6.5,,UNDER,4,0,3.49,3.49,0.385517,0.969955,1,,LOSS,0,-3.49,OVER
2250027,2026-03-28,MIN@BAL,90050,K_PROP,away,Taj Bradley,,3.73,0.3178,UNDER,4.5,,OVER,9,0,-5.27,5.27,0.465397,1.146333,1,,WIN,1,5.27,OVER
2250028,2026-03-28,TEX@PHI,90051,K_PROP,home,Aaron Nola,,4.75,0.3395,UNDER,5.5,,OVER,7,0,-2.25,2.25,0.436260,1.080281,1,,LOSS,0,2.25,UNDER
2250028,2026-03-28,TEX@PHI,90052,K_PROP,away,Jacob deGrom,,6.04,0.4004,UNDER,6.5,,UNDER,3,1,3.04,3.04,0.160320,0.511493,1,,UNDER,1,-3.040,UNDER
2250029,2026-03-28,BOS@CIN,90053,K_PROP,away,Sonny Gray,,7.47,0.6177,OVER,6.5,,UNDER,5,0,2.47,2.47,0.381553,0.961550,1,,LOSS,0,-2.47,OVER
2250029,2026-03-28,BOS@CIN,90054,K_PROP,home,Brady Singer,,3.63,0.2996,UNDER,4.5,,OVER,5,0,-1.37,1.37,0.490560,1.205307,1,,LOSS,0,1.37,UNDER
2250031,2026-03-28,COL@MIA,90055,K_PROP,away,Michael Lorenzen,,3.18,0.2158,UNDER,4.5,,UNDER,4,1,-0.82,0.82,0.046570,0.243091,1,,WIN,1,0.82,UNDER
2250031,2026-03-28,COL@MIA,90056,K_PROP,home,Eury Perez,,6.2,0.4259,UNDER,6.5,,OVER,8,0,-1.80,1.80,0.329591,0.853551,1,,NO_ACTION,,1.80,PASS
2250030,2026-03-28,PIT@NYM,90057,K_PROP,home,David Peterson,,4.7,0.5048,OVER,4.5,,UNDER,3,0,1.70,1.70,0.254823,0.702794,1,,NO_ACTION,,-1.70,PASS
2250030,2026-03-28,PIT@NYM,90058,K_PROP,away,Mitch Keller,,3.47,0.2691,UNDER,4.5,,UNDER,3,1,0.47,0.47,0.072415,0.313479,1,,WIN,1,-0.47,UNDER
2250033,2026-03-28,CWS@MIL,90059,K_PROP,away,Sean Burke,,3.03,0.1895,UNDER,4.5,,OVER,5,0,-1.97,1.97,0.656910,1.663366,1,,LOSS,0,1.97,UNDER
2250032,2026-03-28,LAA@HOU,90060,K_PROP,home,Cristian Javier,,3.72,0.3160,UNDER,4.5,,UNDER,1,1,2.72,2.72,0.099856,0.379797,1,,WIN,1,-2.72,UNDER
2250033,2026-03-28,CWS@MIL,90061,K_PROP,home,Chad Patrick,,4.73,0.3374,UNDER,5.5,,UNDER,4,1,0.73,0.73,0.113839,0.411584,1,,WIN,1,-0.73,UNDER
2250034,2026-03-28,KC@ATL,90065,K_PROP,home,Reynaldo Lopez,,3.15,0.2105,UNDER,4.5,,UNDER,3,1,0.15,0.15,0.044310,0.236355,1,,WIN,1,-0.15,UNDER
2250034,2026-03-28,KC@ATL,90066,K_PROP,away,Michael Wacha,,2.59,0.2612,UNDER,3.5,,OVER,7,0,-4.41,4.41,0.545825,1.342469,1,,LOSS,0,4.41,UNDER
2250035,2026-03-28,NYY@SF,90067,K_PROP,away,Will Warren,,3.9,0.3525,UNDER,4.5,,UNDER,3,1,0.90,0.90,0.124256,0.434636,1,,WIN,1,-0.90,UNDER
