series,dimension,bucket,n,base_rate,mean_p,calib_gap,calib_gap_z,brier,brier_const_slice,brier_skill,logloss,n_picks,hits,hit_rate
p1,park,COL,53,0.26415,0.38135,0.1172,1.94,0.213693,0.194375,-0.019318,0.619714,53,39,0.73585
p2,park,COL,53,0.26415,0.38135,0.1172,1.94,0.213693,0.194375,-0.019318,0.619714,53,39,0.73585
live_clean,park,COL,42,0.2619,0.40167,0.13976,2.06,0.209812,0.193311,-0.016501,0.611416,42,31,0.7381
live,park,CWS,48,0.5,0.46833,-0.03167,-0.44,0.244513,0.25,0.005487,0.682121,43,26,0.60465
p1,park,CWS,49,0.4898,0.54552,0.05572,0.78,0.251088,0.249896,-0.001192,0.69526,49,23,0.46939
p2,park,CWS,49,0.4898,0.54552,0.05572,0.78,0.251088,0.249896,-0.001192,0.69526,49,23,0.46939
live_clean,park,CWS,38,0.5,0.46395,-0.03605,-0.44,0.247739,0.25,0.002261,0.68861,35,21,0.6
live,park,DET,51,0.62745,0.49784,-0.12961,-1.91,0.247751,0.233756,-0.013995,0.688638,49,27,0.55102
p1,park,DET,52,0.63462,0.54964,-0.08497,-1.27,0.241669,0.231879,-0.00979,0.676451,52,33,0.63462
p2,park,DET,52,0.63462,0.54964,-0.08497,-1.27,0.241669,0.231879,-0.00979,0.676451,52,33,0.63462
live_clean,park,DET,36,0.61111,0.49889,-0.11222,-1.38,0.245906,0.237654,-0.008251,0.684974,34,21,0.61765
live,park,HOU,53,0.41509,0.48943,0.07434,1.1,0.24263,0.242791,0.000161,0.678329,51,30,0.58824
p1,park,HOU,53,0.41509,0.51667,0.10157,1.5,0.24531,0.242791,-0.002519,0.683744,53,31,0.58491
p2,park,HOU,53,0.41509,0.51667,0.10157,1.5,0.24531,0.242791,-0.002519,0.683744,53,31,0.58491
live_clean,park,HOU,42,0.42857,0.49238,0.06381,0.84,0.246962,0.244898,-0.002064,0.687013,40,21,0.525
live,park,KC,52,0.51923,0.49673,-0.0225,-0.32,0.251625,0.24963,-0.001995,0.696417,45,21,0.46667
p1,park,KC,53,0.50943,0.51812,0.00868,0.13,0.254107,0.249911,-0.004196,0.701424,53,24,0.45283
p2,park,KC,53,0.50943,0.51812,0.00868,0.13,0.254107,0.249911,-0.004196,0.701424,53,24,0.45283
live_clean,park,KC,36,0.5,0.49389,-0.00611,-0.07,0.251606,0.25,-0.001606,0.696339,30,12,0.4
live,park,LAA,52,0.44231,0.46481,0.0225,0.33,0.255898,0.246672,-0.009226,0.705051,49,21,0.42857
p1,park,LAA,52,0.44231,0.52319,0.08088,1.17,0.263365,0.246672,-0.016694,0.72022,52,22,0.42308
p2,park,LAA,52,0.44231,0.52319,0.08088,1.17,0.263365,0.246672,-0.016694,0.72022,52,22,0.42308
live_clean,park,LAA,42,0.47619,0.465,-0.01119,-0.15,0.262474,0.249433,-0.013041,0.718326,41,16,0.39024
live,park,LAD,50,0.54,0.4924,-0.0476,-0.68,0.249488,0.2484,-0.001088,0.692143,46,26,0.56522
p1,park,LAD,50,0.54,0.5202,-0.0198,-0.28,0.243735,0.2484,0.004665,0.680573,50,28,0.56
p2,park,LAD,50,0.54,0.5202,-0.0198,-0.28,0.243735,0.2484,0.004665,0.680573,50,28,0.56
live_clean,park,LAD,38,0.55263,0.48579,-0.06684,-0.83,0.249889,0.24723,-0.00266,0.692955,34,19,0.55882
live,park,MIA,51,0.56863,0.46745,-0.10118,-1.46,0.250729,0.24529,-0.005439,0.694622,48,22,0.45833
p1,park,MIA,52,0.55769,0.53815,-0.01955,-0.28,0.245764,0.246672,0.000908,0.684585,52,30,0.57692
p2,park,MIA,52,0.55769,0.53815,-0.01955,-0.28,0.245764,0.246672,0.000908,0.684585,52,30,0.57692
live_clean,park,MIA,38,0.55263,0.46605,-0.08658,-1.07,0.257418,0.24723,-0.010189,0.708144,35,14,0.4
live,park,MIL,54,0.5,0.49685,-0.00315,-0.05,0.250291,0.25,-0.000291,0.693698,48,26,0.54167
p1,park,MIL,54,0.5,0.54943,0.04943,0.73,0.250513,0.25,-0.000513,0.694176,54,27,0.5
p2,park,MIL,54,0.5,0.54943,0.04943,0.73,0.250513,0.25,-0.000513,0.694176,54,27,0.5
live_clean,park,MIL,42,0.52381,0.50119,-0.02262,-0.29,0.253755,0.249433,-0.004322,0.700674,38,19,0.5
live,park,MIN,52,0.5,0.44846,-0.05154,-0.74,0.249038,0.25,0.000962,0.690866,48,24,0.5
p1,park,MIN,52,0.5,0.49663,-0.00337,-0.05,0.24341,0.25,0.00659,0.679908,52,30,0.57692
p2,park,MIN,52,0.5,0.5065,0.0065,0.09,0.238343,0.25,0.011657,0.66606,52,31,0.59615
live_clean,park,MIN,41,0.5122,0.44732,-0.06488,-0.83,0.25218,0.249851,-0.002329,0.69743,38,18,0.47368
live,park,NYM,50,0.48,0.497,0.017,0.24,0.26329,0.2496,-0.01369,0.719824,47,16,0.34043
p1,park,NYM,50,0.48,0.50847,0.02847,0.4,0.261489,0.2496,-0.011889,0.716283,50,21,0.42
p2,park,NYM,50,0.48,0.50847,0.02847,0.4,0.261489,0.2496,-0.011889,0.716283,50,21,0.42
live_clean,park,NYM,36,0.5,0.50417,0.00417,0.05,0.262581,0.25,-0.012581,0.718386,33,11,0.33333
live,park,NYY,48,0.4375,0.46354,0.02604,0.36,0.237631,0.246094,0.008463,0.668222,46,30,0.65217
p1,park,NYY,49,0.42857,0.52089,0.09232,1.31,0.250045,0.244898,-0.005147,0.693223,49,25,0.5102
p2,park,NYY,49,0.42857,0.52089,0.09232,1.31,0.250045,0.244898,-0.005147,0.693223,49,25,0.5102
