series,dimension,bucket,n,base_rate,mean_p,calib_gap,calib_gap_z,brier,brier_const_slice,brier_skill,logloss,n_picks,hits,hit_rate
live,park_factor_bucket,low<0.959,509,0.52456,0.49238,-0.03218,-1.45,0.253332,0.249397,-0.003936,0.699861,455,224,0.49231
p1,park_factor_bucket,low<0.959,516,0.52326,0.55492,0.03166,1.44,0.251115,0.249459,-0.001656,0.695476,515,268,0.52039
p2,park_factor_bucket,low<0.959,516,0.52326,0.55492,0.03166,1.44,0.251115,0.249459,-0.001656,0.695476,515,268,0.52039
live_clean,park_factor_bucket,low<0.959,393,0.52417,0.49356,-0.03061,-1.22,0.254448,0.249416,-0.005032,0.70212,350,170,0.48571
live,park_factor_bucket,"mid[0.959,1.005)",467,0.49465,0.48208,-0.01257,-0.54,0.253097,0.249971,-0.003126,0.699348,435,205,0.47126
p1,park_factor_bucket,"mid[0.959,1.005)",469,0.49254,0.52271,0.03017,1.31,0.250809,0.249944,-0.000864,0.694792,469,239,0.50959
p2,park_factor_bucket,"mid[0.959,1.005)",469,0.49254,0.52271,0.03017,1.31,0.250809,0.249944,-0.000864,0.694792,469,239,0.50959
live_clean,park_factor_bucket,"mid[0.959,1.005)",348,0.49138,0.48195,-0.00943,-0.35,0.256478,0.249926,-0.006552,0.706179,323,142,0.43963
live,hand_pair,LL,126,0.5,0.47532,-0.02468,-0.55,0.249187,0.25,0.000813,0.691444,115,57,0.49565
p1,hand_pair,LL,128,0.5,0.51583,0.01583,0.36,0.247874,0.25,0.002126,0.688857,126,67,0.53175
p2,hand_pair,LL,128,0.5,0.51583,0.01583,0.36,0.247874,0.25,0.002126,0.688857,126,67,0.53175
live_clean,hand_pair,LL,96,0.52083,0.47281,-0.04802,-0.94,0.250886,0.249566,-0.00132,0.694839,89,43,0.48315
live,hand_pair,LR,301,0.52824,0.47827,-0.04997,-1.74,0.253084,0.249203,-0.003881,0.699333,271,132,0.48708
p1,hand_pair,LR,305,0.52459,0.52088,-0.00371,-0.13,0.246668,0.249395,0.002727,0.686396,305,170,0.55738
p2,hand_pair,LR,305,0.52459,0.52256,-0.00203,-0.07,0.245804,0.249395,0.003591,0.684035,305,171,0.56066
live_clean,hand_pair,LR,227,0.54185,0.47621,-0.06564,-1.98,0.256357,0.248249,-0.008108,0.705918,205,93,0.45366
live,hand_pair,RL,315,0.47619,0.47797,0.00178,0.06,0.24989,0.249433,-0.000457,0.69288,293,147,0.50171
p1,hand_pair,RL,317,0.4795,0.51286,0.03336,1.19,0.251217,0.24958,-0.001637,0.695629,317,163,0.5142
p2,hand_pair,RL,317,0.4795,0.51286,0.03336,1.19,0.251217,0.24958,-0.001637,0.695629,317,163,0.5142
live_clean,hand_pair,RL,239,0.46444,0.47753,0.0131,0.41,0.250207,0.248735,-0.001472,0.693485,223,110,0.49327
live,hand_pair,RR,794,0.47985,0.47736,-0.00249,-0.14,0.249308,0.249594,0.000286,0.691677,738,385,0.52168
p1,hand_pair,RR,805,0.47826,0.51598,0.03772,2.14,0.248965,0.249527,0.000563,0.691097,805,427,0.53043
p2,hand_pair,RR,805,0.47826,0.51598,0.03772,2.14,0.248965,0.249527,0.000563,0.691097,805,427,0.53043
live_clean,hand_pair,RR,614,0.4772,0.47822,0.00103,0.05,0.250668,0.24948,-0.001188,0.694466,568,288,0.50704
live,day_night,day,584,0.50856,0.47711,-0.03146,-1.52,0.248193,0.249927,0.001734,0.689405,540,274,0.50741
p1,day_night,day,592,0.50676,0.51698,0.01022,0.5,0.248893,0.249954,0.001061,0.690978,590,314,0.5322
p2,day_night,day,592,0.50676,0.51784,0.01109,0.54,0.248448,0.249954,0.001506,0.689762,590,315,0.5339
live_clean,day_night,day,403,0.50868,0.47561,-0.03308,-1.33,0.251797,0.249925,-0.001872,0.696723,378,179,0.47354
