kind,series,propRefId,gameDate,gamePk,gameId,side,player,scratchBasis,starterId,voidCause,inExemptions,storedBacktestResult,note
DETECTED_VOID,live,120004,2026-04-07,824618,2250157,home,Sean Burke,mlbamId,681343,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120023,2026-04-07,822916,2250158,away,Bryan Woo,mlbamId,669923,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120024,2026-04-07,822916,2250158,home,MacKenzie Gore,mlbamId,543135,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120026,2026-04-07,824375,2250159,away,Cristian Javier,mlbamId,681347,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120025,2026-04-07,824375,2250159,home,Michael Lorenzen,mlbamId,607536,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120029,2026-04-07,823235,2250161,away,Aaron Nola,mlbamId,650911,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120030,2026-04-07,823235,2250161,home,Tyler Mahle,mlbamId,592662,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120005,2026-04-07,823648,2252434,away,Ryne Nelson,mlbamId,668678,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120006,2026-04-07,823648,2252434,home,David Peterson,mlbamId,642547,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120040,2026-04-08,824455,2250163,away,Seth Lugo,mlbamId,666142,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,150009,2026-04-08,823885,2250173,away,Rhett Lowder,mlbamId,663903,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,150010,2026-04-08,823885,2250173,home,Max Meyer,mlbamId,691587,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120036,2026-04-08,823564,2250174,away,Jeffrey Springs,mlbamId,622663,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120037,2026-04-08,823564,2250174,home,Ryan Weathers,mlbamId,701542,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120047,2026-04-08,823726,2250175,away,Jack Flaherty,mlbamId,664285,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120048,2026-04-08,823726,2250175,home,Mick Abel,mlbamId,641927,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,120046,2026-04-08,823646,2252454,away,Eduardo Rodriguez,mlbamId,669194,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,150007,2026-04-08,823646,2252454,home,Nolan McLean,mlbamId,656849,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180001,2026-04-09,823884,2250176,away,Chase Burns,mlbamId,695076,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180002,2026-04-09,823884,2250176,home,Chris Paddack,mlbamId,676974,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180003,2026-04-09,823565,2250177,away,J.T. Ginn,mlbamId,605488,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180004,2026-04-09,823565,2250177,home,Luis Gil,mlbamId,677960,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180005,2026-04-09,823724,2250178,away,Keider Montero,mlbamId,656427,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180006,2026-04-09,823724,2250178,home,Simeon Woods Richardson,mlbamId,690953,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180009,2026-04-09,824130,2250179,away,Davis Martin,mlbamId,641743,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180010,2026-04-09,824130,2250179,home,Kris Bubic,mlbamId,607625,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,210001,2026-04-09,823319,2250180,away,Tomoyuki Sugano,mlbamId,623474,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180011,2026-04-09,823319,2250180,home,Walker Buehler,mlbamId,681190,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180007,2026-04-09,823645,2252459,away,Michael Soroka,mlbamId,593958,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,180008,2026-04-09,823645,2252459,home,Clay Holmes,mlbamId,690997,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240001,2026-04-10,824695,2250181,home,Edward Cabrera,mlbamId,684007,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240004,2026-04-10,824297,2250182,away,Janson Junk,mlbamId,663978,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240003,2026-04-10,824297,2250182,home,Casey Mize,mlbamId,672456,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240008,2026-04-10,822829,2250184,away,Joe Ryan,mlbamId,680573,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240009,2026-04-10,822829,2250184,home,Eric Lauer,mlbamId,571578,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240010,2026-04-10,823643,2250185,away,Jacob Lopez,mlbamId,669372,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240011,2026-04-10,823643,2250185,home,Kodai Senga,mlbamId,605280,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240012,2026-04-10,822997,2250186,away,Max Fried,mlbamId,661563,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,270002,2026-04-10,822997,2250186,home,Nick Martinez,mlbamId,571927,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240016,2026-04-10,824858,2250187,away,Logan Webb,mlbamId,694738,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240014,2026-04-10,824858,2250187,home,Chris Bassitt,mlbamId,669358,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240019,2026-04-10,823808,2250190,home,Kyle Harrison,mlbamId,676879,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240021,2026-04-10,823076,2250191,away,Ranger Suarez,mlbamId,813349,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240027,2026-04-10,823968,2250194,away,Jack Leiter,mlbamId,677958,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240026,2026-04-10,823968,2250194,home,Emmet Sheehan,mlbamId,607192,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,240002,2026-04-10,823482,2252463,away,Brandon Pfaadt,mlbamId,647336,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,330003,2026-04-12,823479,2252493,home,Andrew Painter,mlbamId,647315,TRUE_SCRATCH,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,360012,2026-04-13,824937,2250227,away,Max Meyer,mlbamId,691587,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,360011,2026-04-13,824937,2250227,home,Reynaldo Lopez,mlbamId,656550,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,360013,2026-04-13,823725,2250228,away,Sonny Gray,mlbamId,676979,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,360014,2026-04-13,823725,2250228,home,Mick Abel,mlbamId,641927,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,360018,2026-04-13,825024,2250230,away,MacKenzie Gore,mlbamId,543135,NEXTDAY_CONTAMINATION,0,PUSH,listed pitcher did not start (re-derived)
DETECTED_VOID,live,360017,2026-04-13,825024,2250230,home,Jeffrey Springs,mlbamId,622663,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,360020,2026-04-13,823964,2250231,away,Nolan McLean,mlbamId,656849,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,360019,2026-04-13,823964,2250231,home,Yoshinobu Yamamoto,mlbamId,680736,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390005,2026-04-14,824292,2250232,away,Seth Lugo,mlbamId,666142,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390004,2026-04-14,824292,2250232,home,Jack Flaherty,mlbamId,664285,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390009,2026-04-14,823398,2250233,away,Miles Mikolas,mlbamId,676571,TRUE_SCRATCH,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390008,2026-04-14,824531,2250234,away,Tyler Mahle,mlbamId,592662,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390003,2026-04-14,824531,2250234,home,Rhett Lowder,mlbamId,663903,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,420001,2026-04-14,823478,2250235,away,Shota Imanaga,mlbamId,702303,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390006,2026-04-14,823478,2250235,home,Jesus Luzardo,mlbamId,605400,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390014,2026-04-14,823723,2250238,away,Connelly Early,mlbamId,543243,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390017,2026-04-14,823723,2250238,home,Simeon Woods Richardson,mlbamId,690953,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390020,2026-04-14,823072,2250241,away,Slade Cecconi,mlbamId,676282,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390021,2026-04-14,823072,2250241,home,Dustin May,mlbamId,700241,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390029,2026-04-14,823965,2250245,away,Clay Holmes,mlbamId,690997,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390001,2026-04-14,824853,2252517,away,Eduardo Rodriguez,mlbamId,518876,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,390002,2026-04-14,824853,2252517,home,Kyle Bradish,mlbamId,669432,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,450008,2026-04-15,824532,2250250,home,Chase Burns,mlbamId,695076,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,450020,2026-04-15,824615,2250254,away,Jesse Scholtens,mlbamId,642121,TRUE_SCRATCH,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,480002,2026-04-16,823396,2250260,away,Zack Littell,mlbamId,656492,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,480020,2026-04-16,823560,2250263,away,Jose Soriano,mlbamId,608718,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,480010,2026-04-16,824614,2250265,home,Davis Martin,mlbamId,673929,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,480019,2026-04-16,824208,2250268,away,Tomoyuki Sugano,mlbamId,675848,NEXTDAY_CONTAMINATION,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,510028,2026-04-17,825101,2252570,away,Eric Lauer,mlbamId,680755,TRUE_SCRATCH,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,510035,2026-04-19,822750,2250299,home,Miles Mikolas,mlbamId,676571,TRUE_SCRATCH,0,UNDER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,510045,2026-04-19,824691,2250306,away,Tobias Myers,mlbamId,668964,TRUE_SCRATCH,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,510051,2026-04-19,824047,2250309,home,Reid Detmers,mlbamId,700712,NEXTDAY_CONTAMINATION,0,OVER,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540014,2026-04-22,824286,2250342,away,Brandon Sproat,mlbamId,669084,TRUE_SCRATCH,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540015,2026-04-22,822748,2250343,away,Didier Fuentes,mlbamId,800311,TRUE_SCRATCH,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540031,2026-04-22,823641,2250345,away,Joe Ryan,mlbamId,687570,NEXTDAY_CONTAMINATION,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540030,2026-04-22,824688,2250346,away,Cristopher Sanchez,mlbamId,679775,NEXTDAY_CONTAMINATION,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540029,2026-04-22,823231,2250349,away,Tyler Glasnow,mlbamId,660271,NEXTDAY_CONTAMINATION,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540027,2026-04-22,825097,2252640,away,Davis Martin,mlbamId,641743,NEXTDAY_CONTAMINATION,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540032,2026-04-23,822745,2250350,away,Grant Holmes,mlbamId,702275,NEXTDAY_CONTAMINATION,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540067,2026-04-24,824611,2250365,away,Miles Mikolas,mlbamId,676571,TRUE_SCRATCH,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540098,2026-04-25,824851,2250374,home,Kyle Bradish,mlbamId,669432,NEXTDAY_CONTAMINATION,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,540085,2026-04-26,823637,2250376,away,Jose Quintana,mlbamId,801403,WRONG_GAME_SAME_DATE,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,570012,2026-04-26,822991,2250391,home,Steven Matz,mlbamId,643377,TRUE_SCRATCH,1,,listed pitcher did not start (re-derived)
DETECTED_VOID,live,630049,2026-04-29,824525,2250430,home,Andrew Abbott,mlbamId,682227,NEXTDAY_CONTAMINATION,1,,listed pitcher did not start (re-derived)
