propId,gameId,gameDate,gamePk,side,pitcher,mlbamId,class,ungraded_reason,kProj,bookLine,pOver,pUnder,actualKs,stored_backtestResult,stored_modelCorrect,stored_modelError,derived_backtestResult,derived_modelCorrect,derived_modelError,grade_status,diff_fields,substrate_status,substrate_starterId,substrate_starterKs
90047,2250026,2026-03-28,822838,away,Jeffrey Springs,605488,final_in_scope,,2.16,3.5,0.1738,0.8262,2,UNDER,1,0.16,UNDER,1,0.16,MATCH,,SIDE_MATCH_KS_EQUAL,605488,2
90050,2250027,2026-03-28,824862,away,Taj Bradley,671737,final_in_scope,,3.73,4.5,0.3178,0.6822,9,OVER,0,-5.27,OVER,0,-5.27,MATCH,,SIDE_MATCH_KS_EQUAL,671737,9
90049,2250027,2026-03-28,824862,home,Kyle Bradish,680694,final_in_scope,,7.49,6.5,0.6209,0.3791,4,UNDER,0,3.49,UNDER,0,3.49,MATCH,,SIDE_MATCH_KS_EQUAL,680694,4
90052,2250028,2026-03-28,823488,away,Jacob deGrom,594798,final_in_scope,,6.04,6.5,0.4004,0.5996,3,UNDER,1,3.04,UNDER,1,3.04,MATCH,,SIDE_MISMATCH(scratch),656641,3
90051,2250028,2026-03-28,823488,home,Aaron Nola,605400,final_in_scope,,4.75,5.5,0.3395,0.6605,7,OVER,0,-2.25,OVER,0,-2.25,MATCH,,SIDE_MATCH_KS_EQUAL,605400,7
90054,2250029,2026-03-28,824540,home,Brady Singer,663903,final_in_scope,,3.63,4.5,0.2996,0.7004,5,OVER,0,-1.37,OVER,0,-1.37,MATCH,,SIDE_MATCH_KS_EQUAL,663903,5
90053,2250029,2026-03-28,824540,away,Sonny Gray,543243,final_in_scope,,7.47,6.5,0.6177,0.3823,5,UNDER,0,2.47,UNDER,0,2.47,MATCH,,SIDE_MATCH_KS_EQUAL,543243,5
90058,2250030,2026-03-28,823651,away,Mitch Keller,656605,final_in_scope,,3.47,4.5,0.2691,0.7309,3,UNDER,1,0.47,UNDER,1,0.47,MATCH,,SIDE_MATCH_KS_EQUAL,656605,3
90057,2250030,2026-03-28,823651,home,David Peterson,656849,final_in_scope,,4.7,4.5,0.5048,0.4952,3,UNDER,0,1.7,UNDER,0,1.70,MATCH,,SIDE_MATCH_KS_EQUAL,656849,3
90056,2250031,2026-03-28,823892,home,Eury Perez,691587,final_in_scope,,6.2,6.5,0.4259,0.5741,8,OVER,0,-1.8,OVER,0,-1.80,MATCH,,SIDE_MATCH_KS_EQUAL,691587,8
90055,2250031,2026-03-28,823892,away,Michael Lorenzen,547179,final_in_scope,,3.18,4.5,0.2158,0.7842,4,UNDER,1,-0.82,UNDER,1,-0.82,MATCH,,SIDE_MATCH_KS_EQUAL,547179,4
90060,2250032,2026-03-28,824213,home,Cristian Javier,664299,final_in_scope,,3.72,4.5,0.3160,0.6840,1,UNDER,1,2.72,UNDER,1,2.72,MATCH,,SIDE_MATCH_KS_EQUAL,664299,1
90061,2250033,2026-03-28,823811,home,Chad Patrick,694477,final_in_scope,,4.73,5.5,0.3374,0.6626,4,UNDER,1,0.73,UNDER,1,0.73,MATCH,,SIDE_MATCH_KS_EQUAL,694477,4
90059,2250033,2026-03-28,823811,away,Sean Burke,680732,final_in_scope,,3.03,4.5,0.1895,0.8105,5,OVER,0,-1.97,OVER,0,-1.97,MATCH,,SIDE_MATCH_KS_EQUAL,680732,5
90066,2250034,2026-03-28,824945,away,Michael Wacha,608379,final_in_scope,,2.59,3.5,0.2612,0.7388,7,OVER,0,-4.41,OVER,0,-4.41,MATCH,,SIDE_MATCH_KS_EQUAL,608379,7
90065,2250034,2026-03-28,824945,home,Reynaldo Lopez,625643,final_in_scope,,3.15,4.5,0.2105,0.7895,3,UNDER,1,0.15,UNDER,1,0.15,MATCH,,SIDE_MATCH_KS_EQUAL,625643,3
90068,2250035,2026-03-28,823241,home,Tyler Mahle,641816,final_in_scope,,3.65,4.5,0.3037,0.6963,5,OVER,0,-1.35,OVER,0,-1.35,MATCH,,SIDE_MATCH_KS_EQUAL,641816,5
90067,2250035,2026-03-28,823241,away,Will Warren,701542,final_in_scope,,3.9,4.5,0.3525,0.6475,3,UNDER,1,0.9,UNDER,1,0.90,MATCH,,SIDE_MATCH_KS_EQUAL,701542,3
90070,2250036,2026-03-28,823323,home,Randy Vasquez,681190,final_in_scope,,2.33,3.5,0.2075,0.7925,8,OVER,0,-5.67,OVER,0,-5.67,MATCH,,SIDE_MATCH_KS_EQUAL,681190,8
90069,2250036,2026-03-28,823323,away,Jack Flaherty,656427,final_in_scope,,4.35,5.5,0.2714,0.7286,2,UNDER,1,2.35,UNDER,1,2.35,MATCH,,SIDE_MATCH_KS_EQUAL,656427,2
90073,2250037,2026-03-28,823161,home,Bryan Woo,693433,final_in_scope,,5.51,5.5,0.4724,0.5276,9,OVER,0,-3.49,OVER,0,-3.49,MATCH,,SIDE_MATCH_KS_EQUAL,693433,9
90077,2250038,2026-03-29,824864,away,Bailey Ober,641927,final_in_scope,,3.42,4.5,0.2604,0.7396,1,UNDER,1,2.42,UNDER,1,2.42,MATCH,,SIDE_MATCH_KS_EQUAL,641927,1
90075,2250038,2026-03-29,824864,home,Shane Baz,669358,final_in_scope,,4.78,5.5,0.3457,0.6543,4,UNDER,1,0.78,UNDER,1,0.78,MATCH,,SIDE_MATCH_KS_EQUAL,669358,4
90079,2250039,2026-03-29,823487,away,MacKenzie Gore,669022,final_in_scope,,5.21,5.5,0.4217,0.5783,7,OVER,0,-1.79,OVER,0,-1.79,MATCH,,SIDE_MATCH_KS_EQUAL,669022,7
90078,2250039,2026-03-29,823487,home,Jesus Luzardo,666200,final_in_scope,,7.03,6.5,0.5553,0.4447,7,OVER,1,0.03,OVER,1,0.03,MATCH,,SIDE_MATCH_KS_EQUAL,666200,7
90076,2250040,2026-03-29,824944,away,Seth Lugo,607625,final_in_scope,,3.35,4.5,0.2465,0.7535,3,UNDER,1,0.35,UNDER,1,0.35,MATCH,,SIDE_MATCH_KS_EQUAL,607625,3
90074,2250040,2026-03-29,824944,home,Grant Holmes,656550,final_in_scope,,3.2,4.5,0.2195,0.7805,4,UNDER,1,-0.8,UNDER,1,-0.80,MATCH,,SIDE_MATCH_KS_EQUAL,656550,4
90081,2250041,2026-03-29,822837,home,Eric Lauer,641778,final_in_scope,,3.98,4.5,0.3670,0.6330,9,OVER,0,-5.02,OVER,0,-5.02,MATCH,,SIDE_MATCH_KS_EQUAL,641778,9
90080,2250041,2026-03-29,822837,away,Luis Morales,806960,final_in_scope,,2.21,3.5,0.1836,0.8164,5,OVER,0,-2.79,OVER,0,-2.79,MATCH,,SIDE_MATCH_KS_EQUAL,806960,5
90082,2250042,2026-03-29,824538,home,Rhett Lowder,695076,final_in_scope,,3.76,4.5,0.3250,0.6750,5,OVER,0,-1.24,OVER,0,-1.24,MATCH,,SIDE_MATCH_KS_EQUAL,695076,5
90085,2250043,2026-03-29,823647,home,Nolan McLean,690997,final_in_scope,,7.7,6.5,0.6485,0.3515,8,OVER,1,-0.3,OVER,1,-0.30,MATCH,,SIDE_MATCH_KS_EQUAL,690997,8
90084,2250044,2026-03-29,823891,home,Max Meyer,676974,final_in_scope,,6.09,5.5,0.5689,0.4311,5,UNDER,0,1.09,UNDER,0,1.09,MATCH,,SIDE_MATCH_KS_EQUAL,676974,5
90083,2250044,2026-03-29,823891,away,Jose Quintana,500779,final_in_scope,,2.24,3.5,0.1882,0.8118,2,UNDER,1,0.24,UNDER,1,0.24,MATCH,,SIDE_MATCH_KS_EQUAL,500779,2
90086,2250045,2026-03-29,824215,away,Jack Kochanowicz,686799,final_in_scope,,1.53,2.5,0.1989,0.8011,3,OVER,0,-1.47,OVER,0,-1.47,MATCH,,SIDE_MATCH_KS_EQUAL,686799,3
90087,2250046,2026-03-29,823810,home,Brandon Sproat,687075,final_in_scope,,4.02,4.5,0.3745,0.6255,3,UNDER,1,1.02,UNDER,1,1.02,MATCH,,SIDE_MATCH_KS_EQUAL,687075,3
90088,2250047,2026-03-29,823079,home,Dustin May,669160,final_in_scope,,3.34,4.5,0.2449,0.7551,3,UNDER,1,0.34,UNDER,1,0.34,MATCH,,SIDE_MATCH_KS_EQUAL,669160,3
90090,2250048,2026-03-29,824700,away,Jake Irvin,663623,final_in_scope,,2.26,3.5,0.1917,0.8083,7,OVER,0,-4.74,OVER,0,-4.74,MATCH,,SIDE_MATCH_KS_EQUAL,663623,7
90089,2250048,2026-03-29,824700,home,Shota Imanaga,684007,final_in_scope,,3.74,4.5,0.3206,0.6794,7,OVER,0,-3.26,OVER,0,-3.26,MATCH,,SIDE_MATCH_KS_EQUAL,684007,7
90092,2250049,2026-03-29,823160,home,Emerson Hancock,676106,final_in_scope,,2.53,3.5,0.2499,0.7501,9,OVER,0,-6.47,OVER,0,-6.47,MATCH,,SIDE_MATCH_KS_EQUAL,676106,9
