ledgerId,refId,modelVersion,gameId,gameDate,issues
34124,25889,wf-19288f01-p1,2250159,2026-04-07,null_core_field
34163,26168,wf-19288f01-p1,2250161,2026-04-07,null_core_field
34164,26171,wf-19288f01-p1,2250161,2026-04-07,null_core_field
34183,33448,wf-19288f01-p1,2252434,2026-04-07,null_core_field
34184,33449,wf-19288f01-p1,2252434,2026-04-07,null_core_field
34223,26455,wf-19288f01-p1,2250163,2026-04-08,null_core_field
34303,27010,wf-19288f01-p1,2250167,2026-04-08,null_core_field
34423,27848,wf-19288f01-p1,2250173,2026-04-08,null_core_field
34424,27849,wf-19288f01-p1,2250173,2026-04-08,null_core_field
34443,27988,wf-19288f01-p1,2250174,2026-04-08,null_core_field
34444,27989,wf-19288f01-p1,2250174,2026-04-08,null_core_field
34463,28128,wf-19288f01-p1,2250175,2026-04-08,null_core_field
34464,28129,wf-19288f01-p1,2250175,2026-04-08,null_core_field
34483,33488,wf-19288f01-p1,2252454,2026-04-08,null_core_field
34484,33489,wf-19288f01-p1,2252454,2026-04-08,null_core_field
34503,28268,wf-19288f01-p1,2250176,2026-04-09,null_core_field
34504,28269,wf-19288f01-p1,2250176,2026-04-09,null_core_field
34523,28408,wf-19288f01-p1,2250177,2026-04-09,null_core_field
34524,28409,wf-19288f01-p1,2250177,2026-04-09,null_core_field
34543,28548,wf-19288f01-p1,2250178,2026-04-09,null_core_field
34544,28549,wf-19288f01-p1,2250178,2026-04-09,null_core_field
34563,28688,wf-19288f01-p1,2250179,2026-04-09,null_core_field
34564,28689,wf-19288f01-p1,2250179,2026-04-09,null_core_field
34583,28828,wf-19288f01-p1,2250180,2026-04-09,null_core_field
34584,28829,wf-19288f01-p1,2250180,2026-04-09,null_core_field
34603,33528,wf-19288f01-p1,2252459,2026-04-09,null_core_field
34604,33529,wf-19288f01-p1,2252459,2026-04-09,null_core_field
34624,28969,wf-19288f01-p1,2250181,2026-04-10,null_core_field
34643,29108,wf-19288f01-p1,2250182,2026-04-10,null_core_field
34644,29109,wf-19288f01-p1,2250182,2026-04-10,null_core_field
34683,29388,wf-19288f01-p1,2250184,2026-04-10,null_core_field
34684,29389,wf-19288f01-p1,2250184,2026-04-10,null_core_field
34703,29528,wf-19288f01-p1,2250185,2026-04-10,null_core_field
34704,29529,wf-19288f01-p1,2250185,2026-04-10,null_core_field
