dimension,tier,series,n,meanErr,ci95,tstat,sd,mae,medianErr,pctUnderProj,meanActualKs,meanProj
opp_asof_k27,2: 7.89-8.37,live,676,-1.1094,0.1967,-11.06,2.6087,2.2228,-0.995,0.6391,4.657,3.547
opp_asof_k27,2: 7.89-8.37,p1,770,0.6318,0.1937,6.39,2.7421,2.2021,0.6478,0.3948,4.534,5.166
opp_asof_k27,2: 7.89-8.37,p2,770,0.0123,0.1878,0.13,2.6592,2.0471,0.019,0.4961,4.534,4.546
opp_asof_k27,3: 8.37-9.05,live,679,-1.0722,0.1978,-10.63,2.6292,2.2086,-0.94,0.6583,4.932,3.86
opp_asof_k27,3: 8.37-9.05,p1,770,0.6187,0.1997,6.07,2.8266,2.2439,0.4821,0.4286,4.843,5.462
opp_asof_k27,3: 8.37-9.05,p2,770,0.0177,0.1954,0.18,2.7661,2.1527,-0.0928,0.5195,4.843,4.861
opp_asof_k27,4: >=9.05,live,654,-0.8825,0.2063,-8.38,2.6915,2.241,-0.705,0.6177,5.122,4.24
opp_asof_k27,4: >=9.05,p1,770,0.7421,0.2087,6.97,2.9554,2.3994,0.5788,0.4039,5.069,5.811
opp_asof_k27,4: >=9.05,p2,770,0.3003,0.2064,2.85,2.9227,2.3115,0.1969,0.4701,5.069,5.369
opp_asof_k27,no-prior-2026,live,14,-0.0514,1.6191,-0.06,3.0909,2.1929,0.335,0.3571,5.429,5.377
opp_asof_k27,no-prior-2026,p1,30,1.6604,0.9811,3.32,2.7416,2.5704,1.9031,0.2667,5.633,7.294
opp_asof_k27,no-prior-2026,p2,30,1.6604,0.9811,3.32,2.7416,2.5704,1.9031,0.2667,5.633,7.294
line_level,1: <=3.5,live,598,-1.5356,0.1952,-15.42,2.4359,2.2706,-1.41,0.7241,4.182,2.647
line_level,1: <=3.5,p1,627,0.3626,0.2119,3.35,2.7069,2.0805,0.2268,0.4545,4.113,4.476
line_level,1: <=3.5,p2,627,-0.1121,0.2038,-1.08,2.6034,2.0037,-0.2298,0.547,4.113,4.001
line_level,2: 4-4.5,live,947,-1.2339,0.1564,-15.46,2.4556,2.1312,-1.06,0.6843,4.559,3.325
line_level,2: 4-4.5,p1,1010,0.446,0.1645,5.32,2.6666,2.1231,0.4097,0.4356,4.541,4.987
line_level,2: 4-4.5,p2,1010,-0.0828,0.1597,-1.02,2.5902,2.0333,-0.0469,0.5119,4.541,4.458
line_level,3: 5-5.5,live,767,-0.8767,0.1854,-9.27,2.6193,2.1708,-0.72,0.6128,5.154,4.277
line_level,3: 5-5.5,p1,800,0.8655,0.1955,8.68,2.8217,2.3273,0.7874,0.3775,5.09,5.955
