gameId,side,gameDate,month,awayTeam,homeTeam,mlbGamePk,oppTeam,starterId,starterHand,starterKs,starterOuts,liveRowId,livePitcherName,liveMlbamId,liveStarterMismatch,kProj,bookLine,lineIsInteger,pOver,pUnder,anNoVigOverPct,verdict,bestSide,edgeOver,edgeUnder,liveStoredActualKs,liveStoredResult,liveStoredModelError,liveStoredModelCorrect,liveTruthKs,liveTruthSource,liveSignedError,p1MlbamId,p1ProjValue,p1POver,p1Line,p1SignedError,p2ProjValue,p2POver,p2Line,p2SignedError,asofK9,asofPriorStarts,daysRest,asofIpPerStart,oppAsofK27,oppAsofPriorGames,snapK9,snapXfip,snapHand,snapJoinVia,oppSplitK9VsHand,umpire,umpKMod
2250013,away,2026-03-26,2026-03,DET,SD,823325,SD,669373,L,6,18,,,,,,,,,,,,,,,,,,,,,,669373,10.3692,,,4.369199999999999,10.3692,,,4.369199999999999,,0,,,,0,11.0,2.5858,L,id,6.6522,"Umpire: 
                                                                                    Alfonso Márquez  9.8 R/G  16.6 K/G",
2250013,home,2026-03-26,2026-03,DET,SD,823325,DET,601713,R,4,9,,,,,,,,,,,,,,,,,,,,,,601713,7.2675,,,3.2675,7.2675,,,3.2675,,0,,,,0,13.5,3.11818,R,id,6.9949,"Umpire: 
                                                                                    Alfonso Márquez  9.8 R/G  16.6 K/G",
2250014,away,2026-03-26,2026-03,TB,STL,823081,STL,656876,R,2,15,,,,,,,,,,,,,,,,,,,,,,656876,4.7363,,,2.7363,4.7363,,,2.7363,,0,,,,0,8.88,2.99638,R,id,6.5739,"Umpire: 
                                                                                    Chris Guccione  9.5 R/G  17.5 K/G",
2250014,home,2026-03-26,2026-03,TB,STL,823081,TB,669461,L,2,15,,,,,,,,,,,,,,,,,,,,,,669461,4.099,,,2.099,4.099,,,2.099,,0,,,,0,8.64,5.23,L,id,5.5462,"Umpire: 
                                                                                    Chris Guccione  9.5 R/G  17.5 K/G",
2250015,away,2026-03-26,2026-03,TEX,PHI,823486,PHI,543135,R,7,14,,,,,,,,,,,,,,,,,,,,,,543135,8.1565,,,1.1564999999999994,8.1565,,,1.1564999999999994,,0,,,,0,9.52,3.31618,R,id,7.0636,"Umpire: 
                                                                                    James Hoye  9.6 R/G  16.9 K/G",
2250015,home,2026-03-26,2026-03,TEX,PHI,823486,TEX,650911,L,10,18,,,,,,,,,,,,,,,,,,,,,,650911,10.1234,,,0.12340000000000018,10.1234,,,0.12340000000000018,,0,,,,0,10.24,2.57667,L,id,7.5,"Umpire: 
                                                                                    James Hoye  9.6 R/G  16.9 K/G",
2250016,away,2026-03-26,2026-03,CLE,SEA,823163,SEA,676440,R,7,15,,,,,,,,,,,,,,,,,,,,,,676440,5.0625,,,-1.9375,5.0625,,,-1.9375,,0,,,,0,6.96,3.93637,R,id,6.8789,"Umpire: 
                                                                                    Lance Barksdale  9.3 R/G  17.0 K/G",
2250016,home,2026-03-26,2026-03,CLE,SEA,823163,CLE,669302,R,7,16,,,,,,,,,,,,,,,,,,,,,,669302,8.7071,,,1.7071000000000005,8.7071,,,1.7071000000000005,,0,,,,0,9.68,3.73945,R,id,6.6498,"Umpire: 
                                                                                    Lance Barksdale  9.3 R/G  17.0 K/G",
2250017,away,2026-03-27,2026-03,NYY,SF,823243,SF,693645,R,8,16,90027,Cam Schlittler,693645,0,4.05,4.5,0,0.3805,0.6195,0.5064,UNDER,UNDER,-0.1259,0.1259,8,OVER,-3.95,0,8.0,substrate,-3.95,693645,6.7009,0.79794,4.5,-1.2991000000000001,6.7009,0.79793,4.5,-1.2991000000000001,,0,,,5.684210526315789,1,10.84,2.56811,R,id,6.0745,"Umpire: 
                                                                                    Chad Fairchild  9.2 R/G  16.9 K/G",
2250017,home,2026-03-27,2026-03,NYY,SF,823243,NYY,592662,L,4,16,90028,Robbie Ray,592662,0,5.52,6.5,0,0.3179,0.6821,0.5724,UNDER,UNDER,-0.2545,0.2545,4,UNDER,1.52,1,4.0,substrate,1.5199999999999996,592662,6.2227,0.42942,6.5,2.2226999999999997,6.2227,0.42942,6.5,2.2226999999999997,,0,,,12.6,1,7.91,4.1814,L,id,7.5609,"Umpire: 
                                                                                    Chad Fairchild  9.2 R/G  16.9 K/G",
