series,n,n_with_line,n_checked,n_pover_null_line_null,n_pover_null_line_present,n_pover_present_line_null,strict_gt_1e-6,max_abs_diff,rounding_aware_violations,clamp_low,clamp_high,factor_checked,factor_mismatch,max_factor_diff,line_mismatch_vs_p1,missing_p1_partner,missing_k_factor
wf-19288f01-p1,3110,2528,2528,582,0,0,1811,1.53e-05,0,40,409,0,0,0.00e+00,0,0,0
wf-19288f01-p2,3110,2528,3110,582,0,0,2010,5.00e-06,0,0,0,3110,0,5.00e-05,0,0,0
