gameId,gameDate,mlbGamePk,awayTeam,homeTeam,gameStatus
2250131,2026-04-05,825025,HOU,ATH,final
2250132,2026-04-05,823238,NYM,SF,final
2250133,2026-04-05,824053,SEA,LAA,final
2250134,2026-04-05,824296,STL,DET,final
2252411,2026-04-05,825102,ATL,ARI,final
2250135,2026-04-06,823002,CHC,TB,final
2250136,2026-04-06,824456,KC,CLE,final
2250137,2026-04-06,823401,SD,PIT,final
2250138,2026-04-06,823886,CIN,MIA,final
2250139,2026-04-06,822755,STL,WSH,final
2250140,2026-04-06,824783,MIL,BOS,final
2250141,2026-04-06,822832,LAD,TOR,final
2250142,2026-04-06,823728,DET,MIN,final
2250143,2026-04-06,824619,BAL,CWS,final
2250144,2026-04-06,822918,SEA,TEX,final
2250145,2026-04-06,824376,HOU,COL,final
2250146,2026-04-06,824052,ATL,LAA,final
2250147,2026-04-06,823237,PHI,SF,final
2250148,2026-04-07,824457,KC,CLE,final
2250149,2026-04-07,823402,SD,PIT,final
2250150,2026-04-07,822999,CHC,TB,final
2250151,2026-04-07,823887,CIN,MIA,final
2250152,2026-04-07,822754,STL,WSH,final
2250153,2026-04-07,824780,MIL,BOS,final
2250154,2026-04-07,823567,ATH,NYY,final
2250155,2026-04-07,822831,LAD,TOR,final
2250156,2026-04-07,823727,DET,MIN,final
2250157,2026-04-07,824618,BAL,CWS,final
2250158,2026-04-07,822916,SEA,TEX,final
2250159,2026-04-07,824375,HOU,COL,final
2250160,2026-04-07,824051,ATL,LAA,final
2250161,2026-04-07,823235,PHI,SF,final
2252434,2026-04-07,823648,ARI,NYM,final
2250162,2026-04-08,823403,SD,PIT,final
2250163,2026-04-08,824455,KC,CLE,final
2250164,2026-04-08,824779,MIL,BOS,final
2250165,2026-04-08,824617,BAL,CWS,final
2250166,2026-04-08,822915,SEA,TEX,final
2250167,2026-04-08,822833,LAD,TOR,final
2250168,2026-04-08,824374,HOU,COL,final
2250169,2026-04-08,823234,PHI,SF,final
2250170,2026-04-08,822753,STL,WSH,final
2250171,2026-04-08,824050,ATL,LAA,final
2250172,2026-04-08,823000,CHC,TB,final
