state,fold,game_pk,hash_recovered,hash_committed,hash_match,p_home_recovered,p_home_committed,p_home_match_6dp,n_traj,gates
B,2025,776537,b85faf8aab60fb93,b85faf8aab60fb93,True,0.37849,0.37849,True,400000,PASS
B,2025,777534,444009fe38d9432a,444009fe38d9432a,True,0.30553,0.30553,True,400000,PASS
B,2025,745281,00411c7131c34372,00411c7131c34372,True,0.475432,0.475432,True,400000,PASS
B,2026,776315,d752e6b81cf6d119,d752e6b81cf6d119,True,0.416953,0.416953,True,400000,PASS
B,2026,777355,0c279182c3c78a33,0c279182c3c78a33,True,0.588642,0.588642,True,400000,PASS
B,2026,776657,14e7f0da729ed5dc,14e7f0da729ed5dc,True,0.487428,0.487428,True,400000,PASS
B,2026,824186,75b4b8d88e72d582,75b4b8d88e72d582,True,0.448927,0.448927,True,400000,PASS
B,2026,776660,0972215a626040c9,0972215a626040c9,True,0.197032,0.197032,True,400000,PASS
C,2021,633607,5e4c61ed68c94c8f,5e4c61ed68c94c8f,True,0.721877,0.721877,True,400000,PASS
C,2021,633630,2ee7bad6b79d4007,2ee7bad6b79d4007,True,0.717093,0.717093,True,400000,PASS
C,2021,633169,ea3a378186abe87e,ea3a378186abe87e,True,0.47969,0.47969,True,400000,PASS
C,2021,632261,15f1b93e4e6cd9b3,15f1b93e4e6cd9b3,True,0.305963,0.305963,True,400000,PASS
C,2021,634449,40975fbf0801b3ea,40975fbf0801b3ea,True,0.489805,0.489805,True,400000,PASS
C,2022,632984,344d48851302915a,344d48851302915a,True,0.42378,0.42378,True,400000,PASS
C,2022,632892,7a44b4813f17a175,7a44b4813f17a175,True,0.381925,0.381925,True,400000,PASS
C,2022,632452,3f10ef9445f860b9,3f10ef9445f860b9,True,0.32698,0.32698,True,400000,PASS
C,2022,634338,a0dcca72461c5388,a0dcca72461c5388,True,0.433497,0.433497,True,400000,PASS
C,2022,663003,67f7886980903d56,67f7886980903d56,True,0.39127,0.39127,True,400000,PASS
C,2023,716724,21904ccfb9ff69a4,21904ccfb9ff69a4,True,0.510323,0.510323,True,400000,PASS
C,2023,662102,aa7194567ac05be9,aa7194567ac05be9,True,0.545585,0.545585,True,400000,PASS
C,2023,717311,089c75af4a50b49b,089c75af4a50b49b,True,0.453135,0.453135,True,400000,PASS
