gameId,gameDate,month,bookTotal,f5Total_book,modelF5Total_synth,synth_reconstructed,diff_synth_book
2250101,2026-04-03,2026-04,10.0,5.5,5.5,5.5,0.0
2250102,2026-04-03,2026-04,8.5,4.5,4.5,4.5,0.0
2250104,2026-04-03,2026-04,8.0,3.5,4.5,4.5,1.0
2250105,2026-04-03,2026-04,9.5,5.5,5.5,5.5,0.0
2250106,2026-04-03,2026-04,7.5,3.5,4.0,4.0,0.5
2250107,2026-04-04,2026-04,7.5,4.5,4.0,4.0,-0.5
2250108,2026-04-04,2026-04,8.5,4.5,4.5,4.5,0.0
2250109,2026-04-04,2026-04,9.5,5.5,5.5,5.5,0.0
2250110,2026-04-04,2026-04,10.0,4.5,5.5,5.5,1.0
2250111,2026-04-04,2026-04,8.5,4.5,4.5,4.5,0.0
2250112,2026-04-04,2026-04,7.5,4.5,4.0,4.0,-0.5
2250113,2026-04-04,2026-04,8.0,4.5,4.5,4.5,0.0
2250114,2026-04-04,2026-04,8.5,4.5,4.5,4.5,0.0
2250115,2026-04-04,2026-04,7.5,3.5,4.0,4.0,0.5
2250116,2026-04-04,2026-04,8.0,4.5,4.5,4.5,0.0
2250117,2026-04-05,2026-04,7.5,3.5,4.0,4.0,0.5
2250118,2026-04-04,2026-04,10.0,5.5,5.5,5.5,0.0
2250119,2026-04-04,2026-04,7.5,4.5,4.0,4.0,-0.5
2250120,2026-04-04,2026-04,9.5,5.5,5.5,5.5,0.0
2250121,2026-04-05,2026-04,9.0,4.5,5.0,5.0,0.5
2250122,2026-04-05,2026-04,8.0,4.5,4.5,4.5,0.0
2250123,2026-04-05,2026-04,9.0,4.5,5.0,5.0,0.5
2250124,2026-04-05,2026-04,8.5,4.5,4.5,4.5,0.0
2250125,2026-04-05,2026-04,7.5,3.5,4.0,4.0,0.5
2250126,2026-04-05,2026-04,8.0,4.5,4.5,4.5,0.0
2250127,2026-04-05,2026-04,8.0,4.5,4.5,4.5,0.0
2250128,2026-04-05,2026-04,7.5,4.5,4.0,4.0,-0.5
2250129,2026-04-05,2026-04,7.5,3.5,4.0,4.0,0.5
2250130,2026-04-05,2026-04,11.0,6.5,6.0,6.0,-0.5
2250131,2026-04-05,2026-04,10.0,5.5,5.5,5.5,0.0
2250132,2026-04-05,2026-04,7.0,3.5,4.0,4.0,0.5
2250133,2026-04-05,2026-04,9.0,4.5,5.0,5.0,0.5
2250134,2026-04-05,2026-04,8.0,4.5,4.5,4.5,0.0
2250135,2026-04-06,2026-04,8.0,4.5,4.5,4.5,0.0
2250136,2026-04-06,2026-04,7.0,3.5,4.0,4.0,0.5
2250137,2026-04-06,2026-04,8.5,4.5,4.5,4.5,0.0
2250138,2026-04-06,2026-04,8.5,4.5,4.5,4.5,0.0
2250139,2026-04-06,2026-04,8.0,4.5,4.5,4.5,0.0
2250140,2026-04-06,2026-04,8.0,4.5,4.5,4.5,0.0
2250141,2026-04-06,2026-04,9.0,4.5,5.0,5.0,0.5
2250142,2026-04-06,2026-04,7.0,3.5,4.0,4.0,0.5
2250143,2026-04-06,2026-04,8.5,4.5,4.5,4.5,0.0
2250144,2026-04-06,2026-04,8.0,3.5,4.5,4.5,1.0
2250145,2026-04-06,2026-04,10.5,5.5,6.0,6.0,0.5
2250146,2026-04-06,2026-04,7.5,3.5,4.0,4.0,0.5
2250147,2026-04-06,2026-04,8.0,4.5,4.5,4.5,0.0
2250148,2026-04-07,2026-04,6.0,3.5,3.5,3.5,0.0
2250149,2026-04-07,2026-04,6.0,3.5,3.5,3.5,0.0
2250150,2026-04-07,2026-04,8.5,4.5,4.5,4.5,0.0
2250151,2026-04-07,2026-04,7.5,3.5,4.0,4.0,0.5
2250152,2026-04-07,2026-04,7.0,3.5,4.0,4.0,0.5
2250153,2026-04-07,2026-04,6.0,3.5,3.5,3.5,0.0
2250154,2026-04-07,2026-04,8.5,4.5,4.5,4.5,0.0
2250155,2026-04-07,2026-04,7.5,3.5,4.0,4.0,0.5
2250156,2026-04-07,2026-04,6.5,3.5,3.5,3.5,0.0
2250157,2026-04-07,2026-04,6.5,3.5,3.5,3.5,0.0
2250158,2026-04-07,2026-04,7.5,3.5,4.0,4.0,0.5
2250159,2026-04-07,2026-04,11.0,5.5,6.0,6.0,0.5
2250160,2026-04-07,2026-04,8.5,4.5,4.5,4.5,0.0
2250161,2026-04-07,2026-04,7.5,3.5,4.0,4.0,0.5
2250162,2026-04-08,2026-04,7.0,3.5,4.0,4.0,0.5
2250163,2026-04-08,2026-04,7.0,3.5,4.0,4.0,0.5
2250164,2026-04-08,2026-04,7.0,3.5,4.0,4.0,0.5
2250165,2026-04-08,2026-04,7.5,3.5,4.0,4.0,0.5
2250166,2026-04-08,2026-04,7.5,3.5,4.0,4.0,0.5
2250167,2026-04-08,2026-04,7.5,3.5,4.0,4.0,0.5
2250168,2026-04-08,2026-04,11.0,6.5,6.0,6.0,-0.5
2250169,2026-04-08,2026-04,8.5,4.5,4.5,4.5,0.0
2250170,2026-04-08,2026-04,8.5,4.5,4.5,4.5,0.0
2250171,2026-04-08,2026-04,8.5,4.5,4.5,4.5,0.0
2250172,2026-04-08,2026-04,8.0,4.5,4.5,4.5,0.0
2250173,2026-04-08,2026-04,8.0,4.5,4.5,4.5,0.0
2250174,2026-04-08,2026-04,8.0,4.5,4.5,4.5,0.0
2250175,2026-04-08,2026-04,8.0,4.5,4.5,4.5,0.0
2250176,2026-04-09,2026-04,8.5,4.5,4.5,4.5,0.0
2250177,2026-04-09,2026-04,8.0,4.5,4.5,4.5,0.0
2250178,2026-04-09,2026-04,8.0,4.5,4.5,4.5,0.0
2250179,2026-04-09,2026-04,9.5,4.5,5.5,5.5,1.0
2250180,2026-04-09,2026-04,7.5,4.5,4.0,4.0,-0.5
2250181,2026-04-10,2026-04,6.5,3.5,3.5,3.5,0.0
2250182,2026-04-10,2026-04,8.5,4.5,4.5,4.5,0.0
2250183,2026-04-10,2026-04,8.5,4.5,4.5,4.5,0.0
2250184,2026-04-10,2026-04,9.0,4.5,5.0,5.0,0.5
2250185,2026-04-10,2026-04,8.0,4.5,4.5,4.5,0.0
2250186,2026-04-10,2026-04,8.0,4.5,4.5,4.5,0.0
2250187,2026-04-10,2026-04,8.5,4.5,4.5,4.5,0.0
2250188,2026-04-10,2026-04,8.5,4.5,4.5,4.5,0.0
2250189,2026-04-10,2026-04,7.5,4.5,4.0,4.0,-0.5
2250190,2026-04-10,2026-04,8.5,4.5,4.5,4.5,0.0
2250191,2026-04-10,2026-04,7.0,3.5,4.0,4.0,0.5
2250192,2026-04-10,2026-04,8.0,4.5,4.5,4.5,0.0
2250193,2026-04-10,2026-04,8.0,6.5,4.5,4.5,-2.0
2250194,2026-04-10,2026-04,8.5,4.5,4.5,4.5,0.0
2250195,2026-04-11,2026-04,7.0,3.5,4.0,4.0,0.5
2250196,2026-04-11,2026-04,6.5,3.5,3.5,3.5,0.0
2250197,2026-04-11,2026-04,8.0,4.5,4.5,4.5,0.0
2250198,2026-04-11,2026-04,9.0,4.5,5.0,5.0,0.5
2250199,2026-04-11,2026-04,7.5,7.5,4.0,4.0,-3.5
2250200,2026-04-11,2026-04,9.0,4.5,5.0,5.0,0.5
2250201,2026-04-11,2026-04,8.0,4.5,4.5,4.5,0.0
2250202,2026-04-11,2026-04,8.0,4.5,4.5,4.5,0.0
2250203,2026-04-11,2026-04,7.5,3.5,4.0,4.0,0.5
2250204,2026-04-11,2026-04,8.0,4.5,4.5,4.5,0.0
2250205,2026-04-11,2026-04,8.0,4.5,4.5,4.5,0.0
2250206,2026-04-11,2026-04,8.5,4.5,4.5,4.5,0.0
2250207,2026-04-11,2026-04,8.0,4.5,4.5,4.5,0.0
2250208,2026-04-11,2026-04,7.5,4.5,4.0,4.0,-0.5
2250209,2026-04-12,2026-04,8.5,4.5,4.5,4.5,0.0
2250210,2026-04-12,2026-04,7.5,4.5,4.0,4.0,-0.5
2250211,2026-04-12,2026-04,8.5,4.5,4.5,4.5,0.0
2250212,2026-04-12,2026-04,7.0,3.5,4.0,4.0,0.5
2250213,2026-04-12,2026-04,6.5,3.5,3.5,3.5,0.0
2250214,2026-04-12,2026-04,7.5,3.5,4.0,4.0,0.5
2250215,2026-04-12,2026-04,9.5,4.5,5.5,5.5,1.0
2250216,2026-04-12,2026-04,8.0,4.5,4.5,4.5,0.0
2250217,2026-04-12,2026-04,9.0,4.5,5.0,5.0,0.5
2250218,2026-04-12,2026-04,12.0,6.5,6.5,6.5,0.0
2250219,2026-04-12,2026-04,7.5,4.5,4.0,4.0,-0.5
2250220,2026-04-12,2026-04,7.5,4.5,4.0,4.0,-0.5
2250221,2026-04-12,2026-04,8.5,4.5,4.5,4.5,0.0
2250222,2026-04-12,2026-04,7.0,3.5,4.0,4.0,0.5
2250223,2026-04-13,2026-04,8.0,4.5,4.5,4.5,0.0
2250224,2026-04-13,2026-04,7.5,3.5,4.0,4.0,0.5
2250225,2026-04-13,2026-04,8.5,4.5,4.5,4.5,0.0
2250226,2026-04-13,2026-04,9.5,4.5,5.5,5.5,1.0
2250227,2026-04-13,2026-04,8.0,3.5,4.5,4.5,1.0
2250228,2026-04-13,2026-04,7.5,3.5,4.0,4.0,0.5
2250229,2026-04-13,2026-04,8.0,4.5,4.5,4.5,0.0
2250230,2026-04-13,2026-04,8.5,4.5,4.5,4.5,0.0
2250231,2026-04-13,2026-04,8.5,4.5,4.5,4.5,0.0
2250232,2026-04-14,2026-04,8.0,3.5,4.5,4.5,1.0
2250233,2026-04-14,2026-04,9.5,5.5,5.5,5.5,0.0
2250234,2026-04-14,2026-04,9.0,5.5,5.0,5.0,-0.5
2250235,2026-04-14,2026-04,10.0,5.5,5.5,5.5,0.0
2250236,2026-04-14,2026-04,9.5,5.5,5.5,5.5,0.0
2250237,2026-04-14,2026-04,8.5,4.5,4.5,4.5,0.0
2250238,2026-04-14,2026-04,8.0,4.5,4.5,4.5,0.0
2250239,2026-04-14,2026-04,8.0,3.5,4.5,4.5,1.0
2250240,2026-04-14,2026-04,7.0,3.5,4.0,4.0,0.5
2250241,2026-04-14,2026-04,9.0,4.5,5.0,5.0,0.5
2250242,2026-04-14,2026-04,8.5,4.5,4.5,4.5,0.0
2250243,2026-04-14,2026-04,7.0,3.5,4.0,4.0,0.5
2250244,2026-04-14,2026-04,9.0,4.5,5.0,5.0,0.5
2250245,2026-04-14,2026-04,7.5,3.5,4.0,4.0,0.5
2250246,2026-04-15,2026-04,9.0,4.5,5.0,5.0,0.5
2250247,2026-04-15,2026-04,8.0,4.5,4.5,4.5,0.0
2250248,2026-04-15,2026-04,8.5,4.5,4.5,4.5,0.0
2250249,2026-04-15,2026-04,9.5,3.5,5.5,5.5,2.0
2250250,2026-04-15,2026-04,9.0,10.5,5.0,5.0,-5.5
2250251,2026-04-15,2026-04,9.0,4.5,5.0,5.0,0.5
2250252,2026-04-15,2026-04,10.5,6.5,6.0,6.0,-0.5
2250253,2026-04-15,2026-04,9.0,4.5,5.0,5.0,0.5
2250254,2026-04-15,2026-04,8.5,4.5,4.5,4.5,0.0
2250255,2026-04-15,2026-04,7.5,4.5,4.0,4.0,-0.5
2250256,2026-04-15,2026-04,8.5,4.5,4.5,4.5,0.0
2250257,2026-04-15,2026-04,8.0,4.5,4.5,4.5,0.0
2250258,2026-04-15,2026-04,10.0,5.5,5.5,5.5,0.0
2250259,2026-04-15,2026-04,7.5,4.5,4.5,4.0,0.0
2250260,2026-04-16,2026-04,8.5,4.5,4.5,4.5,0.0
2250261,2026-04-16,2026-04,8.0,4.5,4.5,4.5,0.0
2250262,2026-04-16,2026-04,8.5,4.5,4.5,4.5,0.0
2250263,2026-04-16,2026-04,10.0,5.5,5.5,5.5,0.0
2250264,2026-04-16,2026-04,8.5,4.5,4.5,4.5,0.0
2250265,2026-04-16,2026-04,8.5,4.5,4.5,4.5,0.0
2250266,2026-04-16,2026-04,8.5,4.5,4.5,4.5,0.0
2250267,2026-04-16,2026-04,8.0,2.5,4.5,4.5,2.0
2250268,2026-04-16,2026-04,8.5,4.5,4.5,4.5,0.0
2250269,2026-04-16,2026-04,8.5,4.5,4.5,4.5,0.0
2250270,2026-04-17,2026-04,10.0,5.5,5.5,5.5,0.0
2250271,2026-04-17,2026-04,8.0,4.5,4.5,4.5,0.0
2250272,2026-04-17,2026-04,9.5,5.5,5.5,5.5,0.0
2250273,2026-04-17,2026-04,8.5,4.5,4.5,4.5,0.0
2250274,2026-04-17,2026-04,8.5,4.5,4.5,4.5,0.0
2250275,2026-04-17,2026-04,8.0,4.5,4.5,4.5,0.0
2250276,2026-04-17,2026-04,8.0,4.5,4.5,4.5,0.0
2250277,2026-04-17,2026-04,7.5,4.5,4.0,4.0,-0.5
2250278,2026-04-17,2026-04,9.0,4.5,5.0,5.0,0.5
2250279,2026-04-17,2026-04,8.5,4.5,4.5,4.5,0.0
2250280,2026-04-17,2026-04,9.5,4.5,5.5,5.5,1.0
2250281,2026-04-17,2026-04,8.0,4.5,4.5,4.5,0.0
2250282,2026-04-17,2026-04,6.5,3.5,3.5,3.5,0.0
2250283,2026-04-17,2026-04,9.0,5.5,5.0,5.0,-0.5
2250298,2026-04-19,2026-04,7.0,3.5,4.0,4.0,0.5
2250299,2026-04-19,2026-04,8.5,4.5,4.5,4.5,0.0
2250300,2026-04-19,2026-04,8.0,4.5,4.5,4.5,0.0
2250301,2026-04-19,2026-04,8.0,4.5,4.5,4.5,0.0
2250302,2026-04-19,2026-04,6.5,3.5,3.5,3.5,0.0
2250303,2026-04-19,2026-04,7.5,3.5,4.0,4.0,0.5
2250304,2026-04-19,2026-04,9.0,4.5,5.0,5.0,0.5
2250305,2026-04-19,2026-04,8.0,4.5,4.5,4.5,0.0
2250306,2026-04-19,2026-04,8.0,4.5,4.5,4.5,0.0
2250307,2026-04-19,2026-04,11.5,6.5,6.5,6.5,0.0
2250308,2026-04-19,2026-04,9.5,4.5,5.5,5.5,1.0
2250309,2026-04-19,2026-04,9.0,4.5,5.0,5.0,0.5
2250310,2026-04-19,2026-04,7.5,3.5,4.0,4.0,0.5
2250311,2026-04-19,2026-04,8.0,4.5,4.5,4.5,0.0
2250312,2026-04-20,2026-04,8.0,4.5,4.5,4.5,0.0
2250313,2026-04-20,2026-04,7.5,4.5,4.5,4.0,0.0
2250314,2026-04-20,2026-04,8.0,5.5,4.0,4.5,-1.5
2250315,2026-04-20,2026-04,8.5,4.5,4.5,4.5,0.0
2250316,2026-04-20,2026-04,8.0,3.5,4.5,4.5,1.0
2250317,2026-04-20,2026-04,9.0,4.5,4.5,5.0,0.0
2250318,2026-04-20,2026-04,7.5,4.5,4.5,4.0,0.0
2250319,2026-04-20,2026-04,12.0,6.5,6.5,6.5,0.0
2250320,2026-04-20,2026-04,7.5,3.5,4.0,4.0,0.5
2250321,2026-04-20,2026-04,8.0,4.5,4.5,4.5,0.0
2250336,2026-04-22,2026-04,8.0,4.5,4.5,4.5,0.0
2250337,2026-04-22,2026-04,8.0,4.5,4.5,4.5,0.0
2250338,2026-04-22,2026-04,8.5,4.5,4.5,4.5,0.0
2250339,2026-04-22,2026-04,9.5,5.5,5.5,5.5,0.0
2250340,2026-04-22,2026-04,8.5,3.5,4.5,4.5,1.0
2250341,2026-04-22,2026-04,7.5,4.5,4.0,4.0,-0.5
2250342,2026-04-22,2026-04,8.0,4.5,4.5,4.5,0.0
2250343,2026-04-22,2026-04,9.0,4.5,5.0,5.0,0.5
2250344,2026-04-22,2026-04,7.5,3.5,4.5,4.0,1.0
2250345,2026-04-22,2026-04,7.5,4.5,4.0,4.0,-0.5
2250346,2026-04-22,2026-04,7.5,4.5,4.5,4.0,0.0
2250347,2026-04-22,2026-04,7.5,4.5,4.0,4.0,-0.5
2250348,2026-04-22,2026-04,12.0,6.5,6.5,6.5,0.0
2250349,2026-04-22,2026-04,8.0,4.5,4.5,4.5,0.0
2250358,2026-04-24,2026-04,9.0,5.5,4.5,5.0,-1.0
2250359,2026-04-24,2026-04,8.5,4.5,4.5,4.5,0.0
2250360,2026-04-24,2026-04,8.0,9.5,4.5,4.5,-5.0
2250361,2026-04-24,2026-04,7.5,2.5,4.0,4.0,1.5
2250362,2026-04-24,2026-04,7.5,3.5,4.0,4.0,0.5
2250363,2026-04-24,2026-04,9.0,5.5,5.0,5.0,-0.5
2250364,2026-04-24,2026-04,8.5,3.5,4.5,4.5,1.0
2250365,2026-04-24,2026-04,9.5,4.5,5.0,5.5,0.5
2250366,2026-04-24,2026-04,7.0,3.5,4.0,4.0,0.5
2250367,2026-04-24,2026-04,8.0,4.5,4.5,4.5,0.0
2250368,2026-04-24,2026-04,9.0,4.5,5.0,5.0,0.5
2250369,2026-04-24,2026-04,8.0,4.5,4.5,4.5,0.0
2250370,2026-04-24,2026-04,9.0,4.5,5.0,5.0,0.5
2250371,2026-04-24,2026-04,7.5,4.5,4.0,4.0,-0.5
2250386,2026-04-26,2026-04,7.5,3.5,4.0,4.0,0.5
2250387,2026-04-26,2026-04,8.0,4.5,4.5,4.5,0.0
2250388,2026-04-26,2026-04,8.0,4.5,4.5,4.5,0.0
2250389,2026-04-26,2026-04,9.0,4.5,5.0,5.0,0.5
2250390,2026-04-26,2026-04,7.0,4.5,4.0,4.0,-0.5
2250391,2026-04-26,2026-04,8.5,4.5,4.5,4.5,0.0
2250392,2026-04-26,2026-04,7.5,4.5,4.0,4.0,-0.5
2250393,2026-04-26,2026-04,9.5,5.5,5.5,5.5,0.0
2250394,2026-04-26,2026-04,7.5,4.5,4.0,4.0,-0.5
2250395,2026-04-26,2026-04,8.5,4.5,4.5,4.5,0.0
2250396,2026-04-26,2026-04,8.5,4.5,4.5,4.5,0.0
2250397,2026-04-26,2026-04,7.5,3.5,4.0,4.0,0.5
2250398,2026-04-26,2026-04,9.0,4.5,5.0,5.0,0.5
2250399,2026-04-26,2026-04,8.5,4.5,4.5,4.5,0.0
2250408,2026-04-28,2026-04,7.5,0.5,4.0,4.0,3.5
2250409,2026-04-28,2026-04,9.0,4.5,5.0,5.0,0.5
2250410,2026-04-28,2026-04,8.5,5.5,5.0,4.5,-0.5
2250411,2026-04-28,2026-04,8.5,4.5,4.5,4.5,0.0
2250412,2026-04-28,2026-04,8.0,1.5,4.5,4.5,3.0
2250413,2026-04-28,2026-04,7.5,4.5,4.0,4.0,-0.5
2250414,2026-04-28,2026-04,8.0,4.5,4.5,4.5,0.0
2250415,2026-04-28,2026-04,8.5,4.5,4.5,4.5,0.0
2250416,2026-04-28,2026-04,7.5,3.5,4.0,4.0,0.5
2250417,2026-04-28,2026-04,7.5,3.5,4.0,4.0,0.5
2250418,2026-04-28,2026-04,7.0,3.5,4.0,4.0,0.5
2250419,2026-04-28,2026-04,9.5,4.5,5.5,5.5,1.0
2250420,2026-04-28,2026-04,8.5,4.5,4.5,4.5,0.0
2250421,2026-04-28,2026-04,7.5,4.5,4.0,4.0,-0.5
2250436,2026-04-30,2026-04,8.5,4.5,4.5,4.5,0.0
2250437,2026-04-30,2026-04,9.0,4.5,5.5,5.0,1.0
2250438,2026-04-30,2026-04,7.0,3.5,4.0,4.0,0.5
2250439,2026-04-30,2026-04,9.0,4.5,5.0,5.0,0.5
2250440,2026-04-30,2026-04,7.0,3.5,4.5,4.0,1.0
2250441,2026-04-30,2026-04,8.0,4.5,4.0,4.5,-0.5
2250442,2026-04-30,2026-04,9.0,7.5,5.5,5.0,-2.0
2250443,2026-04-30,2026-04,8.0,4.5,4.5,4.5,0.0
2250444,2026-05-01,2026-05,8.0,4.5,4.5,4.5,0.0
2250445,2026-05-01,2026-05,8.0,4.5,4.5,4.5,0.0
2250446,2026-05-01,2026-05,8.0,2.5,4.5,4.5,2.0
2250447,2026-05-01,2026-05,8.5,4.5,4.5,4.5,0.0
2250448,2026-05-01,2026-05,9.0,3.5,5.0,5.0,1.5
2250449,2026-05-01,2026-05,7.5,4.5,4.0,4.0,-0.5
2250450,2026-05-01,2026-05,7.5,4.5,4.5,4.0,0.0
2250451,2026-05-01,2026-05,8.5,4.5,4.5,4.5,0.0
2250452,2026-05-01,2026-05,8.5,4.5,4.5,4.5,0.0
2250453,2026-05-01,2026-05,10.5,5.5,6.0,6.0,0.5
2250454,2026-05-01,2026-05,9.0,4.5,5.0,5.0,0.5
2250455,2026-05-01,2026-05,9.5,5.5,5.5,5.5,0.0
2250456,2026-05-01,2026-05,8.0,4.5,4.5,4.5,0.0
2250457,2026-05-01,2026-05,7.0,3.5,4.0,4.0,0.5
2250472,2026-05-03,2026-05,8.0,4.5,4.5,4.5,0.0
2250473,2026-05-03,2026-05,9.0,4.5,4.5,5.0,0.0
2250474,2026-05-03,2026-05,7.5,3.5,4.0,4.0,0.5
2250475,2026-05-03,2026-05,9.0,4.5,5.0,5.0,0.5
2250476,2026-05-03,2026-05,8.5,4.5,4.5,4.5,0.0
2250477,2026-05-03,2026-05,8.0,4.5,4.5,4.5,0.0
2250478,2026-05-03,2026-05,8.0,4.5,4.5,4.5,0.0
2250479,2026-05-03,2026-05,9.5,5.5,5.5,5.5,0.0
2250480,2026-05-03,2026-05,9.5,5.5,6.0,5.5,0.5
2250481,2026-05-03,2026-05,9.5,5.5,5.5,5.5,0.0
2250482,2026-05-03,2026-05,9.0,4.5,5.0,5.0,0.5
2250483,2026-05-03,2026-05,8.0,4.5,4.5,4.5,0.0
