gameId,gameDate,calib_month,T_f5,league_env_mult,f5_total_sd,stored_pF5AwayMl,recomputed_pF5AwayMl,absdiff_pF5AwayMl,MISMATCH_pF5AwayMl,stored_projF5Total,recomputed_projF5Total,absdiff_projF5Total,MISMATCH_projF5Total,stored_pF5Over,recomputed_pF5Over,absdiff_pF5Over,MISMATCH_pF5Over,stored_pF5AwayRl,recomputed_pF5AwayRl,absdiff_pF5AwayRl,MISMATCH_pF5AwayRl
2250039,2026-03-29,2026-03,1.0,1.0,2.9,0.4059,0.4059,0.0,0,4.967,4.967,0.0,0,0.4938,0.4938,0.0,0,0.5594,0.5594,0.0,0
2250040,2026-03-29,2026-03,1.0,1.0,2.9,0.4,0.4,0.0,0,4.758,4.758,0.0,0,0.4674,0.4674,0.0,0,0.5579,0.5579,0.0,0
2250041,2026-03-29,2026-03,1.0,1.0,2.9,0.4058,0.4058,0.0,0,4.463,4.463,0.0,0,0.3709,0.3709,0.0,0,0.5708,0.5708,0.0,0
2250042,2026-03-29,2026-03,1.0,1.0,2.9,0.4422,0.4422,0.0,0,4.508,4.508,0.0,0,0.4347,0.4347,0.0,0,0.6054,0.6054,0.0,0
2250043,2026-03-29,2026-03,1.0,1.0,2.9,0.3745,0.3745,0.0,0,4.423,4.423,0.0,0,0.4916,0.4916,0.0,0,0.541,0.541,0.0,0
2250044,2026-03-29,2026-03,1.0,1.0,2.9,0.4803,0.4803,0.0,0,4.781,4.781,0.0,0,0.4699,0.4699,0.0,0,0.6365,0.6365,0.0,0
2250045,2026-03-29,2026-03,1.0,1.0,2.9,0.3529,0.3529,0.0,0,5.165,5.165,0.0,0,0.4582,0.4582,0.0,0,0.5024,0.5024,0.0,0
2250046,2026-03-29,2026-03,1.0,1.0,2.9,0.3962,0.3962,0.0,0,4.241,4.241,0.0,0,0.4676,0.4676,0.0,0,0.5666,0.5666,0.0,0
2250047,2026-03-29,2026-03,1.0,1.0,2.9,0.4621,0.4621,0.0,0,4.298,4.298,0.0,0,0.4749,0.4749,0.0,0,0.6302,0.6302,0.0,0
2250048,2026-03-29,2026-03,1.0,1.0,2.9,0.3696,0.3696,0.0,0,4.69,4.69,0.0,0,0.3991,0.3991,0.0,0,0.5285,0.5285,0.0,0
2250049,2026-03-29,2026-03,1.0,1.0,2.9,0.4272,0.4272,0.0,0,4.077,4.077,0.0,0,0.445,0.445,0.0,0,0.6026,0.6026,0.0,0
2250050,2026-03-30,2026-03,1.0,1.0,2.9,0.3869,0.3869,0.0,0,4.475,4.475,0.0,0,0.3149,0.3149,0.0,0,0.5516,0.5516,0.0,0
2250051,2026-03-30,2026-03,1.0,1.0,2.9,0.4261,0.4261,0.0,0,4.909,4.909,0.0,0,0.4266,0.4266,0.0,0,0.5799,0.5799,0.0,0
2250052,2026-03-30,2026-03,1.0,1.0,2.9,0.4411,0.4411,0.0,0,4.532,4.532,0.0,0,0.4389,0.4389,0.0,0,0.6036,0.6036,0.0,0
2250053,2026-03-30,2026-03,1.0,1.0,2.9,0.4227,0.4227,0.0,0,5.063,5.063,0.0,0,0.4456,0.4456,0.0,0,0.5744,0.5744,0.0,0
2250054,2026-03-30,2026-03,1.0,1.0,2.9,0.4249,0.4249,0.0,0,4.423,4.423,0.0,0,0.4237,0.4237,0.0,0,0.5903,0.5903,0.0,0
2250055,2026-03-30,2026-03,1.0,1.0,2.9,0.418,0.418,0.0,0,5.16,5.16,0.0,0,0.5164,0.5164,0.0,0,0.5684,0.5684,0.0,0
2250056,2026-03-30,2026-03,1.0,1.0,2.9,0.4368,0.4368,0.0,0,4.708,4.708,0.0,0,0.4019,0.4019,0.0,0,0.5966,0.5966,0.0,0
2250057,2026-03-30,2026-03,1.0,1.0,2.9,0.3303,0.3303,0.0,0,5.394,5.394,0.0,0,0.4251,0.4251,0.0,0,0.4736,0.4736,0.0,0
2250058,2026-03-30,2026-03,1.0,1.0,2.9,0.4011,0.4011,0.0,0,4.46,4.46,0.0,0,0.4283,0.4283,0.0,0,0.5655,0.5655,0.0,0
2250059,2026-03-30,2026-03,1.0,1.0,2.9,0.4126,0.4126,0.0,0,4.206,4.206,0.0,0,0.3389,0.3389,0.0,0,0.5838,0.5838,0.0,0
2250060,2026-03-30,2026-03,1.0,1.0,2.9,0.4984,0.4984,0.0,0,5.074,5.074,0.0,0,0.5059,0.5059,0.0,0,0.6482,0.6482,0.0,0
2250061,2026-03-30,2026-03,1.0,1.0,2.9,0.4353,0.4353,0.0,0,4.662,4.662,0.0,0,0.455,0.455,0.0,0,0.5949,0.5949,0.0,0
2250062,2026-03-30,2026-03,1.0,1.0,2.9,0.426,0.426,0.0,0,3.933,3.933,0.0,0,0.4251,0.4251,0.0,0,0.604,0.604,0.0,0
2250063,2026-03-30,2026-03,1.0,1.0,2.9,0.4192,0.4192,0.0,0,4.824,4.824,0.0,0,0.4165,0.4165,0.0,0,0.5753,0.5753,0.0,0
2250064,2026-03-31,2026-03,1.0,1.0,2.9,0.4924,0.4924,0.0,0,5.006,5.006,0.0,0,0.4982,0.4982,0.0,0,0.6434,0.6434,0.0,0
2250065,2026-03-31,2026-03,1.0,1.0,2.9,0.4452,0.4452,0.0,0,4.219,4.219,0.0,0,0.3398,0.3398,0.0,0,0.6156,0.6156,0.0,0
2250066,2026-03-31,2026-03,1.0,1.0,2.9,0.4019,0.4019,0.0,0,5.017,5.017,0.0,0,0.3805,0.3805,0.0,0,0.5537,0.5537,0.0,0
2250067,2026-03-31,2026-03,1.0,1.0,2.9,0.3775,0.3775,0.0,0,4.393,4.393,0.0,0,0.4199,0.4199,0.0,0,0.5442,0.5442,0.0,0
2250068,2026-03-31,2026-03,1.0,1.0,2.9,0.4326,0.4326,0.0,0,5.303,5.303,0.0,0,0.5342,0.5342,0.0,0,0.58,0.58,0.0,0
2250069,2026-03-31,2026-03,1.0,1.0,2.9,0.3655,0.3655,0.0,0,4.607,4.607,0.0,0,0.3885,0.3885,0.0,0,0.5262,0.5262,0.0,0
2250070,2026-03-31,2026-03,1.0,1.0,2.9,0.3891,0.3891,0.0,0,4.465,4.465,0.0,0,0.4969,0.4969,0.0,0,0.5537,0.5537,0.0,0
2250071,2026-03-31,2026-03,1.0,1.0,2.9,0.3839,0.3839,0.0,0,4.159,4.159,0.0,0,0.4564,0.4564,0.0,0,0.5577,0.5577,0.0,0
2250072,2026-03-31,2026-03,1.0,1.0,2.9,0.4587,0.4587,0.0,0,4.529,4.529,0.0,0,0.4371,0.4371,0.0,0,0.6212,0.6212,0.0,0
2250073,2026-03-31,2026-03,1.0,1.0,2.9,0.3866,0.3866,0.0,0,4.399,4.399,0.0,0,0.4886,0.4886,0.0,0,0.5542,0.5542,0.0,0
2250074,2026-03-31,2026-03,1.0,1.0,2.9,0.4898,0.4898,0.0,0,4.626,4.626,0.0,0,0.517,0.517,0.0,0,0.6491,0.6491,0.0,0
2250075,2026-03-31,2026-03,1.0,1.0,2.9,0.4371,0.4371,0.0,0,3.66,3.66,0.0,0,0.3858,0.3858,0.0,0,0.6245,0.6245,0.0,0
2250076,2026-03-31,2026-03,1.0,1.0,2.9,0.3641,0.3641,0.0,0,4.606,4.606,0.0,0,0.4469,0.4469,0.0,0,0.5254,0.5254,0.0,0
2250077,2026-04-01,2026-04,1.0,1.0,2.9,0.3641,0.3641,0.0,0,4.492,4.492,0.0,0,0.5007,0.5007,0.0,0,0.5284,0.5284,0.0,0
2250078,2026-04-01,2026-04,1.0,1.0,2.9,0.4179,0.4179,0.0,0,4.101,4.101,0.0,0,0.3808,0.3808,0.0,0,0.592,0.592,0.0,0
2250079,2026-04-01,2026-04,1.0,1.0,2.9,0.4311,0.4311,0.0,0,4.014,4.014,0.0,0,0.4365,0.4365,0.0,0,0.6087,0.6087,0.0,0
2250080,2026-04-01,2026-04,1.0,1.0,2.9,0.3526,0.3526,0.0,0,5.026,5.026,0.0,0,0.5003,0.5003,0.0,0,0.5035,0.5035,0.0,0
2250081,2026-04-01,2026-04,1.0,1.0,2.9,0.3975,0.3975,0.0,0,4.696,4.696,0.0,0,0.5266,0.5266,0.0,0,0.5572,0.5572,0.0,0
2250082,2026-04-01,2026-04,1.0,1.0,2.9,0.4262,0.4262,0.0,0,4.238,4.238,0.0,0,0.4671,0.4671,0.0,0,0.5968,0.5968,0.0,0
2250083,2026-04-01,2026-04,1.0,1.0,2.9,0.4573,0.4573,0.0,0,4.151,4.151,0.0,0,0.4552,0.4552,0.0,0,0.6296,0.6296,0.0,0
2250084,2026-04-01,2026-04,1.0,1.0,2.9,0.433,0.433,0.0,0,4.28,4.28,0.0,0,0.4729,0.4729,0.0,0,0.6018,0.6018,0.0,0
2250085,2026-04-01,2026-04,1.0,1.0,2.9,0.4522,0.4522,0.0,0,4.381,4.381,0.0,0,0.4865,0.4865,0.0,0,0.6194,0.6194,0.0,0
2250086,2026-04-01,2026-04,1.0,1.0,2.9,0.3715,0.3715,0.0,0,4.575,4.575,0.0,0,0.5781,0.5781,0.0,0,0.5333,0.5333,0.0,0
2250087,2026-04-01,2026-04,1.0,1.0,2.9,0.386,0.386,0.0,0,3.923,3.923,0.0,0,0.3552,0.3552,0.0,0,0.5661,0.5661,0.0,0
