decile,n,p_lo,p_hi,mean_pred,actual_cover,gap
1,156,0.4188,0.5165,0.4926,0.4551,0.0374
2,156,0.5166,0.5399,0.5292,0.4487,0.0804
3,156,0.5402,0.5566,0.5493,0.5385,0.0109
4,156,0.5567,0.5707,0.5638,0.5577,0.0061
5,156,0.5708,0.581,0.5761,0.5321,0.044
6,155,0.5811,0.5923,0.5866,0.5871,-0.0005
7,155,0.5924,0.606,0.5993,0.5548,0.0445
8,155,0.6064,0.6236,0.6149,0.6387,-0.0238
9,155,0.6236,0.6434,0.6324,0.6258,0.0066
10,155,0.6438,0.7595,0.6644,0.6,0.0644
