gameId,gameDate,away,home,f5Total,bookTotal,f5AwayRunLine,f5HomeRunLine,issues
2250748,2026-05-24,ATH,SD,4.5,7.5,-2.5,-0.5,rl_not_mirrored(-2.5/-0.5)
2250749,2026-05-24,WSH,ATL,1.5,8.0,0.5,-0.5,f5Total/bookTotal=0.19
2250756,2026-05-25,WSH,CLE,4.5,8.5,0.5,5.5,rl_not_mirrored(0.5/5.5)
2250758,2026-05-25,PHI,SD,1.5,7.0,-0.5,0.5,f5Total/bookTotal=0.21
2250759,2026-05-25,HOU,TEX,2.5,8.0,-0.5,0.5,f5Total/bookTotal=0.31
2250760,2026-05-25,MIA,TOR,4.5,7.5,0.5,0.5,rl_not_mirrored(0.5/0.5)
2250761,2026-05-25,COL,LAD,4.5,8.5,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250777,2026-05-27,MIA,TOR,3.5,7.5,0.5,0.5,rl_not_mirrored(0.5/0.5)
2250779,2026-05-27,STL,MIL,1.5,8.0,0.5,-0.5,f5Total/bookTotal=0.19
2250780,2026-05-27,SEA,ATH,4.5,9.0,-2.5,0.5,rl_not_mirrored(-2.5/0.5)
2250790,2026-05-27,COL,LAD,4.5,8.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2250837,2026-05-31,PHI,LAD,4.5,9.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2251323,2026-07-10,KC,BAL,5.5,10.5,2.5,-0.5,rl_not_mirrored(2.5/-0.5)
2251328,2026-07-10,ATH,CWS,4.5,8.5,0.5,-1.5,rl_not_mirrored(0.5/-1.5)
2251343,2026-07-11,KC,BAL,4.5,9.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2251344,2026-07-11,HOU,TEX,8.5,9.0,-5.5,-0.5,f5Total/bookTotal=0.94;rl_not_mirrored(-5.5/-0.5)
2251345,2026-07-11,CHC,CIN,3.5,9.5,1.5,-1.5,f5Total/bookTotal=0.37;abs(f5RL)==abs(fgRL)
2251362,2026-07-16,NYM,PHI,1.5,9.5,-0.5,0.5,f5Total/bookTotal=0.16
2251363,2026-07-17,LAD,NYY,2.5,9.0,0.5,-0.5,f5Total/bookTotal=0.28
2251364,2026-07-17,CWS,TOR,8.5,8.5,0.5,4.5,f5Total/bookTotal=1.00;rl_not_mirrored(0.5/4.5)
2251366,2026-07-17,TB,BOS,4.5,9.0,0.5,-1.5,rl_not_mirrored(0.5/-1.5)
2251403,2026-07-19,LAD,NYY,3.5,9.0,1.5,0.5,f5Total/bookTotal=0.39;rl_not_mirrored(1.5/0.5);abs(f5RL)==abs(fgRL)
2251404,2026-07-20,MIN,CLE,10.5,7.5,-0.5,-6.5,f5Total/bookTotal=1.40;rl_not_mirrored(-0.5/-6.5)
2251405,2026-07-20,PIT,NYY,11.5,8.0,0.5,-0.5,f5Total/bookTotal=1.44
2251406,2026-07-20,TB,TOR,3.5,7.5,-1.5,-0.5,rl_not_mirrored(-1.5/-0.5);abs(f5RL)==abs(fgRL)
2251410,2026-07-20,SF,KC,3.5,10.0,0.5,-0.5,f5Total/bookTotal=0.35
2251420,2026-07-22,PIT,NYY,5.5,9.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2251423,2026-07-21,SD,ATL,5.5,9.0,1.5,-1.5,abs(f5RL)==abs(fgRL)
2251424,2026-07-21,SF,KC,3.5,9.0,0.5,-0.5,f5Total/bookTotal=0.39
2251438,2026-07-22,MIN,CLE,10.5,8.0,0.5,3.5,f5Total/bookTotal=1.31;rl_not_mirrored(0.5/3.5)
