rgId,gameId,gameDate,market,source,modelVersion,pick,prob,projValue,line,actual,stored_result,stored_correct,stored_brier,stored_signedError,f5_actual,issues,status
368,2250056,2026-03-30,f5_ml,live_pregame,live,HOME,0.4309,,-100,HOME,WIN,1,0.185675,,0-3,,ok
375,2250057,2026-03-30,f5_ml,live_pregame,live,HOME,0.396,,+146,HOME,WIN,1,0.156816,,0-6,,ok
382,2250058,2026-03-30,f5_ml,live_pregame,live,HOME,0.4004,,+122,AWAY,LOSS,0,0.35952,,1-0,,ok
389,2250059,2026-03-30,f5_ml,live_pregame,live,HOME,0.4386,,-148,AWAY,LOSS,0,0.31517,,2-1,,ok
396,2250060,2026-03-30,f5_ml,live_pregame,live,HOME,0.492,,-132,HOME,WIN,1,0.242064,,0-4,,ok
403,2250061,2026-03-30,f5_ml,live_pregame,live,HOME,0.4016,,-128,AWAY,LOSS,0,0.358083,,3-0,,ok
410,2250062,2026-03-30,f5_ml,live_pregame,live,HOME,0.397,,-116,HOME,WIN,1,0.157609,,0-1,,ok
417,2250063,2026-03-30,f5_ml,live_pregame,live,HOME,0.3766,,+120,AWAY,LOSS,0,0.388628,,1-0,,ok
431,2250064,2026-03-31,f5_ml,live_pregame,live,AWAY,0.5262,,-150,TIE,PUSH,,,,3-3,,ok
438,2250065,2026-03-31,f5_ml,live_pregame,live,HOME,0.434,,-130,AWAY,LOSS,0,0.320356,,6-1,,ok
445,2250066,2026-03-31,f5_ml,live_pregame,live,HOME,0.3598,,+138,HOME,WIN,1,0.129456,,0-3,,ok
452,2250067,2026-03-31,f5_ml,live_pregame,live,HOME,0.3558,,+130,HOME,WIN,1,0.126594,,2-4,,ok
459,2250068,2026-03-31,f5_ml,live_pregame,live,HOME,0.4131,,+176,HOME,WIN,1,0.170652,,0-2,,ok
465,2250069,2026-03-31,f5_ml,live_pregame,live,HOME,0.3829,,+116,AWAY,LOSS,0,0.380812,,5-2,,ok
472,2250070,2026-03-31,f5_ml,live_pregame,live,HOME,0.3673,,,TIE,PUSH,,,,0-0,,ok
477,2250071,2026-03-31,f5_ml,live_pregame,live,HOME,0.3802,,,HOME,WIN,1,0.144552,,2-3,,ok
482,2250072,2026-03-31,f5_ml,live_pregame,live,HOME,0.4785,,,HOME,WIN,1,0.228962,,0-2,,ok
487,2250073,2026-03-31,f5_ml,live_pregame,live,HOME,0.4047,,,HOME,WIN,1,0.163782,,1-6,,ok
492,2250074,2026-03-31,f5_ml,live_pregame,live,HOME,0.4744,,,AWAY,LOSS,0,0.276255,,4-3,,ok
497,2250075,2026-03-31,f5_ml,live_pregame,live,HOME,0.4462,,,AWAY,LOSS,0,0.306694,,2-0,,ok
502,2250076,2026-03-31,f5_ml,live_pregame,live,HOME,0.3593,,,HOME,WIN,1,0.129096,,0-1,,ok
512,2250077,2026-04-01,f5_ml,live_pregame,live,HOME,0.3826,,+182,HOME,WIN,1,0.146383,,1-5,,ok
519,2250078,2026-04-01,f5_ml,live_pregame,live,HOME,0.41,,-110,HOME,WIN,1,0.1681,,2-7,,ok
526,2250079,2026-04-01,f5_ml,live_pregame,live,HOME,0.4284,,-172,AWAY,LOSS,0,0.326727,,3-1,,ok
533,2250080,2026-04-01,f5_ml,live_pregame,live,HOME,0.3111,,+210,TIE,PUSH,,,,1-1,,ok
540,2250081,2026-04-01,f5_ml,live_pregame,live,HOME,0.36,,+205,HOME,WIN,1,0.1296,,0-1,,ok
547,2250082,2026-04-01,f5_ml,live_pregame,live,HOME,0.3991,,+116,HOME,WIN,1,0.159281,,0-8,,ok
554,2250083,2026-04-01,f5_ml,live_pregame,live,HOME,0.4715,,-168,TIE,PUSH,,,,0-0,,ok
561,2250084,2026-04-01,f5_ml,live_pregame,live,HOME,0.4216,,+112,TIE,PUSH,,,,2-2,,ok
568,2250085,2026-04-01,f5_ml,live_pregame,live,HOME,0.4437,,-168,HOME,WIN,1,0.19687,,2-5,,ok
575,2250086,2026-04-01,f5_ml,live_pregame,live,HOME,0.3774,,+120,HOME,WIN,1,0.142431,,0-5,,ok
