gameId,gameDate,matchup,mlbGamePk,actualF5Away,actualF5Home,actualF5Total,lsF5,f5AwayRunLine,f5Total,modelF5AwayWinPct,modelF5HomeWinPct,modelF5AwayRLCoverPct,modelF5AwayScore,modelF5HomeScore,modelF5OverRate,stored_f5MlResult,derived_f5MlResult,f5Ml_status,stored_f5MlCorrect,derived_f5MlCorrect,stored_f5RlResult,derived_f5Rl_probConv,derived_f5Rl_marginConv,f5Rl_status,f5Rl_convDisagree,stored_f5RlCorrect,derived_f5RlCorrect_probConv,derived_f5RlCorrect_marginConv,stored_f5TotalResult,derived_f5TotalResult,f5Total_status,stored_f5TotalCorrect,derived_f5TotalCorrect,stored_brierF5Ml,derived_brierF5Ml_away,derived_brierF5Ml_home,brierF5Ml_status,stored_brierF5Total,derived_brierF5Total,brierF5Total_status,f5BacktestRunAt
2250019,2026-03-27,COL@MIA 2026-03-27,823893,1,2,3,1-2,0.5,4.5,39.61,44.07,47.39,2.09,2.26,0.42,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,UNDER,UNDER,match,1,1,0.156895,0.156895,0.312816,match-away-base,0.1764,0.1764,match,1784992359459
2250020,2026-03-27,KC@ATL 2026-03-27,824946,0,4,4,0-4,0.5,3.5,36.72,46.45,44.14,1.88,2.23,0.45,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,0,0,0.134836,0.134836,0.28676,match-away-base,0.3025,0.3025,match,1784992359459
2250021,2026-03-27,LAA@HOU 2026-03-27,824216,5,2,7,5-2,0.5,4.5,39.04,45.18,46.3,2.22,2.47,0.46,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,OVER,OVER,match,0,0,0.371612,0.371612,0.204123,match-away-base,0.2916,0.2916,match,1784992359459
2250022,2026-03-27,DET@SD 2026-03-27,823324,0,1,1,0-1,0.5,3.5,41.64,42.13,49.75,2.21,2.22,0.49,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,UNDER,UNDER,match,1,1,0.173389,0.173389,0.334894,match-away-base,0.2401,0.2401,match,1784992359459
2250023,2026-03-27,CLE@SEA 2026-03-27,823162,1,3,4,1-3,0.5,3.5,40.45,43.01,48.54,2.08,2.18,0.47,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,OVER,OVER,match,0,0,0.16362,0.16362,0.324786,match-away-base,0.2809,0.2809,match,1784992359459
2252293,2026-03-27,ARI@LAD 2026-03-27,823971,4,4,8,4-4,0.5,4.5,36.89,46.1,44.44,1.84,2.17,0.37,PUSH,PUSH,match,,,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,OVER,OVER,match,0,0,,,,both-null,0.3969,0.3969,match,1784992359459
2250024,2026-03-28,TB@STL 2026-03-28,823082,0,2,2,0-2,-0.5,3.5,43.12,41.65,50.98,2.54,2.49,0.57,WIN,WIN,match,1,1,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,0,0,0.185933,0.185933,0.340472,match-away-base,0.3249,0.3249,match,1784992359459
2250025,2026-03-28,WSH@CHC 2026-03-28,824701,2,6,8,2-6,0.5,4.5,34.34,49.69,40.82,1.94,2.53,0.43,WIN,WIN,match,1,1,WIN,WIN,WIN,match-both-conv,0,1,1,1,OVER,OVER,match,0,0,0.117924,0.117924,0.25311,match-away-base,0.3249,0.3249,match,1784992359459
2250026,2026-03-28,ATH@TOR 2026-03-28,822838,0,1,1,0-1,0.5,4.5,41.9,43.17,49.26,2.59,2.65,0.53,WIN,WIN,match,1,1,WIN,WIN,LOSS,match-prob-conv,1,1,1,0,UNDER,UNDER,match,0,0,0.175561,0.175561,0.322965,match-away-base,0.2809,0.2809,match,1784992359459
2250027,2026-03-28,MIN@BAL 2026-03-28,824862,3,1,4,3-1,0.5,4.5,37.07,47.09,44.05,2.09,2.49,0.51,LOSS,LOSS,match,0,0,LOSS,LOSS,WIN,match-prob-conv,1,0,0,1,UNDER,UNDER,match,0,0,0.396018,0.396018,0.221747,match-away-base,0.2601,0.2601,match,1784992359459
