gameId,gamePk,gameDate,month,away,home,series,market,prob,proj_value,proj_exp,line,actual_f5_away,actual_f5_home,actual_value,actual_side,pick,pick_alt,result,correct,correct_alt,brier,brier_abs,logloss,signed_error,signed_error_exp,is_push,graded,has_proj,has_line,has_actual,actual_src,quarantined,line_source_match
2250008,823812,2026-03-26,2026-03,CWS,MIL,wf-19288f01-p2,f5_rl,0.5666,,,0.5,1.0,8.0,HOME,HOME,AWAY,,LOSS,0,,0.32103556,,0.8360941898798784,,,0,1,1,1,1,games,0,
2250008,823812,2026-03-26,2026-03,CWS,MIL,wf-19288f01-p2,f5_total,0.4851,4.371,4.371,4.5,1.0,8.0,9.0,OVER,UNDER,,LOSS,0,,0.26512201,,0.7234002237309662,-4.629,-4.629,0,1,1,1,1,games,0,0
2250009,824704,2026-03-26,2026-03,WSH,CHC,live,f5_ml,0.3492,,,+150,7.0,3.0,AWAY,AWAY,HOME,HOME,LOSS,0,0,0.4235406400000001,0.4235406400000001,1.05211045501669,,,0,1,1,1,1,games,1,
2250009,824704,2026-03-26,2026-03,WSH,CHC,live,f5_rl,0.41490000000000005,,,0.5,7.0,3.0,AWAY,AWAY,HOME,,LOSS,0,,0.3423420099999999,,0.8797177516433147,,,0,1,1,1,1,games,1,
2250009,824704,2026-03-26,2026-03,WSH,CHC,live,f5_total,0.51,4.0,4.58,3.5,7.0,3.0,10.0,OVER,OVER,,WIN,1,,0.24009999999999998,,0.6733445532637656,-6.0,-5.42,0,1,1,1,1,games,1,0
2250009,824704,2026-03-26,2026-03,WSH,CHC,wf-19288f01-p1,f5_ml,0.3728,,,+150,7.0,3.0,AWAY,AWAY,HOME,HOME,LOSS,0,0,0.39337984,0.39337984,0.9867131961707009,,,0,1,1,1,1,games,0,
2250009,824704,2026-03-26,2026-03,WSH,CHC,wf-19288f01-p1,f5_rl,0.5324,,,0.5,7.0,3.0,AWAY,AWAY,AWAY,,WIN,1,,0.21864976000000003,,0.6303601924611805,,,0,1,1,1,1,games,0,
2250009,824704,2026-03-26,2026-03,WSH,CHC,wf-19288f01-p1,f5_total,0.523,4.669,4.669,3.5,7.0,3.0,10.0,OVER,OVER,,WIN,1,,0.22752899999999998,,0.6481738149172142,-5.331,-5.331,0,1,1,1,1,games,0,0
2250009,824704,2026-03-26,2026-03,WSH,CHC,wf-19288f01-p2,f5_ml,0.3728,,,+150,7.0,3.0,AWAY,AWAY,HOME,HOME,LOSS,0,0,0.39337984,0.39337984,0.9867131961707009,,,0,1,1,1,1,games,0,
2250009,824704,2026-03-26,2026-03,WSH,CHC,wf-19288f01-p2,f5_rl,0.5324,,,0.5,7.0,3.0,AWAY,AWAY,AWAY,,WIN,1,,0.21864976000000003,,0.6303601924611805,,,0,1,1,1,1,games,0,
