gameId,gameDate,p1_projF5Total,p1_projTotal,ratio_p1,ratio_p2,ratio_p2_minus_p1,outside_engine_bounds
2250095,2026-04-03,4.406,8.29,0.53148,0.53148,0.0,0
2250096,2026-04-03,4.643,8.62,0.53863,0.53863,0.0,0
2250097,2026-04-03,4.346,8.12,0.53522,0.53522,0.0,0
2250098,2026-04-03,4.272,8.0,0.534,0.534,0.0,0
2250099,2026-04-03,4.023,7.57,0.53144,0.53144,0.0,0
2250100,2026-04-03,4.946,9.23,0.53586,0.53586,0.0,0
2250101,2026-04-03,6.508,11.95,0.5446,0.5446,0.0,0
2250102,2026-04-03,4.647,8.7,0.53414,0.53414,0.0,0
2250103,2026-04-04,4.53,8.4,0.53929,0.53929,0.0,0
2250104,2026-04-03,4.19,7.87,0.5324,0.5324,0.0,0
2250105,2026-04-03,5.742,10.64,0.53966,0.53966,0.0,0
2250106,2026-04-03,3.984,7.49,0.53191,0.53191,0.0,0
2250107,2026-04-04,4.508,8.46,0.53286,0.53286,0.0,0
2250108,2026-04-04,4.21,7.93,0.5309,0.5309,0.0,0
2250109,2026-04-04,5.601,10.24,0.54697,0.54697,0.0,0
2250110,2026-04-04,5.772,10.69,0.53994,0.53994,0.0,0
2250111,2026-04-04,5.097,9.53,0.53484,0.53484,0.0,0
2250112,2026-04-04,4.117,7.74,0.53191,0.53191,0.0,0
2250113,2026-04-04,4.148,7.8,0.53179,0.53179,0.0,0
2250114,2026-04-04,4.336,8.12,0.53399,0.53399,0.0,0
2250115,2026-04-04,4.978,9.23,0.53933,0.53933,0.0,0
2250116,2026-04-04,4.819,8.96,0.53783,0.53783,0.0,0
2250117,2026-04-05,4.084,7.64,0.53455,0.53455,0.0,0
2250118,2026-04-04,5.606,10.36,0.54112,0.54112,0.0,0
2250119,2026-04-04,4.591,8.55,0.53696,0.53696,0.0,0
2250120,2026-04-04,5.219,9.69,0.5386,0.5386,0.0,0
2250121,2026-04-05,5.598,10.3,0.5435,0.5435,0.0,0
2250122,2026-04-05,4.767,8.95,0.53263,0.53263,0.0,0
2250123,2026-04-05,4.466,8.37,0.53357,0.53357,0.0,0
2250124,2026-04-05,3.758,7.11,0.52855,0.52855,0.0,0
2250125,2026-04-05,4.137,7.76,0.53312,0.53312,0.0,0
2250126,2026-04-05,4.809,9.01,0.53374,0.53374,0.0,0
2250127,2026-04-05,4.195,7.91,0.53034,0.53034,0.0,0
2250128,2026-04-05,4.453,8.32,0.53522,0.53522,0.0,0
2250129,2026-04-05,4.079,7.68,0.53112,0.53112,0.0,0
2250130,2026-04-05,6.67,12.24,0.54493,0.54493,0.0,0
2250131,2026-04-05,6.578,12.2,0.53918,0.53918,0.0,0
2250132,2026-04-05,4.601,8.57,0.53687,0.53687,0.0,0
2250133,2026-04-05,4.551,8.53,0.53353,0.53353,0.0,0
2250134,2026-04-05,4.325,8.12,0.53264,0.53264,0.0,0
2250135,2026-04-06,4.628,8.62,0.53689,0.53689,0.0,0
2250136,2026-04-06,4.127,7.81,0.52843,0.52843,0.0,0
2250137,2026-04-06,5.021,9.43,0.53245,0.53245,0.0,0
2250138,2026-04-06,4.272,8.03,0.532,0.532,0.0,0
