gameId,gameDate,month,awayTeam,homeTeam,mlbGamePk,actualAway,actualHome,fg_actual_source,actualF5Away,actualF5Home,f5_actual_source,book_f5Total,book_f5AwayRunLine,book_f5AwayML,book_bookTotal,live_pushPct,live_pushRaw,live_awayWinPct,live_homeWinPct,live_awayRlCoverPct,p1_pF5AwayMl,p1_projF5Total,p1_pF5Over,p1_pF5AwayRl,p1_projTotal,p1_projAwayScore,p1_projHomeScore,p1_pAwayMl,p1_pOver,p2_pF5AwayMl,p2_projF5Total,p2_pF5Over,p2_pF5AwayRl,p2_projTotal,calib_month,calib_seed,calib_league_env_mult,calib_T_f5,calib_f5_total_sd
2250024,2026-03-28,2026-03,TB,STL,823082,5,6,games,0,2,games,3.5,-0.5,-118,7.5,0.1523,0.1534,43.12,41.65,50.98,0.42420,4.266,0.47050,0.59370,8.060,3.870,4.190,0.44060,0.48690,0.42420,4.266,0.47050,0.59370,8.060,2026-03,True,1.0,1.0,2.9
2250025,2026-03-28,2026-03,WSH,CHC,824701,2,10,games,2,6,games,4.5,0.5,+176,8.5,0.1597,0.1657,34.34,49.69,40.82,0.36500,4.403,0.42070,0.53220,8.300,3.590,4.720,0.36740,0.43000,0.36500,4.403,0.42070,0.53220,8.300,2026-03,True,1.0,1.0,2.9
2250026,2026-03-28,2026-03,ATH,TOR,822838,7,8,games,0,1,games,4.5,0.5,+150,8.0,0.1494,0.1485,41.90,43.17,49.26,0.42940,4.649,0.45350,0.59050,8.700,4.230,4.470,0.44810,0.50540,0.42940,4.649,0.45350,0.59050,8.700,2026-03,True,1.0,1.0,2.9
2250027,2026-03-28,2026-03,MIN,BAL,824862,4,1,games,3,1,games,4.5,0.5,+136,7.5,0.1585,0.1637,37.07,47.09,44.05,0.37750,4.589,0.51270,0.53940,8.590,3.790,4.790,0.38110,0.53370,0.37750,4.589,0.51270,0.53940,8.590,2026-03,True,1.0,1.0,2.9
2250028,2026-03-28,2026-03,TEX,PHI,823488,5,4,games,3,0,games,4.5,0.5,+110,7.5,0.1513,0.1517,43.40,41.47,51.22,0.45330,4.817,0.54140,0.60940,8.970,4.520,4.450,0.47630,0.56570,0.45330,4.817,0.54140,0.60940,8.970,2026-03,True,1.0,1.0,2.9
2250029,2026-03-28,2026-03,BOS,CIN,824540,5,6,games,3,5,games,3.5,-0.5,-142,7.5,0.1562,0.1599,39.87,44.50,47.17,0.41610,4.486,0.49990,0.58050,8.380,3.970,4.410,0.42940,0.51620,0.41610,4.486,0.49990,0.58050,8.380,2026-03,True,1.0,1.0,2.9
2250030,2026-03-28,2026-03,PIT,NYM,823651,2,4,games,0,0,games,3.5,0.5,+132,7.5,0.1515,0.1520,41.75,43.10,49.26,0.40090,4.581,0.51280,0.56240,8.600,3.990,4.610,0.41470,0.53510,0.40090,4.581,0.51280,0.56240,8.600,2026-03,True,1.0,1.0,2.9
2250031,2026-03-28,2026-03,COL,MIA,823892,3,4,games,3,3,games,4.5,0.5,+158,7.5,0.1610,0.1678,35.13,48.77,41.84,0.40670,4.452,0.49510,0.57190,8.430,3.950,4.480,0.42130,0.51950,0.40670,4.452,0.49510,0.57190,8.430,2026-03,True,1.0,1.0,2.9
2250032,2026-03-28,2026-03,LAA,HOU,824213,9,11,games,6,3,games,4.5,0.5,+106,9.0,0.1599,0.1660,41.54,42.47,49.50,0.41160,4.488,0.37480,0.57610,8.450,3.940,4.500,0.41950,0.39720,0.41160,4.488,0.37480,0.57610,8.450,2026-03,True,1.0,1.0,2.9
2250033,2026-03-28,2026-03,CWS,MIL,823811,1,6,games,1,4,games,4.5,0.5,+140,8.0,0.1466,0.1439,35.61,49.73,41.67,0.37170,4.595,0.44600,0.53210,8.630,3.810,4.810,0.38170,0.49750,0.37170,4.595,0.44600,0.53210,8.630,2026-03,True,1.0,1.0,2.9
2250034,2026-03-28,2026-03,KC,ATL,824945,2,6,games,0,0,games,4.5,0.5,+120,8.5,0.1593,0.1651,40.07,44.00,47.62,0.49630,5.300,0.53300,0.64280,9.850,5.230,4.620,0.51880,0.55830,0.49630,5.300,0.53300,0.64280,9.850,2026-03,True,1.0,1.0,2.9
2250035,2026-03-28,2026-03,NYY,SF,823241,3,1,games,3,1,games,4.5,-0.5,-130,8.5,0.1681,0.1797,40.43,42.76,48.54,0.38770,4.369,0.41670,0.55430,8.180,3.620,4.560,0.38250,0.41950,0.38770,4.369,0.41670,0.55430,8.180,2026-03,True,1.0,1.0,2.9
2250036,2026-03-28,2026-03,DET,SD,823323,0,3,games,0,3,games,4.5,-0.5,-120,8.0,0.1651,0.1747,40.23,43.26,48.08,0.41940,4.286,0.40540,0.58850,8.020,3.830,4.190,0.43560,0.44440,0.41940,4.286,0.40540,0.58850,8.020,2026-03,True,1.0,1.0,2.9
2250037,2026-03-28,2026-03,CLE,SEA,823161,6,5,games,0,2,games,3.5,0.5,+152,7.0,0.1751,0.1914,37.66,44.83,45.66,0.38810,3.557,0.37050,0.58080,6.800,3.130,3.680,0.41220,0.42190,0.38810,3.557,0.37050,0.58080,6.800,2026-03,True,1.0,1.0,2.9
2250038,2026-03-29,2026-03,MIN,BAL,824864,6,8,games,4,3,games,4.5,0.5,+124,9.0,0.1538,0.1558,40.34,44.28,47.62,0.41740,5.137,0.45550,0.56760,9.550,4.500,5.050,0.42560,0.48960,0.41740,5.137,0.45550,0.56760,9.550,2026-03,True,1.0,1.0,2.9
2250039,2026-03-29,2026-03,TEX,PHI,823487,8,3,games,5,0,games,4.5,0.5,+122,8.0,0.1510,0.1512,35.44,49.46,41.67,0.40590,4.967,0.49380,0.55940,9.250,4.300,4.960,0.41490,0.54950,0.40590,4.967,0.49380,0.55940,9.250,2026-03,True,1.0,1.0,2.9
2250040,2026-03-29,2026-03,KC,ATL,824944,4,1,games,3,0,games,4.5,0.5,+116,8.0,0.1523,0.1534,37.42,47.34,44.05,0.40000,4.758,0.46740,0.55790,8.960,4.090,4.880,0.40270,0.52600,0.40000,4.758,0.46740,0.55790,8.960,2026-03,True,1.0,1.0,2.9
2250041,2026-03-29,2026-03,ATH,TOR,822837,2,5,games,2,5,games,4.5,0.5,+118,9.0,0.1483,0.1467,43.22,41.95,50.74,0.40580,4.463,0.37090,0.57080,8.380,3.920,4.460,0.42080,0.39170,0.40580,4.463,0.37090,0.57080,8.380,2026-03,True,1.0,1.0,2.9
