cohort,series,market,month,n_pop,n_graded,n_decided,n_push,hits,hit_rate,hit_ci_lo,hit_ci_hi,brier,logloss,avg_prob,obs_rate,brier_abs,alt_hit_rate,mae,bias,bias_ci_lo,bias_ci_hi,mae_exp,bias_exp,bias_exp_ci_lo,bias_exp_ci_hi
all,wf-19288f01-p1,f5_rl,2026-07,274,157,157,0,86,0.5478,0.4697,0.6236,0.2476,0.6885,0.5732,0.5478,,,,,,,,,,
all,wf-19288f01-p1,f5_rl,MAR+APR,468,382,382,0,188,0.4921,0.4423,0.5421,0.2597,0.7132,0.5795,0.4921,,,,,,,,,,
all,wf-19288f01-p1,f5_rl,ALL,1555,843,843,0,426,0.5053,0.4716,0.539,0.2575,0.7087,0.579,0.5042,,,,,,,,,,
all,wf-19288f01-p1,f5_total,2026-03,76,68,68,0,28,0.4118,0.3026,0.5304,0.2562,0.7056,0.4418,0.5,,,2.64,-0.215,-0.978,0.547,2.64,-0.215,-0.978,0.547
all,wf-19288f01-p1,f5_total,2026-04,392,315,315,0,155,0.4921,0.4373,0.547,0.2567,0.7073,0.4454,0.5302,,,2.455,-0.34,-0.681,0.001,2.455,-0.34,-0.681,0.001
all,wf-19288f01-p1,f5_total,2026-05,419,280,280,0,151,0.5393,0.4808,0.5967,0.2478,0.6887,0.4487,0.4821,,,2.485,-0.204,-0.576,0.169,2.485,-0.204,-0.576,0.169
all,wf-19288f01-p1,f5_total,2026-06,394,24,24,0,9,0.375,0.2116,0.5729,0.2679,0.7292,0.467,0.625,,,2.595,-1.303,-2.571,-0.035,2.595,-1.303,-2.571,-0.035
all,wf-19288f01-p1,f5_total,2026-07,274,157,157,0,81,0.5159,0.4383,0.5928,0.2488,0.6911,0.4338,0.4586,,,2.407,0.062,-0.413,0.537,2.407,0.062,-0.413,0.537
all,wf-19288f01-p1,f5_total,MAR+APR,468,383,383,0,183,0.4778,0.4282,0.5278,0.2566,0.707,0.4448,0.5248,,,2.488,-0.318,-0.629,-0.007,2.488,-0.318,-0.629,-0.007
all,wf-19288f01-p1,f5_total,ALL,1555,844,844,0,424,0.5024,0.4687,0.536,0.2526,0.6986,0.4447,0.5012,,,2.475,-0.237,-0.448,-0.027,2.475,-0.237,-0.448,-0.027
all,wf-19288f01-p2,f5_ml,2026-03,76,76,62,14,32,0.5161,0.3945,0.6359,0.2506,0.6943,0.4132,0.4839,0.2355,0.5,,,,,,,,
all,wf-19288f01-p2,f5_ml,2026-04,392,392,329,63,181,0.5502,0.4961,0.603,0.2455,0.6843,0.4179,0.4468,0.2354,0.5714,,,,,,,,
all,wf-19288f01-p2,f5_ml,2026-05,419,419,361,58,196,0.5429,0.4914,0.5936,0.2473,0.6877,0.4484,0.4737,0.2408,0.5429,,,,,,,,
all,wf-19288f01-p2,f5_ml,2026-06,394,394,328,66,174,0.5305,0.4764,0.5838,0.248,0.689,0.4497,0.4878,0.2405,0.5396,,,,,,,,
all,wf-19288f01-p2,f5_ml,2026-07,274,274,233,41,126,0.5408,0.4766,0.6036,0.2451,0.6833,0.4509,0.4764,0.2383,0.5107,,,,,,,,
all,wf-19288f01-p2,f5_ml,MAR+APR,468,468,391,77,213,0.5448,0.4952,0.5934,0.2463,0.6859,0.4172,0.4527,0.2354,0.5601,,,,,,,,
all,wf-19288f01-p2,f5_ml,ALL,1555,1555,1313,242,709,0.54,0.5129,0.5668,0.2468,0.6867,0.4399,0.4714,0.2387,0.5415,,,,,,,,
all,wf-19288f01-p2,f5_rl,2026-03,76,67,67,0,37,0.5522,0.4336,0.6652,0.2553,0.7042,0.5751,0.5373,,,,,,,,,,
all,wf-19288f01-p2,f5_rl,2026-04,392,315,315,0,151,0.4794,0.4248,0.5345,0.2606,0.7152,0.5804,0.4825,,,,,,,,,,
all,wf-19288f01-p2,f5_rl,2026-05,419,280,280,0,138,0.4929,0.4348,0.5511,0.2613,0.7165,0.5828,0.4893,,,,,,,,,,
all,wf-19288f01-p2,f5_rl,2026-06,394,24,24,0,14,0.5833,0.3883,0.7553,0.242,0.6772,0.5666,0.5833,,,,,,,,,,
all,wf-19288f01-p2,f5_rl,2026-07,274,157,157,0,86,0.5478,0.4697,0.6236,0.2476,0.6885,0.5732,0.5478,,,,,,,,,,
