rank,score,driver,gameId,gameDate,awayTeam,homeTeam,venue,parkFactor3yr,totalLineUsed,actualF5,p2_projF5Total,p1_condAway,p1_pF5AwayRl,awayCover,outcome,awayStarterOutsGame,homeStarterOutsGame,matchupAsofIp,ml3_z,rl_z,tot_z,tags
37,3.44,ml,2250271,2026-04-17,BAL,CLE,Progressive Field,0.921,8.0,0-0,5.548,0.461,0.5367,1,tie,15,18,4.12,2.28,-0.33,1.50,F5_DEAD|TIE|SHORT_DEPTH
38,3.40,total,2251404,2026-07-20,MIN,CLE,Progressive Field,0.921,7.5,2-9,4.202,0.528,0.6123,0,home,12,18,5.58,-0.11,1.40,2.12,F5_BLOWUP|MISS_OVER4+
39,3.40,ml,2251104,2026-06-22,BOS,COL,Coors Field,1.264,12.0,0-0,6.064,0.507,0.5723,1,tie,18,18,4.86,2.32,-0.67,1.75,F5_DEAD|TIE|HIGH_PARK|HIGH_LINE
40,3.39,total,2251053,2026-06-18,STL,KC,Kauffman Stadium,0.998,9.0,4-11,4.842,0.444,0.5312,0,home,5,15,5.22,-0.79,0.40,3.78,EARLY_KO|F5_BLOWUP|MISS_OVER4+
41,3.39,total,2250663,2026-05-18,BAL,TB,George M. Steinbrenner Field,0.985,7.5,4-12,4.69,0.404,0.5029,0,home,11,15,4.93,-1.04,0.08,4.35,F5_BLOWUP|MISS_OVER4+
42,3.35,total,2251042,2026-06-17,CLE,MIL,American Family Field,0.952,7.5,4-7,4.644,0.542,0.6172,0,home,15,11,5.49,-0.01,1.46,1.90,F5_BLOWUP|MISS_OVER4+
43,3.32,rl,2250975,2026-06-12,LAD,CWS,Rate Field,0.953,9.0,2-8,4.572,0.563,0.6357,0,home,13,15,5.11,0.17,1.71,1.44,F5_BLOWUP|MISS_OVER4+
44,3.25,total,2251232,2026-07-02,SD,LAD,Dodger Stadium,1.001,9.5,6-10,5.503,0.431,0.5134,0,home,9,9,5.16,-0.90,0.20,3.95,F5_BLOWUP|MISS_OVER4+
45,3.22,rl,2250355,2026-04-23,NYY,BOS,Fenway Park,0.954,7.5,1-2,4.455,0.651,0.7081,0,home,24,18,,0.98,2.76,-0.53,FAV58_LOST|NO_PRIOR_START
46,3.19,total,3270003,2026-04-30,HOU,BAL,Oriole Park at Camden Yards,1.045,8.5,11-3,5.08,0.434,0.5197,1,away,18,12,5.20,0.18,-0.16,3.17,F5_BLOWUP|MISS_OVER4+
47,3.19,ml,2251372,2026-07-17,CIN,COL,Coors Field,1.264,12.0,1-1,6.547,0.456,0.5242,1,tie,21,16,5.49,2.39,-0.20,1.00,TIE|HIGH_PARK|HIGH_LINE
48,3.17,rl,2250860,2026-06-02,NYM,SEA,T-Mobile Park,0.841,7.5,2-7,3.598,0.542,0.6352,0,home,5,16,3.39,0.04,1.71,1.43,EARLY_KO|LOW_PARK|SHORT_DEPTH|MISS_OVER4+
49,3.16,total,2250133,2026-04-05,SEA,LAA,Angel Stadium,0.977,9.0,5-6,4.551,0.529,0.6071,0,home,11,8,,-0.11,1.33,1.94,EARLY_KO|F5_BLOWUP|NO_PRIOR_START|MISS_OVER4+
50,3.15,total,2253424,2026-06-20,MIN,ARI,Chase Field,1.080,9.0,16-2,5.906,0.536,0.599,1,away,15,12,5.28,-0.67,-0.91,4.74,F5_BLOWUP|HIGH_PARK|MISS_OVER4+
