gameId,month,book_line,p_stored_plus05,p_correct_for_book_event,y_book_event
2250606,2026-05,-0.5,0.5796,0.4325379426588916,1.0
2250607,2026-05,0.5,0.5283,0.5283,0.0
2250608,2026-05,0.5,0.5319,0.5319,0.0
2250609,2026-05,0.5,0.5818,0.5818,0.0
2250610,2026-05,0.5,0.5615,0.5615,0.0
2250611,2026-05,0.5,0.5734,0.5734,0.0
2250612,2026-05,-0.5,0.6042,0.45095861294387013,0.0
2250613,2026-05,0.5,0.5417,0.5417,0.0
2250614,2026-05,-0.5,0.5476,0.4030611635184804,1.0
2250615,2026-05,0.5,0.6825,0.6825,1.0
2250616,2026-05,0.5,0.4813,0.4813,1.0
2250617,2026-05,0.5,0.5975,0.5975,1.0
2250618,2026-05,-0.5,0.6489,0.48025296988028265,0.0
2250619,2026-05,0.5,0.6164,0.6164,1.0
2250620,2026-05,0.5,0.5197,0.5197,0.0
2250621,2026-05,-0.5,0.6165,0.4896498640617871,0.0
2250622,2026-05,-0.5,0.5993,0.4271787164285153,1.0
2250623,2026-05,-1.5,0.5746,,1.0
2250624,2026-05,0.5,0.5823,0.5823,0.0
2250625,2026-05,0.5,0.6188,0.6188,0.0
2250626,2026-05,-0.5,0.6233,0.4394629399200827,1.0
2250627,2026-05,-0.5,0.5727,0.40141080331058787,1.0
2250628,2026-05,-0.5,0.5296,0.370160551571336,0.0
2250629,2026-05,-0.5,0.5435,0.3858213925355567,1.0
2250630,2026-05,-0.5,0.634,0.45860671061898656,0.0
2250631,2026-05,-0.5,0.5956,0.43468281448260615,1.0
2250632,2026-05,0.5,0.5935,0.5935,1.0
2250633,2026-05,0.5,0.5608,0.5608,0.0
2250634,2026-05,0.5,0.5695,0.5695,1.0
2250635,2026-05,0.5,0.5605,0.5605,0.0
2250636,2026-05,0.5,0.5619,0.5619,0.0
2250637,2026-05,-0.5,0.6293,0.47241341212427723,1.0
2250638,2026-05,0.5,0.5339,0.5339,0.0
